year,month,day,hour,Dn,Dm,Dx,Sn,Sm,Sx,Ta,Ua,Pa,Rc,Rd,Ri
2021.0,1.0,1.0,0.0,36.05,47.48,65.57,7.21,9.63,11.41,2.91,49.57,828.14,655.35,43840.0,0.0
2021.0,1.0,1.0,1.0,34.22,43.85,81.98,7.17,10.59,12.95,2.99,47.38,827.86,655.35,43840.0,0.0
2021.0,1.0,1.0,2.0,31.73,43.43,69.63,7.4,11.56,14.18,2.86,47.86,827.76,655.35,43840.0,0.0
2021.0,1.0,1.0,3.0,28.95,42.53,65.62,6.23,9.55,11.8,2.63,48.15,828.01,655.35,43840.0,0.0
2021.0,1.0,1.0,4.0,31.2,42.15,54.13,8.34,11.3,13.12,2.34,49.36,828.2,655.35,43840.0,0.0
2021.0,1.0,1.0,5.0,36.25,45.35,59.95,10.5,13.04,15.0,2.48,47.05,828.69,655.35,43840.0,0.0
2021.0,1.0,1.0,6.0,32.85,43.58,76.93,9.27,13.18,16.06,2.42,43.52,829.02,655.35,43840.0,0.0
2021.0,1.0,1.0,7.0,37.84,46.03,97.51,5.28,8.89,11.32,2.52,41.57,830.03,655.35,43840.0,0.0
2021.0,1.0,1.0,8.0,49.62,48.18,126.15,4.26,7.38,9.54,2.75,41.74,831.19,655.35,43840.0,0.0
2021.0,1.0,1.0,9.0,96.73,114.57,166.97,2.56,4.23,5.61,4.4,38.95,832.26,655.35,43840.0,0.0
2021.0,1.0,1.0,10.0,141.37,175.82,239.62,0.48,1.03,1.71,6.33,38.25,832.6,655.35,43840.0,0.0
2021.0,1.0,1.0,11.0,142.47,185.05,224.75,0.92,1.73,2.54,6.23,41.98,832.27,655.35,43840.0,0.0
2021.0,1.0,1.0,12.0,144.2,183.32,235.7,0.82,1.64,2.49,6.89,41.29,831.97,655.35,43840.0,0.0
2021.0,1.0,1.0,13.0,159.45,214.73,267.72,0.78,1.68,2.72,7.16,42.52,832.15,655.35,43840.0,0.0
2021.0,1.0,1.0,14.0,152.02,209.2,254.28,0.84,1.64,2.52,7.05,42.92,832.54,655.35,43840.0,0.0
2021.0,1.0,1.0,15.0,147.28,206.38,254.13,0.57,1.23,1.9,6.69,43.39,833.02,655.35,43840.0,0.0
2021.0,1.0,1.0,16.0,194.47,216.68,231.57,2.02,2.42,2.77,5.39,47.64,833.34,655.35,43840.0,0.0
2021.0,1.0,1.0,17.0,42.15,45.83,50.12,3.78,4.03,4.28,4.87,44.55,833.79,655.35,43840.0,0.0
2021.0,1.0,1.0,18.0,37.28,44.42,51.2,2.89,3.21,3.52,4.42,40.89,834.12,655.35,43840.0,0.0
2021.0,1.0,1.0,19.0,25.18,30.25,35.67,2.09,2.28,2.46,4.52,39.43,834.51,655.35,43840.0,0.0
2021.0,1.0,1.0,20.0,112.23,130.47,151.22,1.02,1.18,1.33,4.93,42.46,834.69,655.35,43840.0,0.0
2021.0,1.0,1.0,21.0,184.87,201.53,218.38,0.95,1.17,1.36,5.15,44.9,834.89,655.35,43840.0,0.0
2021.0,1.0,1.0,22.0,211.67,228.15,246.45,1.23,1.53,1.79,5.0,43.97,835.21,655.35,43840.0,0.0
2021.0,1.0,1.0,23.0,199.88,238.07,266.69,1.11,1.7,2.22,4.91,42.43,835.26,655.35,43840.0,0.0
2021.0,1.0,2.0,0.0,281.45,286.8,291.1,3.13,3.36,3.56,4.64,42.59,835.3,655.35,43840.0,0.0
2021.0,1.0,2.0,1.0,286.58,291.23,295.93,3.04,3.25,3.43,4.6,40.65,835.51,655.35,43840.0,0.0
2021.0,1.0,2.0,2.0,274.08,276.1,277.88,3.19,3.29,3.38,4.21,42.02,835.54,655.35,43840.0,0.0
2021.0,1.0,2.0,3.0,242.88,259.57,274.42,2.5,2.81,3.14,4.13,41.76,835.27,655.35,43840.0,0.0
2021.0,1.0,2.0,4.0,203.41,240.26,268.1,1.4,2.16,2.88,4.28,43.62,835.21,655.35,43840.0,0.0
