t,Dn,Dm,Dx,Sn,Sm,Sx,Ta,Ua,Pa,Rc,Rd,Ri
0,307.0,308.0,310.0,5.4,5.8,6.0,24.6,37.8,832.2,2.31,4140.0,0.0
60,304.0,308.0,309.0,5.6,5.7,5.9,24.6,36.1,832.2,2.31,4140.0,0.0
120,307.0,309.0,311.0,5.7,5.8,6.0,24.6,35.5,832.1,2.31,4140.0,0.0
180,301.0,306.0,310.0,5.5,6.0,6.2,24.6,37.2,832.1,2.31,4140.0,0.0
240,301.0,308.0,311.0,5.5,5.9,6.3,24.6,36.8,832.1,2.31,4140.0,0.0
300,299.0,305.0,309.0,5.7,6.1,6.4,24.7,37.4,832.1,2.31,4140.0,0.0
360,302.0,306.0,309.0,5.5,6.0,6.5,24.6,36.3,832.1,2.31,4140.0,0.0
420,305.0,307.0,309.0,5.6,6.0,6.2,24.6,35.9,832.1,2.31,4140.0,0.0
480,301.0,309.0,314.0,5.6,5.8,6.1,24.6,36.2,832.1,2.31,4140.0,0.0
540,309.0,312.0,317.0,5.3,5.5,5.9,24.6,37.6,832.2,2.31,4140.0,0.0
600,310.0,317.0,322.0,4.5,4.8,5.0,24.6,34.6,832.2,2.31,4140.0,0.0
660,316.0,321.0,327.0,4.7,5.0,5.3,24.6,35.3,832.2,2.31,4140.0,0.0
720,310.0,314.0,317.0,5.1,5.4,5.8,24.5,36.8,832.2,2.31,4140.0,0.0
780,309.0,312.0,319.0,4.8,5.4,5.7,24.5,35.1,832.2,2.31,4140.0,0.0
840,305.0,309.0,313.0,5.1,5.3,5.5,24.5,38.0,832.3,2.31,4140.0,0.0
900,308.0,309.0,312.0,5.0,5.5,5.8,24.5,35.7,832.2,2.31,4140.0,0.0
960,309.0,315.0,322.0,4.5,4.9,5.4,24.5,37.1,832.2,2.31,4140.0,0.0
1020,308.0,309.0,311.0,5.3,5.5,5.7,24.5,37.9,832.2,2.31,4140.0,0.0
1080,307.0,309.0,313.0,5.4,5.6,5.7,24.6,38.3,832.2,2.31,4140.0,0.0
