year,month,day,hour,Dn,Dm,Dx,Sn,Sm,Sx,Ta,Ua,Pa,Rc,Rd,Ri
2021.0,1.0,1.0,0.0,47.72,56.75,67.2,9.28,11.97,13.8,6.65,42.7,874.37,90.13,nan,nan
2021.0,1.0,1.0,1.0,54.37,64.13,74.53,9.5,11.72,13.49,6.52,41.82,874.21,90.13,nan,nan
2021.0,1.0,1.0,2.0,53.28,64.35,76.12,7.68,9.59,11.31,6.1,42.82,874.27,90.13,nan,nan
2021.0,1.0,1.0,3.0,54.53,64.18,74.12,8.52,10.34,11.83,5.84,42.95,874.36,90.13,nan,nan
2021.0,1.0,1.0,4.0,40.98,52.42,89.75,8.01,10.79,12.81,5.91,42.25,874.9,90.13,nan,nan
2021.0,1.0,1.0,5.0,31.42,40.63,74.68,5.67,7.88,9.56,5.91,40.76,875.89,90.13,nan,nan
2021.0,1.0,1.0,6.0,53.85,62.7,72.67,8.37,9.78,11.16,5.44,40.91,876.02,90.13,nan,nan
2021.0,1.0,1.0,7.0,44.52,54.17,64.2,9.56,11.5,13.12,5.87,38.15,876.51,90.13,nan,nan
2021.0,1.0,1.0,8.0,26.62,49.98,82.85,5.6,8.46,10.31,7.12,34.87,877.97,90.13,nan,nan
2021.0,1.0,1.0,9.0,50.12,60.67,75.4,3.75,4.74,5.63,8.42,33.36,879.19,90.13,nan,nan
2021.0,1.0,1.0,10.0,72.44,86.34,114.02,3.55,4.58,5.5,9.66,31.72,879.26,90.13,nan,nan
2021.0,1.0,1.0,11.0,209.35,240.38,266.95,2.29,3.79,4.86,10.6,32.92,879.02,90.13,nan,nan
2021.0,1.0,1.0,12.0,207.88,239.55,257.82,2.29,3.35,4.2,10.8,34.13,878.58,90.13,nan,nan
2021.0,1.0,1.0,13.0,208.73,258.15,284.77,1.71,3.16,4.42,11.58,33.31,878.76,90.13,nan,nan
2021.0,1.0,1.0,14.0,208.13,252.18,270.95,2.17,3.44,4.51,11.62,33.7,879.04,90.13,nan,nan
2021.0,1.0,1.0,15.0,192.43,255.8,272.5,1.71,2.99,4.08,11.37,34.85,879.61,90.13,nan,nan
2021.0,1.0,1.0,16.0,254.45,265.27,273.25,3.71,4.88,5.64,9.5,41.85,879.93,90.13,nan,nan
2021.0,1.0,1.0,17.0,247.32,252.52,257.58,3.47,3.74,3.99,8.54,44.31,880.58,90.13,nan,nan
2021.0,1.0,1.0,18.0,84.7,89.12,93.0,2.61,2.77,2.93,8.06,42.2,880.91,90.13,nan,nan
2021.0,1.0,1.0,19.0,124.98,132.27,139.6,1.38,1.55,1.71,8.21,37.32,881.32,90.13,nan,nan
2021.0,1.0,1.0,20.0,112.8,117.83,122.58,2.05,2.18,2.31,8.26,38.61,881.57,90.13,nan,nan
2021.0,1.0,1.0,21.0,104.1,107.3,110.72,2.79,2.94,3.09,8.26,36.38,881.68,90.13,nan,nan
2021.0,1.0,1.0,22.0,124.83,128.9,133.15,1.8,1.89,1.99,8.43,34.74,882.01,90.13,nan,nan
2021.0,1.0,1.0,23.0,178.59,181.58,184.54,1.56,1.64,1.72,8.57,36.49,882.17,90.13,nan,nan
2021.0,1.0,2.0,0.0,234.2,237.57,241.3,1.64,1.74,1.85,8.38,38.27,882.05,90.13,nan,nan
