t,Dn,Dm,Dx,Sn,Sm,Sx,Ta,Ua,Pa,Rc,Rd,Ri
0,286.0,287.0,288.0,4.2,4.3,4.4,22.1,29.7,878.0,83.96,nan,nan
60,286.0,287.0,289.0,4.3,4.4,4.6,22.0,29.1,878.0,83.96,nan,nan
120,286.0,287.0,287.0,4.5,4.5,4.5,22.0,28.5,878.0,83.96,nan,nan
180,286.0,287.0,288.0,4.4,4.5,4.7,22.0,28.5,878.0,83.96,nan,nan
240,287.0,288.0,289.0,4.6,4.7,4.8,22.0,29.1,878.0,83.96,nan,nan
300,288.0,289.0,291.0,4.7,4.7,4.7,22.0,28.7,878.0,83.96,nan,nan
360,288.0,288.0,289.0,4.7,4.8,4.9,22.0,28.9,878.0,83.96,nan,nan
420,287.0,289.0,291.0,4.8,4.9,4.9,22.1,29.1,878.0,83.96,nan,nan
480,287.0,289.0,290.0,4.8,4.9,5.0,22.1,28.8,878.0,83.96,nan,nan
540,286.0,288.0,289.0,5.0,5.1,5.3,22.1,27.9,878.0,83.96,nan,nan
600,287.0,288.0,289.0,5.0,5.1,5.2,22.2,27.5,877.9,83.96,nan,nan
660,287.0,288.0,289.0,5.2,5.3,5.4,22.2,25.5,877.9,83.96,nan,nan
720,287.0,288.0,289.0,5.3,5.4,5.5,22.3,25.1,877.9,83.96,nan,nan
780,289.0,290.0,291.0,5.5,5.6,5.6,22.3,24.8,877.9,83.96,nan,nan
840,288.0,289.0,290.0,5.6,5.7,5.8,22.4,23.7,877.9,83.96,nan,nan
900,288.0,289.0,290.0,5.6,5.7,5.8,22.4,24.3,877.9,83.96,nan,nan
960,287.0,289.0,292.0,5.1,5.5,5.7,22.4,24.9,877.9,83.96,nan,nan
1020,288.0,289.0,290.0,5.6,5.7,5.8,22.4,22.1,877.9,83.96,nan,nan
1080,286.0,287.0,288.0,5.4,5.5,5.6,22.5,20.8,877.9,83.96,nan,nan
1140,286.0,287.0,288.0,5.5,5.6,5.6,22.5,20.7,877.9,83.96,nan,nan
1200,283.0,285.0,287.0,5.4,5.5,5.7,22.6,18.3,877.9,83.96,nan,nan
1260,285.0,286.0,287.0,5.6,5.6,5.7,22.6,21.1,877.9,83.96,nan,nan
1320,283.0,285.0,286.0,5.3,5.4,5.5,22.6,19.9,877.9,83.96,nan,nan
1380,282.0,284.0,286.0,5.3,5.5,5.6,22.7,19.8,877.9,83.96,nan,nan
1440,283.0,284.0,285.0,5.4,5.5,5.6,22.7,19.6,877.9,83.96,nan,nan
1500,283.0,284.0,285.0,5.3,5.4,5.5,22.7,19.4,877.9,83.96,nan,nan
1560,283.0,284.0,285.0,5.4,5.5,5.5,22.7,19.1,877.9,83.96,nan,nan
1620,283.0,284.0,285.0,5.5,5.6,5.7,22.6,18.5,877.8,83.96,nan,nan
1680,283.0,284.0,285.0,5.6,5.7,5.7,22.6,19.3,877.8,83.96,nan,nan
1740,283.0,284.0,284.0,5.5,5.6,5.6,22.6,19.7,877.8,83.96,nan,nan
1800,284.0,284.0,285.0,5.5,5.6,5.7,22.7,19.9,877.8,83.96,nan,nan
1860,283.0,284.0,285.0,5.5,5.6,5.7,22.6,19.2,877.9,83.96,nan,nan
1920,282.0,283.0,284.0,5.6,5.6,5.7,22.6,19.7,877.8,83.96,nan,nan
1980,283.0,284.0,284.0,5.6,5.6,5.7,22.7,19.9,877.8,83.96,nan,nan
2040,282.0,283.0,283.0,5.6,5.6,5.7,22.7,19.2,877.8,83.96,nan,nan
2100,281.0,282.0,283.0,5.5,5.6,5.6,22.7,19.6,877.8,83.96,nan,nan
2160,281.0,282.0,283.0,5.6,5.6,5.7,22.6,19.4,877.8,83.96,nan,nan
2220,281.0,282.0,282.0,5.5,5.6,5.7,22.7,19.7,877.8,83.96,nan,nan
2280,279.0,282.0,282.0,5.3,5.4,5.5,22.7,19.6,877.8,83.96,nan,nan
2340,282.0,283.0,283.0,5.2,5.3,5.3,22.7,19.0,877.9,83.96,nan,nan
2400,281.0,283.0,285.0,4.8,5.0,5.1,22.7,19.0,877.9,83.96,nan,nan
2460,283.0,283.0,284.0,4.8,4.8,4.9,22.7,19.4,877.9,83.96,nan,nan
2520,280.0,285.0,291.0,4.2,4.4,4.6,22.7,19.0,877.9,83.96,nan,nan
