year,month,day,hour,Dn,Dm,Dx,Sn,Sm,Sx,Ta,Ua,Pa,Rc,Rd,Ri
2021.0,1.0,1.0,0.0,46.07,50.67,55.03,13.94,14.91,15.6,-0.2,61.3,795.56,32.48,28180.0,0.0
2021.0,1.0,1.0,1.0,53.52,61.33,68.68,12.83,14.3,15.47,-0.36,61.1,795.4,32.48,28180.0,0.0
2021.0,1.0,1.0,2.0,56.6,61.5,66.65,18.63,19.98,21.24,-0.38,58.55,793.86,32.48,28180.0,0.0
2021.0,1.0,1.0,3.0,64.22,70.82,77.5,14.83,16.18,17.49,-0.58,59.02,794.84,32.48,28180.0,0.0
2021.0,1.0,1.0,4.0,60.9,66.33,72.13,14.45,15.57,16.68,-0.25,55.5,795.63,32.48,28180.0,0.0
2021.0,1.0,1.0,5.0,58.33,62.7,66.85,13.53,14.35,15.15,-0.16,52.79,796.55,32.48,28180.0,0.0
2021.0,1.0,1.0,6.0,59.82,62.47,65.4,12.58,13.04,13.52,0.08,50.29,797.25,32.48,28180.0,0.0
2021.0,1.0,1.0,7.0,62.57,66.43,70.73,11.42,12.07,12.64,0.02,51.85,797.9,32.48,28180.0,0.0
2021.0,1.0,1.0,8.0,62.88,65.98,69.4,11.23,11.7,12.13,0.13,50.54,798.89,32.48,28180.0,0.0
2021.0,1.0,1.0,9.0,64.18,75.95,92.92,5.79,6.67,7.44,0.29,50.73,800.42,32.48,28180.0,0.0
2021.0,1.0,1.0,10.0,65.53,75.63,101.13,5.26,6.15,6.99,1.23,46.58,800.8,32.48,28180.0,0.0
2021.0,1.0,1.0,11.0,57.03,76.05,96.03,2.93,3.73,4.6,1.5,46.39,800.7,32.48,28180.0,0.0
2021.0,1.0,1.0,12.0,62.27,71.85,85.43,4.76,5.38,6.04,1.37,47.32,800.34,32.48,28180.0,0.0
2021.0,1.0,1.0,13.0,59.4,67.4,74.93,5.27,5.81,6.36,1.39,46.11,800.48,32.48,28180.0,0.0
2021.0,1.0,1.0,14.0,55.38,62.55,70.0,5.0,5.56,6.1,1.5,45.76,800.81,32.48,28180.0,0.0
2021.0,1.0,1.0,15.0,27.9,37.4,64.6,5.36,5.75,6.14,1.81,44.13,801.4,32.48,28180.0,0.0
2021.0,1.0,1.0,16.0,240.33,275.88,311.33,3.15,3.5,3.84,2.46,43.62,801.85,32.48,28180.0,0.0
