year,month,day,hour,Dn,Dm,Dx,Sn,Sm,Sx,Ta,Ua,Pa,Rc,Rd,Ri
2021.0,1.0,1.0,0.0,19.83,25.7,46.05,5.52,6.95,7.9,7.13,39.57,882.76,36.75,26150.0,0.0
2021.0,1.0,1.0,1.0,30.67,46.75,75.93,4.0,6.44,8.29,7.23,41.15,882.53,36.75,26150.0,0.0
2021.0,1.0,1.0,2.0,39.85,48.62,102.82,3.43,5.36,6.9,7.43,40.35,882.62,36.75,26150.0,0.0
2021.0,1.0,1.0,3.0,35.33,36.78,82.68,4.42,6.22,7.56,7.44,39.03,882.7,36.75,26150.0,0.0
2021.0,1.0,1.0,4.0,21.57,27.32,34.48,4.56,5.21,5.68,7.46,37.94,883.34,36.75,26150.0,0.0
2021.0,1.0,1.0,5.0,35.18,35.25,62.25,3.1,3.82,4.43,7.64,36.63,883.99,36.75,26150.0,0.0
2021.0,1.0,1.0,6.0,33.98,43.62,64.65,1.7,2.11,2.47,7.58,36.39,884.58,36.75,26150.0,0.0
2021.0,1.0,1.0,7.0,60.55,67.12,119.17,2.67,3.2,3.69,7.98,34.84,885.18,36.75,26150.0,0.0
2021.0,1.0,1.0,8.0,89.0,114.5,185.6,1.15,2.09,3.14,8.95,34.13,886.33,36.75,26150.0,0.0
2021.0,1.0,1.0,9.0,95.13,98.58,208.17,0.86,2.06,3.38,9.48,35.05,887.19,36.75,26150.0,0.0
2021.0,1.0,1.0,10.0,114.97,124.9,228.34,0.51,1.31,2.34,10.38,34.67,887.4,36.75,26150.0,0.0
2021.0,1.0,1.0,11.0,137.85,148.97,253.73,0.33,1.06,2.16,10.99,34.29,886.95,36.75,26150.0,0.0
2021.0,1.0,1.0,12.0,185.98,245.87,277.72,0.76,1.65,2.52,10.95,35.16,886.54,36.75,26150.0,0.0
2021.0,1.0,1.0,13.0,209.32,256.6,267.88,2.17,3.33,4.43,10.53,37.34,886.6,36.75,26150.0,0.0
2021.0,1.0,1.0,14.0,203.78,267.1,270.55,1.86,3.2,4.4,10.78,36.16,886.87,36.75,26150.0,0.0
2021.0,1.0,1.0,15.0,217.23,268.88,273.43,1.94,3.13,4.05,10.54,38.1,887.52,36.75,26150.0,0.0
2021.0,1.0,1.0,16.0,263.85,273.62,278.85,3.39,3.85,4.23,9.13,40.94,887.95,36.75,26150.0,0.0
