t,Dn,Dm,Dx,Sn,Sm,Sx,Ta,Ua,Pa,Rc,Rd,Ri
0,298.0,305.0,310.0,2.5,3.1,3.5,19.2,30.7,884.3,0.0,0.0,0.0
60,306.0,309.0,311.0,3.0,3.1,3.3,19.2,30.9,884.3,0.0,0.0,0.0
120,297.0,305.0,309.0,2.5,3.0,3.3,19.2,30.6,884.3,0.0,0.0,0.0
180,302.0,304.0,308.0,3.4,3.5,3.6,19.1,30.4,884.3,0.0,0.0,0.0
240,304.0,307.0,312.0,3.3,3.4,3.5,19.1,30.6,884.3,0.0,0.0,0.0
300,303.0,307.0,309.0,3.2,3.4,3.6,19.1,30.5,884.3,0.0,0.0,0.0
360,305.0,311.0,317.0,3.7,3.9,4.2,19.1,29.8,884.3,0.0,0.0,0.0
420,307.0,311.0,315.0,3.3,3.9,4.0,19.1,30.1,884.3,0.0,0.0,0.0
480,307.0,309.0,312.0,3.9,4.1,4.3,19.1,29.8,884.3,0.0,0.0,0.0
540,310.0,313.0,317.0,3.8,4.0,4.2,19.1,30.6,884.3,0.0,0.0,0.0
600,313.0,317.0,319.0,3.7,3.8,3.9,19.1,30.7,884.3,0.0,0.0,0.0
660,315.0,317.0,321.0,3.5,3.6,3.9,19.1,30.1,884.3,0.0,0.0,0.0
720,315.0,320.0,326.0,3.0,3.3,3.4,19.1,28.9,884.3,0.0,0.0,0.0
780,320.0,323.0,328.0,3.4,3.5,3.7,19.1,28.8,884.3,0.0,0.0,0.0
840,314.0,317.0,323.0,3.8,3.9,4.2,19.1,30.6,884.3,0.0,0.0,0.0
900,318.0,320.0,323.0,3.5,3.6,3.8,19.1,29.5,884.3,0.0,0.0,0.0
960,320.0,323.0,327.0,3.5,3.6,3.7,19.1,28.6,884.2,0.0,0.0,0.0
1020,314.0,319.0,323.0,3.5,3.8,4.1,19.1,28.4,884.2,0.0,0.0,0.0
1080,316.0,318.0,323.0,3.6,3.7,3.9,19.1,28.1,884.2,0.0,0.0,0.0
1140,317.0,319.0,322.0,3.4,3.6,3.7,19.1,29.7,884.2,0.0,0.0,0.0
1200,315.0,318.0,322.0,3.1,3.3,3.4,19.1,28.5,884.2,0.0,0.0,0.0
1260,315.0,317.0,318.0,3.3,3.4,3.5,19.1,29.5,884.2,0.0,0.0,0.0
1320,312.0,315.0,317.0,3.4,3.4,3.5,19.0,29.7,884.2,0.0,0.0,0.0
1380,315.0,317.0,320.0,3.3,3.4,3.5,19.0,30.2,884.2,0.0,0.0,0.0
1440,316.0,317.0,319.0,3.4,3.4,3.6,19.0,28.6,884.2,0.0,0.0,0.0
1500,314.0,316.0,317.0,3.6,3.7,3.7,19.0,28.5,884.2,0.0,0.0,0.0
1560,313.0,315.0,318.0,3.5,3.6,3.8,19.0,29.6,884.2,0.0,0.0,0.0
1620,314.0,315.0,316.0,3.4,3.5,3.5,19.0,29.6,884.2,0.0,0.0,0.0
1680,313.0,314.0,316.0,3.2,3.3,3.3,19.0,28.8,884.2,0.0,0.0,0.0
1740,313.0,315.0,317.0,3.4,3.5,3.5,19.0,29.5,884.2,0.0,0.0,0.0
1800,315.0,317.0,318.0,3.8,3.9,3.9,19.0,31.1,884.2,0.0,0.0,0.0
1860,317.0,319.0,321.0,3.7,3.8,3.9,19.0,31.2,884.2,0.0,0.0,0.0
1920,317.0,319.0,322.0,3.7,3.8,3.9,19.0,30.6,884.2,0.0,0.0,0.0
1980,317.0,319.0,323.0,3.5,3.7,3.8,19.0,30.6,884.2,0.0,0.0,0.0
2040,311.0,314.0,316.0,3.8,3.9,4.0,19.0,30.7,884.2,0.0,0.0,0.0
2100,315.0,316.0,318.0,3.7,3.8,3.9,19.0,30.7,884.2,0.0,0.0,0.0
2160,316.0,318.0,320.0,3.5,3.6,3.7,19.0,30.3,884.2,0.0,0.0,0.0
2220,313.0,316.0,318.0,3.5,3.6,3.8,19.0,28.7,884.2,0.0,0.0,0.0
2280,314.0,319.0,322.0,3.3,3.6,3.7,19.0,30.2,884.2,0.0,0.0,0.0
2340,316.0,319.0,321.0,3.4,3.5,3.7,19.0,30.5,884.2,0.0,0.0,0.0
2400,316.0,318.0,322.0,3.7,3.8,3.9,19.0,30.0,884.2,0.0,0.0,0.0
2460,317.0,318.0,320.0,3.5,3.7,3.8,19.0,29.2,884.3,0.0,0.0,0.0
2520,315.0,317.0,319.0,3.7,3.9,4.1,19.0,31.4,884.2,0.0,0.0,0.0
2580,316.0,320.0,323.0,3.4,3.6,3.7,19.0,30.0,884.3,0.0,0.0,0.0
2640,314.0,315.0,319.0,4.0,4.1,4.2,19.0,30.1,884.2,0.0,0.0,0.0
2700,313.0,315.0,317.0,3.7,3.9,4.1,19.0,29.8,884.2,0.0,0.0,0.0
2760,316.0,318.0,320.0,3.8,4.0,4.2,19.0,30.0,884.2,0.0,0.0,0.0
2820,315.0,318.0,320.0,3.7,4.1,4.2,18.9,30.5,884.3,0.0,0.0,0.0
2880,317.0,321.0,326.0,4.1,4.2,4.4,18.9,31.3,884.2,0.0,0.0,0.0
2940,321.0,323.0,326.0,4.1,4.2,4.4,18.9,31.0,884.2,0.0,0.0,0.0
3000,318.0,320.0,323.0,4.1,4.2,4.3,18.9,31.1,884.2,0.0,0.0,0.0
