year,month,day,hour,Dn,Dm,Dx,Sn,Sm,Sx,Ta,Ua,Pa,Rc,Rd,Ri
2021.0,1.0,1.0,0.0,95.47,70.33,99.82,1.65,2.66,3.81,5.78,47.21,868.03,93.18,8590.0,0.0
2021.0,1.0,1.0,1.0,191.78,191.02,145.82,0.86,1.72,2.68,5.74,45.75,867.59,93.18,8590.0,0.0
2021.0,1.0,1.0,2.0,204.22,181.23,178.73,0.79,1.62,2.55,5.36,46.46,867.44,93.18,8590.0,0.0
2021.0,1.0,1.0,3.0,186.15,128.08,143.77,1.04,1.9,2.95,5.05,47.06,867.9,93.18,8590.0,0.0
2021.0,1.0,1.0,4.0,70.15,55.33,86.8,2.02,3.2,4.55,4.78,47.53,868.09,93.18,8590.0,0.0
2021.0,1.0,1.0,5.0,109.97,53.17,90.38,1.82,3.05,4.39,4.84,45.9,868.68,93.18,8590.0,0.0
2021.0,1.0,1.0,6.0,57.87,64.93,88.15,1.73,2.59,3.48,4.39,45.84,869.67,93.18,8590.0,0.0
2021.0,1.0,1.0,7.0,57.77,54.22,79.95,1.93,2.83,3.82,4.66,44.36,870.23,93.18,8590.0,0.0
2021.0,1.0,1.0,8.0,69.4,51.48,81.53,1.62,2.54,3.56,6.17,40.36,871.33,93.18,8590.0,0.0
2021.0,1.0,1.0,9.0,66.58,77.72,104.02,1.0,1.57,2.21,8.22,36.23,872.46,93.18,8590.0,0.0
2021.0,1.0,1.0,10.0,110.27,79.83,108.98,0.89,1.43,1.97,9.71,32.78,872.66,93.18,8590.0,0.0
2021.0,1.0,1.0,11.0,116.25,108.82,115.08,0.74,1.16,1.59,10.7,30.15,872.34,93.18,8590.0,0.0
2021.0,1.0,1.0,12.0,183.08,111.12,114.03,0.72,1.13,1.6,11.69,29.38,871.88,93.18,8590.0,0.0
2021.0,1.0,1.0,13.0,244.68,235.48,226.88,0.6,1.01,1.48,12.25,30.21,872.04,93.18,8590.0,0.0
2021.0,1.0,1.0,14.0,201.45,232.48,229.08,0.54,0.96,1.43,12.74,31.24,872.33,93.18,8590.0,0.0
2021.0,1.0,1.0,15.0,222.18,237.92,216.78,0.34,0.67,1.02,12.41,32.42,872.88,93.18,8590.0,0.0
2021.0,1.0,1.0,16.0,228.7,269.32,252.3,0.35,0.69,1.06,9.5,42.11,873.3,93.18,8590.0,0.0
2021.0,1.0,1.0,17.0,241.37,269.33,272.67,0.42,0.7,0.99,7.11,50.66,873.96,93.18,8590.0,0.0
2021.0,1.0,1.0,18.0,134.15,153.82,179.72,0.63,0.94,1.28,6.71,42.73,874.3,93.18,8590.0,0.0
2021.0,1.0,1.0,19.0,127.55,140.85,153.92,0.49,0.65,0.83,7.06,39.52,874.62,93.18,8590.0,0.0
2021.0,1.0,1.0,20.0,100.6,113.9,127.58,0.54,0.72,0.9,6.41,42.13,874.96,93.18,8590.0,0.0
2021.0,1.0,1.0,21.0,76.0,91.95,108.27,0.68,0.95,1.23,6.71,41.69,875.07,93.18,8590.0,0.0
2021.0,1.0,1.0,22.0,78.83,87.17,101.62,0.71,0.97,1.23,6.59,42.7,875.35,93.18,8590.0,0.0
2021.0,1.0,1.0,23.0,153.49,163.47,177.0,0.31,0.42,0.54,6.74,41.61,875.5,93.18,8590.0,0.0
2021.0,1.0,2.0,0.0,232.15,251.97,254.1,0.29,0.43,0.59,6.27,42.25,875.37,93.18,8590.0,0.0
2021.0,1.0,2.0,1.0,267.6,269.43,257.87,0.34,0.55,0.76,6.2,43.69,875.81,93.18,8590.0,0.0
2021.0,1.0,2.0,2.0,268.78,294.13,247.35,0.46,0.75,1.08,6.05,44.38,875.79,93.18,8590.0,0.0
2021.0,1.0,2.0,3.0,271.53,293.97,262.08,0.48,0.79,1.12,6.27,40.11,875.54,93.18,8590.0,0.0
2021.0,1.0,2.0,4.0,258.4,294.52,246.03,0.37,0.66,0.96,6.04,41.58,875.47,93.18,8590.0,0.0
2021.0,1.0,2.0,5.0,184.97,211.25,226.8,0.32,0.54,0.77,5.44,45.12,875.81,93.18,8590.0,0.0
2021.0,1.0,2.0,6.0,180.82,228.48,250.37,0.24,0.49,0.78,5.11,46.25,876.6,93.18,8590.0,0.0
2021.0,1.0,2.0,7.0,203.05,247.15,285.95,0.29,0.71,1.18,5.61,46.04,877.13,93.18,8590.0,0.0
2021.0,1.0,2.0,8.0,196.82,236.83,257.35,0.26,0.62,1.01,6.73,44.27,877.15,93.18,8590.0,0.0
2021.0,1.0,2.0,9.0,191.97,232.27,264.05,0.44,0.91,1.41,9.68,37.44,877.09,93.18,8590.0,0.0
2021.0,1.0,2.0,10.0,202.65,250.1,268.97,0.56,1.06,1.59,10.47,34.53,876.85,93.18,8590.0,0.0
2021.0,1.0,2.0,11.0,228.92,266.03,263.15,0.69,1.38,2.12,10.89,32.93,876.2,93.18,8590.0,0.0
2021.0,1.0,2.0,12.0,210.5,257.18,250.55,0.68,1.32,2.0,11.51,32.66,875.53,93.18,8590.0,0.0
2021.0,1.0,2.0,13.0,238.5,266.63,259.03,0.74,1.3,1.98,11.72,32.41,875.42,93.18,8590.0,0.0
2021.0,1.0,2.0,14.0,238.72,271.53,292.02,0.66,1.2,1.76,11.02,33.81,875.58,93.18,8590.0,0.0
2021.0,1.0,2.0,15.0,237.23,273.35,274.55,0.78,1.34,1.99,9.72,36.46,875.55,93.18,8590.0,0.0
2021.0,1.0,2.0,16.0,194.97,231.33,255.9,0.36,0.7,1.06,7.59,45.87,875.41,93.18,8590.0,0.0
