t,Dn,Dm,Dx,Sn,Sm,Sx,Ta,Ua,Pa,Rc,Rd,Ri
0,54.0,57.0,60.0,6.0,7.2,7.5,16.1,13.3,873.8,0.0,0.0,0.0
60,49.0,58.0,68.0,5.8,7.2,8.2,15.9,12.9,873.8,0.0,0.0,0.0
120,59.0,61.0,64.0,7.3,7.6,7.9,15.9,13.3,873.7,0.0,0.0,0.0
180,51.0,55.0,59.0,7.1,7.5,8.2,15.8,13.4,873.6,0.0,0.0,0.0
240,59.0,63.0,68.0,7.2,7.4,7.7,15.9,13.6,873.7,0.0,0.0,0.0
300,61.0,65.0,70.0,7.0,7.4,7.9,15.9,14.1,873.7,0.0,0.0,0.0
359,62.0,64.0,65.0,7.3,7.4,7.5,16.0,13.1,873.6,0.0,0.0,0.0
419,54.0,64.0,67.0,7.0,7.6,7.8,16.0,13.4,873.6,0.0,0.0,0.0
479,60.0,63.0,66.0,7.2,7.5,7.7,16.0,13.0,873.6,0.0,0.0,0.0
539,66.0,69.0,71.0,7.4,7.8,8.2,15.9,13.3,873.6,0.0,0.0,0.0
599,66.0,69.0,75.0,7.5,8.0,8.4,15.9,13.4,873.6,0.0,0.0,0.0
659,63.0,70.0,75.0,7.6,8.2,8.7,16.0,13.5,873.5,0.0,0.0,0.0
719,69.0,70.0,72.0,8.1,8.3,8.6,16.1,13.5,873.5,0.0,0.0,0.0
779,65.0,69.0,73.0,6.8,8.4,9.1,16.2,13.4,873.5,0.0,0.0,0.0
839,67.0,71.0,75.0,8.0,8.5,8.9,16.2,13.8,873.5,0.0,0.0,0.0
899,68.0,72.0,82.0,7.8,8.7,9.2,16.3,13.3,873.5,0.0,0.0,0.0
960,64.0,72.0,78.0,8.0,8.8,9.2,16.2,13.3,873.5,0.0,0.0,0.0
1019,70.0,74.0,78.0,7.3,9.2,9.6,16.2,13.4,873.5,0.0,0.0,0.0
1079,68.0,74.0,76.0,8.1,9.2,9.7,16.2,13.4,873.4,0.0,0.0,0.0
1139,71.0,75.0,78.0,8.9,9.2,9.6,16.3,13.7,873.5,0.0,0.0,0.0
1199,59.0,74.0,81.0,8.4,9.0,9.5,16.3,13.9,873.4,0.0,0.0,0.0
1259,58.0,73.0,89.0,6.5,8.6,10.1,16.4,14.0,873.5,0.0,0.0,0.0
1319,69.0,72.0,75.0,9.0,9.4,10.1,16.4,14.0,873.4,0.0,0.0,0.0
