year,month,day,hour,Dn,Dm,Dx,Sn,Sm,Sx,Ta,Ua,Pa,Rc,Rd,Ri
2021.0,1.0,1.0,0.0,40.15,38.63,43.75,10.06,11.15,12.06,0.83,60.22,804.48,655.35,46730.0,0.0
2021.0,1.0,1.0,1.0,40.77,43.77,47.02,11.51,12.31,13.03,0.94,59.68,804.47,655.35,46730.0,0.0
2021.0,1.0,1.0,2.0,38.98,44.32,50.7,12.5,13.92,15.2,0.86,58.33,804.29,655.35,46730.0,0.0
2021.0,1.0,1.0,3.0,35.02,41.8,48.88,12.35,14.06,15.52,0.78,56.23,804.34,655.35,46730.0,0.0
2021.0,1.0,1.0,4.0,36.47,43.3,50.48,9.77,11.16,12.39,0.8,55.04,804.97,655.35,46730.0,0.0
2021.0,1.0,1.0,5.0,40.7,46.25,52.5,8.25,9.3,10.29,0.74,55.04,805.64,655.35,46730.0,0.0
2021.0,1.0,1.0,6.0,25.8,30.2,34.23,6.3,6.87,7.39,0.46,55.79,806.3,655.35,46730.0,0.0
2021.0,1.0,1.0,7.0,39.83,43.23,47.53,8.88,9.63,10.33,0.67,53.59,806.69,655.35,46730.0,0.0
2021.0,1.0,1.0,8.0,76.43,67.37,75.33,4.69,5.91,7.01,1.04,52.66,807.92,655.35,46730.0,0.0
2021.0,1.0,1.0,9.0,54.3,68.8,82.83,4.7,6.06,7.44,1.35,50.36,808.83,655.35,46730.0,0.0
2021.0,1.0,1.0,10.0,55.15,65.87,76.67,4.78,5.88,6.87,1.88,47.45,809.1,655.35,46730.0,0.0
2021.0,1.0,1.0,11.0,47.0,52.12,62.2,4.23,5.05,5.82,2.1,45.82,808.92,655.35,46730.0,0.0
2021.0,1.0,1.0,12.0,53.77,65.22,76.78,3.68,4.73,5.63,2.08,46.84,808.77,655.35,46730.0,0.0
2021.0,1.0,1.0,13.0,54.13,61.77,68.68,5.48,6.22,6.94,2.17,46.17,808.75,655.35,46730.0,0.0
2021.0,1.0,1.0,14.0,61.63,68.15,79.08,4.0,4.87,5.7,2.32,45.95,809.06,655.35,46730.0,0.0
2021.0,1.0,1.0,15.0,54.97,61.32,67.1,4.63,5.19,5.69,2.38,45.02,809.54,655.35,46730.0,0.0
2021.0,1.0,1.0,16.0,49.63,54.02,58.78,4.54,4.97,5.35,2.42,44.63,809.98,655.35,46730.0,0.0
2021.0,1.0,1.0,17.0,53.25,54.8,56.47,5.74,5.98,6.21,2.69,43.81,810.34,655.35,46730.0,0.0
2021.0,1.0,1.0,18.0,63.95,66.18,68.63,4.59,4.84,5.08,2.15,45.22,810.75,655.35,46730.0,0.0
2021.0,1.0,1.0,19.0,53.63,56.22,58.95,4.32,4.59,4.86,2.15,44.98,810.96,655.35,46730.0,0.0
2021.0,1.0,1.0,20.0,43.12,39.58,42.53,4.28,4.54,4.79,2.11,45.06,811.23,655.35,46730.0,0.0
2021.0,1.0,1.0,21.0,65.15,43.85,46.5,3.53,3.71,3.9,2.88,44.73,811.64,655.35,46730.0,0.0
2021.0,1.0,1.0,22.0,43.07,44.47,45.63,4.39,4.53,4.67,3.57,44.68,811.8,655.35,46730.0,0.0
2021.0,1.0,1.0,23.0,86.88,88.73,90.43,3.1,3.27,3.45,3.64,43.62,811.93,655.35,46730.0,0.0
2021.0,1.0,2.0,0.0,101.25,93.9,98.85,1.23,1.36,1.5,3.72,38.89,811.74,655.35,46730.0,0.0
2021.0,1.0,2.0,1.0,264.88,269.0,266.73,2.9,3.26,3.57,3.44,42.33,812.14,655.35,46730.0,0.0
2021.0,1.0,2.0,2.0,253.25,256.82,259.32,8.17,9.12,9.82,3.28,46.39,811.93,655.35,46730.0,0.0
2021.0,1.0,2.0,3.0,249.0,252.5,255.15,10.0,10.76,11.29,3.84,43.02,811.74,655.35,46730.0,0.0
2021.0,1.0,2.0,4.0,252.18,255.47,258.25,9.96,10.54,11.04,3.35,44.36,811.75,655.35,46730.0,0.0
2021.0,1.0,2.0,5.0,251.18,256.8,259.95,9.2,10.32,11.17,3.27,44.1,812.02,655.35,46730.0,0.0
2021.0,1.0,2.0,6.0,248.02,250.9,253.57,11.18,11.91,12.54,2.97,45.4,812.34,655.35,46730.0,0.0
2021.0,1.0,2.0,7.0,246.57,250.13,252.8,12.6,13.76,14.57,2.88,45.43,812.64,655.35,46730.0,0.0
2021.0,1.0,2.0,8.0,247.92,253.32,256.93,10.1,11.16,12.08,2.75,44.17,813.23,655.35,46730.0,0.0
2021.0,1.0,2.0,9.0,247.07,260.15,268.4,5.99,7.71,9.15,4.51,33.59,813.34,655.35,46730.0,0.0
2021.0,1.0,2.0,10.0,240.55,252.63,259.8,5.78,7.41,8.74,5.82,25.67,813.07,655.35,46730.0,0.0
2021.0,1.0,2.0,11.0,216.68,224.53,231.53,6.64,7.88,9.0,5.35,31.0,812.26,655.35,46730.0,0.0
2021.0,1.0,2.0,12.0,214.6,223.53,231.87,5.19,6.33,7.36,5.23,37.1,811.9,655.35,46730.0,0.0
2021.0,1.0,2.0,13.0,249.32,262.62,273.52,3.97,5.53,6.87,6.01,34.61,812.02,655.35,46730.0,0.0
2021.0,1.0,2.0,14.0,271.32,281.18,292.33,4.66,6.26,7.54,6.1,34.9,812.18,655.35,46730.0,0.0
2021.0,1.0,2.0,15.0,297.08,306.0,315.62,7.55,9.39,10.67,5.97,31.1,812.13,655.35,46730.0,0.0
2021.0,1.0,2.0,16.0,298.13,305.68,313.85,8.25,10.04,11.29,5.46,31.29,811.89,655.35,46730.0,0.0
2021.0,1.0,2.0,17.0,299.7,308.22,313.07,9.36,11.47,12.93,5.56,29.2,811.87,655.35,46740.33,0.0
2021.0,1.0,2.0,18.0,291.88,298.57,307.67,11.01,12.72,14.0,5.35,28.25,811.82,655.35,46750.0,0.0
2021.0,1.0,2.0,19.0,287.62,293.42,299.8,8.68,10.04,11.02,6.28,23.15,812.01,655.35,46750.0,0.0
2021.0,1.0,2.0,20.0,279.6,284.35,290.48,9.39,10.69,11.6,7.55,27.07,811.99,655.35,46750.0,0.0
2021.0,1.0,2.0,21.0,275.48,280.7,287.27,8.56,10.16,11.31,7.64,32.93,811.92,655.35,46750.0,0.0
2021.0,1.0,2.0,22.0,266.97,275.12,280.07,8.26,10.5,12.19,6.84,31.02,811.73,655.35,46750.0,0.0
2021.0,1.0,2.0,23.0,281.4,287.62,294.32,10.02,11.79,13.11,5.26,40.92,811.52,655.35,46750.0,0.0
2021.0,1.0,3.0,0.0,287.6,294.08,302.3,9.86,11.79,13.19,5.31,50.21,811.58,655.35,46750.0,0.0
2021.0,1.0,3.0,1.0,280.88,288.07,296.43,9.73,11.5,12.75,5.52,49.14,811.5,655.35,46750.0,0.0
2021.0,1.0,3.0,2.0,282.2,287.05,293.33,9.94,11.76,13.02,5.9,43.49,811.14,655.35,46750.0,0.0
2021.0,1.0,3.0,3.0,285.8,290.83,296.52,10.32,11.62,12.57,6.1,44.05,811.14,655.35,46750.0,0.0
2021.0,1.0,3.0,4.0,292.9,298.2,304.03,9.33,10.62,11.59,5.72,51.44,811.18,655.35,46750.0,0.0
2021.0,1.0,3.0,5.0,287.25,291.97,296.75,11.26,12.42,13.29,5.16,56.79,811.31,655.35,46750.0,0.0
2021.0,1.0,3.0,6.0,283.9,291.13,298.78,8.5,10.59,11.95,4.87,62.52,811.24,655.35,46750.0,0.0
2021.0,1.0,3.0,7.0,270.07,278.4,284.75,8.12,9.61,10.82,6.22,47.54,811.6,655.35,46750.0,0.0
2021.0,1.0,3.0,8.0,255.58,266.63,275.02,6.68,8.62,10.04,4.67,64.25,812.11,655.35,46750.0,0.0
2021.0,1.0,3.0,9.0,277.58,287.27,297.53,6.56,7.92,8.96,7.04,39.49,812.45,655.35,46750.0,0.0
2021.0,1.0,3.0,10.0,268.22,280.82,294.58,5.55,6.75,7.8,7.92,32.58,812.2,655.35,46750.0,0.0
2021.0,1.0,3.0,11.0,247.38,267.95,277.55,2.67,3.72,4.62,7.56,46.31,811.67,655.35,46750.0,0.0
2021.0,1.0,3.0,12.0,267.68,280.05,293.92,2.92,3.85,4.64,7.69,49.92,811.2,655.35,46750.0,0.0
2021.0,1.0,3.0,13.0,282.65,292.38,297.83,3.7,4.84,5.7,8.65,38.83,810.82,655.35,46750.0,0.0
2021.0,1.0,3.0,14.0,277.45,291.2,288.33,2.0,2.65,3.24,9.62,37.84,811.07,655.35,46750.0,0.0
2021.0,1.0,3.0,15.0,274.05,266.28,218.65,0.72,1.09,1.44,10.05,37.39,811.35,655.35,46750.0,0.0
2021.0,1.0,3.0,16.0,255.1,248.6,225.12,1.59,2.02,2.4,8.85,34.94,811.37,655.35,46750.0,0.0
2021.0,1.0,3.0,17.0,56.52,28.4,18.37,5.46,5.67,5.9,8.89,35.28,811.36,655.35,46750.0,0.0
2021.0,1.0,3.0,18.0,191.47,163.55,147.67,6.22,6.46,6.71,9.12,32.36,811.58,655.35,46750.0,0.0
2021.0,1.0,3.0,19.0,31.97,33.63,35.38,5.74,5.93,6.14,8.73,36.41,811.86,655.35,46750.0,0.0
2021.0,1.0,3.0,20.0,67.42,69.88,72.27,5.67,5.94,6.22,8.41,37.22,811.85,655.35,46750.0,0.0
2021.0,1.0,3.0,21.0,82.52,86.02,89.25,6.38,6.95,7.4,8.54,30.73,811.74,655.35,46750.0,0.0
2021.0,1.0,3.0,22.0,111.22,112.27,113.33,6.46,6.65,6.83,7.64,31.04,811.78,655.35,46750.0,0.0
2021.0,1.0,3.0,23.0,114.32,115.43,116.6,5.9,6.05,6.22,7.88,31.82,811.68,655.35,46750.0,0.0
2021.0,1.0,4.0,0.0,120.57,121.37,122.25,5.07,5.21,5.36,10.04,26.04,811.7,655.35,46750.0,0.0
2021.0,1.0,4.0,1.0,188.38,192.78,196.9,3.4,3.71,3.98,9.62,28.53,811.93,655.35,46750.0,0.0
2021.0,1.0,4.0,2.0,261.02,263.05,265.02,3.92,4.15,4.35,8.33,34.38,811.92,655.35,46750.0,0.0
2021.0,1.0,4.0,3.0,273.3,274.92,276.52,4.27,4.64,4.98,8.03,35.48,811.85,655.35,46750.0,0.0
2021.0,1.0,4.0,4.0,241.23,243.68,246.55,3.81,4.15,4.5,8.54,30.89,811.69,655.35,46750.0,0.0
2021.0,1.0,4.0,5.0,233.78,237.43,241.4,4.11,4.51,4.89,9.29,26.68,811.91,655.35,46750.0,0.0
2021.0,1.0,4.0,6.0,244.32,246.05,247.72,5.45,5.68,5.89,8.75,27.68,812.23,655.35,46750.0,0.0
2021.0,1.0,4.0,7.0,277.15,279.8,282.77,5.62,6.21,6.65,10.31,32.11,812.7,655.35,46750.0,0.0
