t,Dn,Dm,Dx,Sn,Sm,Sx,Ta,Ua,Pa,Rc,Rd,Ri
0,215.0,243.0,305.0,7.7,9.1,10.0,12.5,42.8,809.1,655.35,64650.0,0.2
60,215.0,243.0,305.0,7.7,9.1,10.0,12.6,42.1,809.2,655.35,64670.0,0.4
120,215.0,243.0,305.0,7.7,9.1,10.0,12.8,42.9,809.2,655.35,64670.0,0.0
180,215.0,243.0,305.0,7.7,9.1,10.0,12.7,43.5,809.2,655.35,64670.0,0.0
240,215.0,243.0,305.0,7.7,9.1,10.0,12.6,42.2,809.1,655.35,64670.0,0.0
300,215.0,243.0,305.0,7.7,9.1,10.0,12.6,42.9,809.2,655.35,64670.0,0.0
360,215.0,243.0,305.0,7.7,9.1,10.0,12.6,43.4,809.1,655.35,64670.0,0.0
420,215.0,243.0,305.0,7.7,9.1,10.0,12.5,42.2,809.2,655.35,64670.0,0.0
480,215.0,243.0,305.0,7.7,9.1,10.0,12.6,44.0,809.1,655.35,64670.0,0.0
540,215.0,243.0,305.0,7.7,9.1,10.0,12.4,42.1,809.3,655.35,64670.0,0.0
600,215.0,243.0,305.0,7.7,9.1,10.0,12.4,43.5,809.2,655.35,64670.0,0.0
660,215.0,243.0,305.0,7.7,9.1,10.0,12.4,44.2,809.2,655.35,64670.0,0.0
721,215.0,243.0,305.0,7.7,9.1,10.0,12.3,44.4,808.9,655.35,64670.0,0.0
780,215.0,243.0,305.0,7.7,9.1,10.0,12.3,43.7,809.0,655.35,64680.0,0.0
840,215.0,243.0,305.0,7.7,9.1,10.0,12.4,44.9,809.1,655.35,64690.0,0.1
900,215.0,243.0,305.0,7.7,9.1,10.0,12.3,43.5,808.8,655.35,64700.0,0.9
960,215.0,243.0,305.0,7.7,9.1,10.0,12.4,43.9,808.8,655.35,64750.0,1.6
1020,215.0,243.0,305.0,7.7,9.1,10.0,12.5,43.7,808.9,655.35,64800.0,0.5
1080,215.0,243.0,305.0,7.7,9.1,10.0,12.5,43.4,808.9,655.35,64830.0,0.4
1140,215.0,243.0,305.0,7.7,9.1,10.0,12.5,43.6,808.9,655.35,64840.0,0.0
1200,215.0,243.0,305.0,7.7,9.1,10.0,12.5,44.0,809.1,655.35,64840.0,0.0
1260,215.0,243.0,305.0,7.7,9.1,10.0,12.4,43.9,808.9,655.35,64840.0,0.0
1320,215.0,243.0,305.0,7.7,9.1,10.0,12.2,44.7,808.9,655.35,64840.0,0.0
1380,215.0,243.0,305.0,7.7,9.1,10.0,12.1,45.1,809.0,655.35,64840.0,0.0
1440,215.0,243.0,305.0,7.7,9.1,10.0,12.1,46.4,808.8,655.35,64840.0,0.0
1500,215.0,243.0,305.0,7.7,9.1,10.0,11.9,44.9,808.7,655.35,64850.0,0.0
1560,215.0,243.0,305.0,7.7,9.1,10.0,12.1,44.6,808.8,655.35,64880.0,1.6
1620,215.0,243.0,305.0,7.7,9.1,10.0,12.2,43.8,808.9,655.35,64890.0,0.0
1680,215.0,243.0,305.0,7.7,9.1,10.0,12.2,44.6,808.9,655.35,64890.0,0.0
1740,215.0,243.0,305.0,7.7,9.1,10.0,12.2,44.5,808.7,655.35,64930.0,2.2
1800,215.0,243.0,305.0,7.7,9.1,10.0,12.3,44.3,808.9,655.35,64970.0,0.4
1860,215.0,243.0,305.0,7.7,9.1,10.0,12.3,43.5,808.8,655.35,64990.0,0.2
1920,215.0,243.0,305.0,7.7,9.1,10.0,12.4,44.7,808.8,655.35,65000.0,0.0
1980,215.0,243.0,305.0,7.7,9.1,10.0,12.3,43.5,808.4,655.35,65020.0,0.3
2040,215.0,243.0,305.0,7.7,9.1,10.0,12.4,43.2,808.9,655.35,65050.0,0.5
2100,215.0,243.0,305.0,7.7,9.1,10.0,12.6,41.5,808.8,655.35,65100.0,1.2
2160,215.0,243.0,305.0,7.7,9.1,10.0,12.7,42.0,808.7,655.35,65110.0,0.0
2220,215.0,243.0,305.0,7.7,9.1,10.0,12.7,42.4,808.8,655.35,65120.0,0.2
2280,215.0,243.0,305.0,7.7,9.1,10.0,12.8,41.5,808.9,655.35,65160.0,0.7
2340,215.0,243.0,305.0,7.7,9.1,10.0,12.8,42.7,808.8,655.35,65170.0,0.0
2400,215.0,243.0,305.0,7.7,9.1,10.0,12.8,42.7,808.7,655.35,65180.0,0.0
2460,215.0,243.0,305.0,7.7,9.1,10.0,12.7,41.7,808.9,655.35,65180.0,0.0
2520,215.0,243.0,305.0,7.7,9.1,10.0,12.7,43.2,808.7,655.35,65180.0,0.0
2580,215.0,243.0,305.0,7.7,9.1,10.0,12.6,43.4,808.8,655.35,65180.0,0.0
2640,215.0,243.0,305.0,7.7,9.1,10.0,12.5,43.6,808.7,655.35,65180.0,0.0
2700,215.0,243.0,305.0,7.7,9.1,10.0,12.6,42.8,808.8,655.35,65180.0,0.0
2760,215.0,243.0,305.0,7.7,9.1,10.0,12.5,43.6,808.8,655.35,65180.0,0.0
2820,215.0,243.0,305.0,7.7,9.1,10.0,12.5,42.7,808.8,655.35,65190.0,0.1
2880,215.0,243.0,305.0,7.7,9.1,10.0,12.6,43.4,808.8,655.35,65190.0,0.0
2940,215.0,243.0,305.0,7.7,9.1,10.0,12.5,41.9,808.8,655.35,65190.0,0.0
3000,215.0,243.0,305.0,7.7,9.1,10.0,12.5,41.6,808.9,655.35,65190.0,0.0
3060,215.0,243.0,305.0,7.7,9.1,10.0,12.6,43.7,808.7,655.35,65190.0,0.0
3120,215.0,243.0,305.0,7.7,9.1,10.0,12.4,44.7,808.8,655.35,65190.0,0.0
3180,215.0,243.0,305.0,7.7,9.1,10.0,12.3,44.2,808.7,655.35,65190.0,0.0
3240,215.0,243.0,305.0,7.7,9.1,10.0,12.3,44.0,808.8,655.35,65190.0,0.0
3300,215.0,243.0,305.0,7.7,9.1,10.0,12.4,43.4,808.9,655.35,65200.0,0.0
3360,215.0,243.0,305.0,7.7,9.1,10.0,12.4,44.4,808.8,655.35,65200.0,0.0
3420,215.0,243.0,305.0,7.7,9.1,10.0,12.3,45.0,808.9,655.35,65200.0,0.0
3480,215.0,243.0,305.0,7.7,9.1,10.0,12.2,45.2,808.7,655.35,65200.0,0.0
3540,215.0,243.0,305.0,7.7,9.1,10.0,12.2,45.5,808.7,655.35,65200.0,0.0
3600,215.0,243.0,305.0,7.7,9.1,10.0,12.1,45.3,808.8,655.35,65200.0,0.0
3660,215.0,243.0,305.0,7.7,9.1,10.0,12.0,45.1,808.5,655.35,65200.0,0.0
3720,215.0,243.0,305.0,7.7,9.1,10.0,12.0,43.4,808.7,655.35,65200.0,0.0
3780,215.0,243.0,305.0,7.7,9.1,10.0,12.2,44.7,808.6,655.35,65200.0,0.0
3840,215.0,243.0,305.0,7.7,9.1,10.0,12.2,42.8,808.7,655.35,65200.0,0.0
3900,215.0,243.0,305.0,7.7,9.1,10.0,12.3,45.1,808.7,655.35,65200.0,0.0
3960,215.0,243.0,305.0,7.7,9.1,10.0,12.1,44.2,808.8,655.35,65200.0,0.0
4020,215.0,243.0,305.0,7.7,9.1,10.0,12.1,45.2,808.7,655.35,65200.0,0.0
4080,215.0,243.0,305.0,7.7,9.1,10.0,12.1,46.0,808.7,655.35,65200.0,0.0
4140,215.0,243.0,305.0,7.7,9.1,10.0,12.0,45.0,808.7,655.35,65200.0,0.0
4200,215.0,243.0,305.0,7.7,9.1,10.0,12.0,46.0,808.7,655.35,65200.0,0.0
4260,215.0,243.0,305.0,7.7,9.1,10.0,12.0,46.4,808.7,655.35,65200.0,0.0
4320,215.0,243.0,305.0,7.7,9.1,10.0,11.9,46.9,808.6,655.35,65200.0,0.0
4380,215.0,243.0,305.0,7.7,9.1,10.0,11.8,46.2,808.5,655.35,65200.0,0.0
4440,215.0,243.0,305.0,7.7,9.1,10.0,11.8,46.2,808.4,655.35,65200.0,0.0
4500,215.0,243.0,305.0,7.7,9.1,10.0,11.8,46.4,808.5,655.35,65200.0,0.0
4560,215.0,243.0,305.0,7.7,9.1,10.0,11.9,44.5,808.6,655.35,65200.0,0.0
4620,215.0,243.0,305.0,7.7,9.1,10.0,11.9,45.7,808.7,655.35,65200.0,0.0
4680,215.0,243.0,305.0,7.7,9.1,10.0,12.0,45.5,808.6,655.35,65200.0,0.0
4740,215.0,243.0,305.0,7.7,9.1,10.0,11.9,46.8,808.5,655.35,65200.0,0.0
4800,215.0,243.0,305.0,7.7,9.1,10.0,11.9,42.4,808.6,655.35,65200.0,0.0
4860,215.0,243.0,305.0,7.7,9.1,10.0,12.1,46.3,808.6,655.35,65200.0,0.0
4920,215.0,243.0,305.0,7.7,9.1,10.0,11.9,45.9,808.6,655.35,65200.0,0.0
4980,215.0,243.0,305.0,7.7,9.1,10.0,11.9,44.5,808.5,655.35,65200.0,0.0
5040,215.0,243.0,305.0,7.7,9.1,10.0,12.0,43.3,808.4,655.35,65210.0,0.0
5100,215.0,243.0,305.0,7.7,9.1,10.0,12.1,41.2,808.4,655.35,65230.0,0.7
