year,month,day,hour,Dn,Dm,Dx,Sn,Sm,Sx,Ta,Ua,Pa,Rc,Rd,Ri
2021.0,1.0,1.0,0.0,21.35,39.93,58.17,6.69,10.47,13.29,0.03,62.27,806.83,8.67,7260.0,0.0
2021.0,1.0,1.0,1.0,22.07,42.35,69.95,7.66,12.39,15.96,0.32,60.02,806.32,8.67,7260.0,0.0
2021.0,1.0,1.0,2.0,26.23,44.6,63.95,10.03,15.12,19.0,0.35,58.36,805.91,8.67,7260.0,0.0
2021.0,1.0,1.0,3.0,28.22,44.78,61.93,9.67,14.41,17.96,0.2,57.45,806.31,8.67,7260.0,0.0
2021.0,1.0,1.0,4.0,25.87,43.42,69.63,8.55,13.67,17.61,0.22,55.58,806.68,8.67,7260.0,0.0
2021.0,1.0,1.0,5.0,26.15,38.1,99.75,5.71,9.43,12.28,0.07,56.14,807.92,8.67,7260.0,0.0
2021.0,1.0,1.0,6.0,26.28,42.58,69.02,6.44,9.08,11.26,-0.22,57.88,808.8,8.67,7260.0,0.0
2021.0,1.0,1.0,7.0,26.72,40.93,62.82,5.8,8.26,10.19,0.17,54.49,809.54,8.67,7260.0,0.0
2021.0,1.0,1.0,8.0,34.93,49.75,69.8,6.76,9.12,11.2,0.79,51.54,810.53,8.67,7260.0,0.0
2021.0,1.0,1.0,9.0,27.1,45.47,64.77,6.94,10.1,12.55,1.25,48.9,811.22,8.67,7260.0,0.0
2021.0,1.0,1.0,10.0,30.48,43.07,74.68,5.8,7.89,9.51,2.01,45.97,811.79,8.67,7260.0,0.0
2021.0,1.0,1.0,11.0,28.02,44.37,69.93,4.75,6.97,8.69,2.72,43.57,811.54,8.67,7260.0,0.0
2021.0,1.0,1.0,12.0,30.12,46.13,68.25,4.7,6.95,8.62,2.61,44.61,811.41,8.67,7260.0,0.0
2021.0,1.0,1.0,13.0,28.83,43.12,63.73,5.51,7.62,9.24,2.52,45.03,811.43,8.67,7260.0,0.0
2021.0,1.0,1.0,14.0,30.33,45.63,70.12,4.07,6.09,7.65,2.55,45.02,811.78,8.67,7260.0,0.0
2021.0,1.0,1.0,15.0,23.73,38.02,89.5,3.0,3.83,4.62,2.36,45.29,812.57,8.67,7260.0,0.0
2021.0,1.0,1.0,16.0,30.68,40.28,62.67,2.74,3.31,3.82,1.78,46.26,813.05,8.67,7260.0,0.0
2021.0,1.0,1.0,17.0,31.7,41.97,52.1,5.58,6.63,7.52,1.52,46.35,813.17,8.67,7260.0,0.0
2021.0,1.0,1.0,18.0,21.73,30.48,45.0,4.99,6.05,6.86,1.02,47.56,813.61,8.67,7260.0,0.0
2021.0,1.0,1.0,19.0,25.08,35.33,46.4,6.01,7.45,8.48,1.16,46.73,813.7,8.67,7260.0,0.0
2021.0,1.0,1.0,20.0,45.48,64.59,122.59,4.18,5.24,5.99,1.14,46.59,814.15,8.67,7260.0,0.0
2021.0,1.0,1.0,21.0,18.33,34.7,45.35,4.21,4.63,4.96,1.89,45.2,814.61,8.67,7260.0,0.0
2021.0,1.0,1.0,22.0,32.47,37.53,43.12,5.44,6.08,6.53,3.01,44.29,814.72,8.67,7260.0,0.0
2021.0,1.0,1.0,23.0,92.1,117.34,135.02,1.96,2.27,2.55,3.25,43.57,814.94,8.67,7260.0,0.0
2021.0,1.0,2.0,0.0,86.53,89.63,106.28,1.44,1.52,1.61,3.54,39.87,814.71,8.67,7260.0,0.0
2021.0,1.0,2.0,1.0,264.03,271.15,279.37,3.27,3.64,3.97,3.16,43.38,815.1,8.67,7260.0,0.0
2021.0,1.0,2.0,2.0,277.15,285.3,294.43,4.13,4.99,5.63,2.32,49.73,815.24,8.67,7260.0,0.0
2021.0,1.0,2.0,3.0,276.07,283.6,292.05,5.75,6.56,7.25,2.92,46.8,814.94,8.67,7260.0,0.0
2021.0,1.0,2.0,4.0,272.92,281.52,291.07,5.15,6.03,6.79,2.59,46.63,814.85,8.73,7366.67,0.22
2021.0,1.0,2.0,5.0,276.92,286.63,297.2,6.14,7.31,8.36,2.53,46.2,815.16,8.9,7660.0,0.0
2021.0,1.0,2.0,6.0,273.75,282.57,292.2,6.53,7.78,8.88,2.27,47.3,815.63,8.9,7660.0,0.0
2021.0,1.0,2.0,7.0,279.95,288.98,298.05,5.39,6.3,7.12,2.06,48.26,816.38,8.9,7660.0,0.0
2021.0,1.0,2.0,8.0,265.68,280.98,291.67,3.43,4.63,5.52,2.06,47.64,816.69,8.9,7660.0,0.0
2021.0,1.0,2.0,9.0,258.98,275.4,284.13,3.53,4.44,5.22,3.74,37.58,816.54,8.9,7660.0,0.0
2021.0,1.0,2.0,10.0,248.47,257.3,266.48,4.51,5.47,6.29,5.01,32.33,816.12,8.9,7660.0,0.0
2021.0,1.0,2.0,11.0,250.23,268.25,274.97,5.48,7.49,8.71,4.89,36.47,815.31,8.9,7660.0,0.0
2021.0,1.0,2.0,12.0,266.18,275.97,284.85,5.64,7.55,8.81,4.99,34.61,814.82,8.9,7660.0,0.0
