year,month,day,hour,Dn,Dm,Dx,Sn,Sm,Sx,Ta,Ua,Pa,Rc,Rd,Ri
2021.0,1.0,1.0,0.0,266.13,147.82,68.28,0.78,1.51,2.36,9.6,38.9,915.44,655.35,42392.0,0.0
2021.0,1.0,1.0,1.0,236.63,42.73,57.77,2.35,3.72,5.18,10.0,37.63,914.92,655.35,42392.0,0.0
2021.0,1.0,1.0,2.0,269.23,73.83,62.17,2.11,3.74,5.47,10.03,36.66,914.87,655.35,42392.0,0.0
2021.0,1.0,1.0,3.0,310.25,203.27,61.5,1.03,1.97,2.99,9.75,37.2,915.26,655.35,42392.0,0.0
2021.0,1.0,1.0,4.0,153.9,56.1,58.03,2.32,3.52,4.86,9.55,37.23,915.82,655.35,42392.0,0.0
2021.0,1.0,1.0,5.0,78.17,27.47,49.55,2.06,3.14,4.26,9.17,37.94,916.52,655.35,42392.0,0.0
2021.0,1.0,1.0,6.0,249.25,46.17,42.8,1.91,3.03,4.19,9.61,35.37,917.0,655.35,42392.0,0.0
2021.0,1.0,1.0,7.0,289.33,58.65,55.77,1.3,2.1,2.89,9.56,34.05,917.62,655.35,42392.0,0.0
2021.0,1.0,1.0,8.0,263.13,47.37,48.27,1.82,3.04,4.34,10.43,31.16,918.59,655.35,42392.0,0.0
2021.0,1.0,1.0,9.0,52.73,40.87,57.0,2.2,2.98,3.76,10.92,31.73,919.65,655.35,42392.0,0.0
2021.0,1.0,1.0,10.0,134.97,134.58,138.12,0.77,1.19,1.63,12.75,30.47,919.96,655.35,42392.0,0.0
2021.0,1.0,1.0,11.0,225.9,211.72,169.8,0.78,1.12,1.48,13.24,29.46,919.51,655.35,42392.0,0.0
2021.0,1.0,1.0,12.0,238.02,264.02,273.07,1.17,1.96,2.66,14.38,27.15,918.96,655.35,42392.0,0.0
2021.0,1.0,1.0,13.0,257.32,282.17,259.62,1.14,1.71,2.24,14.5,28.04,919.06,655.35,42392.0,0.0
2021.0,1.0,1.0,14.0,257.65,284.83,260.53,1.02,1.64,2.21,14.44,30.36,919.29,655.35,42392.0,0.0
2021.0,1.0,1.0,15.0,255.03,276.82,275.63,1.23,1.88,2.44,13.86,32.76,919.84,655.35,42392.0,0.0
2021.0,1.0,1.0,16.0,233.6,256.38,276.7,1.36,1.95,2.52,12.76,35.1,920.32,655.35,42392.0,0.0
2021.0,1.0,1.0,17.0,271.5,285.57,300.18,1.21,1.65,2.06,12.33,27.64,920.94,655.35,42392.0,0.0
2021.0,1.0,1.0,18.0,139.05,132.97,127.8,0.96,1.16,1.39,11.49,32.65,921.34,655.35,42392.0,0.0
2021.0,1.0,1.0,19.0,195.2,166.75,91.05,1.22,1.43,1.64,10.61,35.96,921.8,655.35,42392.0,0.0
2021.0,1.0,1.0,20.0,164.25,149.57,129.4,0.74,0.94,1.13,11.06,32.18,922.02,655.35,42392.0,0.0
2021.0,1.0,1.0,21.0,148.87,160.82,173.1,0.97,1.19,1.43,11.32,34.09,922.14,655.35,42392.0,0.0
2021.0,1.0,1.0,22.0,190.15,194.67,198.68,1.98,2.17,2.34,10.72,35.86,922.56,655.35,42392.0,0.0
2021.0,1.0,1.0,23.0,174.83,179.85,184.87,2.47,2.72,2.95,10.63,37.53,922.62,655.35,42392.0,0.0
2021.0,1.0,2.0,0.0,201.67,206.12,210.2,1.55,1.72,1.89,10.92,32.76,922.61,655.35,42392.0,0.0
2021.0,1.0,2.0,1.0,215.7,220.92,226.1,1.37,1.53,1.71,11.04,31.63,923.1,655.35,42392.0,0.0
2021.0,1.0,2.0,2.0,187.28,189.38,195.22,1.43,1.58,1.73,11.07,31.91,923.03,655.35,42392.0,0.0
2021.0,1.0,2.0,3.0,179.48,182.92,186.07,2.07,2.24,2.41,10.69,33.13,922.81,655.35,42392.0,0.0
2021.0,1.0,2.0,4.0,171.52,177.37,182.87,3.36,3.78,4.17,10.4,34.32,922.61,655.35,42392.0,0.0
2021.0,1.0,2.0,5.0,178.75,182.9,187.1,3.71,4.08,4.43,10.57,33.78,923.12,655.35,42392.0,0.0
2021.0,1.0,2.0,6.0,190.18,196.98,203.7,3.21,3.62,4.05,10.37,34.34,923.96,655.35,42392.0,0.0
2021.0,1.0,2.0,7.0,203.35,209.08,214.25,3.29,3.64,3.94,10.15,34.79,924.59,655.35,42392.0,0.0
2021.0,1.0,2.0,8.0,192.35,199.23,205.62,2.96,3.32,3.67,10.75,30.2,924.65,655.35,42392.0,0.0
2021.0,1.0,2.0,9.0,179.58,188.67,198.97,2.59,3.24,3.83,11.28,32.38,924.64,655.35,42392.0,0.0
2021.0,1.0,2.0,10.0,193.55,203.62,214.17,2.94,3.69,4.37,11.75,33.51,924.48,655.35,42392.0,0.0
2021.0,1.0,2.0,11.0,196.9,206.75,218.08,3.18,3.98,4.73,12.18,31.67,923.76,655.35,42392.0,0.0
2021.0,1.0,2.0,12.0,200.4,214.3,228.97,2.62,3.49,4.32,12.94,31.48,923.09,655.35,42392.0,0.0
2021.0,1.0,2.0,13.0,217.65,242.23,267.47,1.57,2.43,3.26,13.6,33.88,922.94,655.35,42392.0,0.0
2021.0,1.0,2.0,14.0,223.2,251.73,268.38,1.24,2.07,2.84,13.74,37.78,923.0,655.35,42392.0,0.0
2021.0,1.0,2.0,15.0,224.35,253.47,243.05,1.12,1.66,2.19,12.68,39.5,922.89,655.35,42392.0,0.0
2021.0,1.0,2.0,16.0,223.27,240.0,248.53,1.09,1.4,1.71,11.22,40.64,922.75,655.35,42392.0,0.0
2021.0,1.0,2.0,17.0,300.33,321.37,270.28,1.01,1.44,1.91,11.11,30.26,922.89,655.35,42392.0,0.0
2021.0,1.0,2.0,18.0,233.47,209.53,210.5,0.66,0.97,1.27,10.58,32.02,922.88,655.35,42392.0,0.0
2021.0,1.0,2.0,19.0,129.75,137.12,143.08,0.7,0.89,1.09,10.0,41.02,922.53,655.35,42392.0,0.0
2021.0,1.0,2.0,20.0,127.78,143.32,158.72,0.56,0.73,0.91,9.88,44.06,922.55,655.35,42392.0,0.0
2021.0,1.0,2.0,21.0,143.98,160.5,176.3,0.63,0.83,1.03,9.97,43.05,922.61,655.35,42392.0,0.0
2021.0,1.0,2.0,22.0,183.68,191.37,198.58,1.27,1.49,1.69,9.25,45.82,922.96,655.35,42392.0,0.0
2021.0,1.0,2.0,23.0,165.87,175.05,178.1,1.02,1.24,1.46,9.42,37.35,922.75,655.35,42392.0,0.0
2021.0,1.0,3.0,0.0,272.2,219.18,178.33,0.44,0.6,0.77,9.73,30.42,922.76,655.35,42392.0,0.0
2021.0,1.0,3.0,1.0,240.55,241.93,243.53,0.44,0.6,0.74,9.78,29.13,922.47,655.35,42392.0,0.0
2021.0,1.0,3.0,2.0,208.17,206.77,205.7,0.61,0.76,0.92,9.64,28.86,922.17,655.35,42392.0,0.0
2021.0,1.0,3.0,3.0,132.42,133.82,129.7,0.67,0.78,0.89,9.51,30.38,922.03,655.35,42392.0,0.0
2021.0,1.0,3.0,4.0,91.03,91.58,91.77,0.8,0.9,1.01,9.75,28.76,922.01,655.35,42392.0,0.0
2021.0,1.0,3.0,5.0,179.88,187.2,196.07,0.54,0.67,0.8,9.57,28.87,922.2,655.35,42392.0,0.0
2021.0,1.0,3.0,6.0,170.73,181.02,190.37,0.97,1.17,1.39,9.3,31.83,922.07,655.35,42392.0,0.0
2021.0,1.0,3.0,7.0,210.97,219.43,228.0,1.2,1.44,1.66,9.4,32.53,922.46,655.35,42392.0,0.0
2021.0,1.0,3.0,8.0,226.6,243.3,248.7,0.73,1.0,1.3,9.89,33.61,923.07,655.35,42392.0,0.0
2021.0,1.0,3.0,9.0,183.48,201.38,211.62,1.85,2.32,2.77,10.36,42.28,923.21,655.35,42392.0,0.0
2021.0,1.0,3.0,10.0,180.52,192.33,204.78,2.17,2.82,3.43,10.28,47.84,922.84,655.35,42392.0,0.0
2021.0,1.0,3.0,11.0,182.77,197.1,211.83,2.18,2.87,3.59,11.69,42.74,922.16,655.35,42392.0,0.0
2021.0,1.0,3.0,12.0,182.68,197.53,213.57,2.49,3.28,4.02,12.48,41.03,921.26,655.35,42392.0,0.0
2021.0,1.0,3.0,13.0,191.77,202.63,212.33,3.27,4.06,4.77,12.78,38.56,920.61,655.35,42392.0,0.0
2021.0,1.0,3.0,14.0,199.92,211.5,223.97,2.91,3.65,4.33,13.0,44.7,920.6,655.35,42392.0,0.0
2021.0,1.0,3.0,15.0,219.68,240.85,243.9,1.85,2.63,3.32,12.33,56.41,920.8,655.35,42392.0,0.0
2021.0,1.0,3.0,16.0,197.57,177.03,189.27,0.61,0.91,1.22,10.96,63.24,920.79,655.35,42392.0,0.0
2021.0,1.0,3.0,17.0,159.53,127.95,114.57,0.58,0.73,0.88,10.39,57.51,921.02,655.35,42392.0,0.0
2021.0,1.0,3.0,18.0,39.98,46.65,54.03,0.98,1.15,1.3,9.67,64.36,921.19,655.35,42392.0,0.0
2021.0,1.0,3.0,19.0,100.7,115.22,129.12,0.76,0.96,1.16,9.66,64.25,921.03,655.35,42392.0,0.0
2021.0,1.0,3.0,20.0,141.12,146.68,135.75,0.48,0.6,0.74,10.08,59.4,920.88,655.35,42392.0,0.0
2021.0,1.0,3.0,21.0,241.85,224.82,189.53,0.76,0.98,1.18,9.84,62.39,921.05,655.35,42392.0,0.0
2021.0,1.0,3.0,22.0,91.52,32.77,35.2,1.71,1.94,2.17,9.59,68.5,921.07,655.35,42392.0,0.0
2021.0,1.0,3.0,23.0,31.18,34.9,38.6,1.58,1.72,1.87,10.57,53.63,920.91,655.35,42392.0,0.0
2021.0,1.0,4.0,0.0,162.63,149.88,136.83,0.8,0.94,1.09,11.89,42.73,920.94,655.35,42392.0,0.0
