t,Dn,Dm,Dx,Sn,Sm,Sx,Ta,Ua,Pa,Rc,Rd,Ri
0,7.0,13.0,21.0,1.2,1.4,1.6,19.8,45.4,915.1,0.61,3130.0,0.0
60,9.0,14.0,17.0,1.5,1.7,1.9,19.8,45.0,915.1,0.61,3130.0,0.0
120,18.0,23.0,28.0,1.1,1.3,1.6,19.8,44.8,915.1,0.61,3130.0,0.0
180,5.0,13.0,29.0,1.3,1.6,1.8,19.7,44.5,915.1,0.61,3130.0,0.0
240,19.0,27.0,35.0,1.5,1.7,2.0,19.7,44.2,915.1,0.61,3130.0,0.0
300,11.0,18.0,34.0,1.0,1.2,1.5,19.7,44.2,915.1,0.61,3130.0,0.0
360,9.0,18.0,25.0,1.0,1.1,1.2,19.7,44.4,915.1,0.61,3130.0,0.0
420,27.0,33.0,40.0,0.9,1.0,1.2,19.7,44.4,915.1,0.61,3130.0,0.0
480,36.0,42.0,48.0,1.1,1.2,1.4,19.6,44.8,915.1,0.61,3130.0,0.0
540,55.0,59.0,64.0,1.2,1.4,1.6,19.7,46.8,915.1,0.61,3130.0,0.0
600,41.0,44.0,49.0,1.5,1.6,1.7,19.7,46.8,915.1,0.61,3130.0,0.0
660,38.0,45.0,52.0,1.3,1.4,1.6,19.8,46.8,915.1,0.61,3130.0,0.0
720,33.0,38.0,42.0,1.3,1.4,1.5,19.8,46.7,915.0,0.61,3130.0,0.0
780,21.0,34.0,47.0,1.1,1.3,1.5,19.8,46.7,915.0,0.61,3130.0,0.0
840,22.0,29.0,35.0,0.9,1.2,1.5,19.8,46.4,915.0,0.61,3130.0,0.0
900,27.0,36.0,47.0,0.7,0.9,1.1,19.8,46.6,915.0,0.61,3130.0,0.0
960,17.0,24.0,29.0,1.1,1.2,1.5,19.8,47.6,915.0,0.61,3130.0,0.0
1020,29.0,36.0,41.0,1.1,1.3,1.5,19.8,47.4,915.0,0.61,3130.0,0.0
1080,30.0,38.0,49.0,1.1,1.2,1.3,19.8,47.6,915.0,0.61,3130.0,0.0
1140,22.0,25.0,28.0,1.3,1.4,1.6,19.8,48.0,915.0,0.61,3130.0,0.0
1200,27.0,34.0,45.0,1.1,1.2,1.4,19.8,47.8,915.0,0.61,3130.0,0.0
1260,20.0,36.0,44.0,1.2,1.4,1.6,19.8,47.5,915.0,0.61,3130.0,0.0
1320,15.0,25.0,32.0,1.0,1.2,1.3,19.8,47.9,915.0,0.61,3130.0,0.0
1380,27.0,35.0,46.0,1.1,1.4,1.6,19.8,48.0,915.0,0.61,3130.0,0.0
1440,23.0,30.0,45.0,0.8,1.1,1.7,19.7,48.2,915.0,0.61,3130.0,0.0
1500,35.0,43.0,50.0,1.3,1.5,1.7,19.7,48.1,915.0,0.61,3130.0,0.0
1560,35.0,38.0,41.0,1.3,1.4,1.5,19.7,48.0,915.0,0.61,3130.0,0.0
1620,34.0,37.0,39.0,1.4,1.5,1.7,19.8,48.3,915.0,0.61,3130.0,0.0
1680,18.0,29.0,37.0,1.0,1.2,1.3,19.8,48.3,915.0,0.61,3130.0,0.0
1740,25.0,29.0,36.0,1.1,1.4,1.6,19.8,48.3,915.0,0.61,3130.0,0.0
1800,21.0,34.0,48.0,0.8,1.2,1.4,19.8,48.8,915.0,0.61,3130.0,0.0
1860,42.0,50.0,55.0,1.0,1.2,1.4,19.8,48.4,915.0,0.61,3130.0,0.0
1920,37.0,41.0,46.0,0.9,1.0,1.2,19.8,48.4,915.0,0.61,3130.0,0.0
1980,32.0,37.0,48.0,1.0,1.1,1.2,19.8,48.7,914.9,0.61,3130.0,0.0
2040,36.0,41.0,50.0,1.0,1.1,1.3,19.8,48.6,914.9,0.61,3130.0,0.0
2100,33.0,38.0,40.0,0.8,0.9,0.9,19.8,48.7,914.9,0.61,3130.0,0.0
2160,56.0,59.0,63.0,0.6,0.7,0.8,19.8,48.7,914.9,0.61,3130.0,0.0
2220,59.0,61.0,64.0,0.7,0.8,0.9,19.8,49.1,914.9,0.61,3130.0,0.0
2280,43.0,48.0,52.0,0.8,0.9,1.1,19.8,49.0,914.9,0.61,3130.0,0.0
2340,28.0,31.0,34.0,1.2,1.3,1.4,19.8,48.5,914.9,0.61,3130.0,0.0
2400,22.0,32.0,41.0,1.0,1.3,1.4,19.8,48.4,914.9,0.61,3130.0,0.0
2460,33.0,38.0,39.0,1.2,1.3,1.4,19.7,48.3,914.9,0.61,3130.0,0.0
2520,42.0,48.0,54.0,1.0,1.1,1.2,19.7,48.4,914.9,0.61,3130.0,0.0
2580,61.0,68.0,70.0,0.8,0.9,1.0,19.7,48.4,914.9,0.61,3130.0,0.0
2640,52.0,56.0,61.0,0.7,0.8,0.9,19.7,48.4,914.9,0.61,3130.0,0.0
2700,102.0,113.0,124.0,0.4,0.5,0.6,19.7,48.4,914.9,0.61,3130.0,0.0
2760,130.0,153.0,168.0,0.3,0.5,0.7,19.7,48.2,914.8,0.61,3130.0,0.0
2820,150.0,162.0,169.0,0.5,0.7,0.8,19.7,48.1,914.8,0.61,3130.0,0.0
2880,115.0,156.0,181.0,0.2,0.3,0.5,19.8,47.8,914.8,0.61,3130.0,0.0
2940,105.0,130.0,171.0,0.2,0.5,0.6,19.9,47.5,914.8,0.61,3130.0,0.0
3000,130.0,154.0,174.0,0.1,0.2,0.4,19.9,47.5,914.8,0.61,3130.0,0.0
3060,80.0,94.0,108.0,0.2,0.4,0.7,20.0,47.3,914.8,0.61,3130.0,0.0
3120,83.0,91.0,96.0,0.3,0.4,0.5,20.0,47.2,914.8,0.61,3130.0,0.0
3180,99.0,102.0,108.0,0.5,0.6,0.8,20.1,46.7,914.8,0.61,3130.0,0.0
3240,80.0,94.0,115.0,0.6,0.9,1.1,20.2,46.2,914.8,0.61,3130.0,0.0
3300,101.0,107.0,114.0,0.5,0.6,0.7,20.3,46.1,914.8,0.61,3130.0,0.0
3360,84.0,92.0,107.0,0.5,0.6,0.7,20.3,46.0,914.8,0.61,3130.0,0.0
3420,75.0,79.0,91.0,0.4,0.6,0.7,20.4,46.0,914.8,0.61,3130.0,0.0
3480,33.0,42.0,50.0,0.3,0.5,0.7,20.5,45.9,914.8,0.61,3130.0,0.0
3540,49.0,53.0,62.0,0.4,0.5,0.6,20.6,45.8,914.8,0.61,3130.0,0.0
3600,32.0,44.0,58.0,0.4,0.5,0.7,20.7,45.5,914.8,0.61,3130.0,0.0
3660,37.0,46.0,55.0,0.8,0.8,0.9,20.7,45.2,914.8,0.61,3130.0,0.0
3720,61.0,70.0,79.0,0.8,0.9,1.0,20.7,45.2,914.8,0.61,3130.0,0.0
3780,74.0,75.0,78.0,0.6,0.7,0.9,20.8,45.1,914.8,0.61,3130.0,0.0
3840,66.0,70.0,72.0,0.8,1.0,1.1,20.8,45.0,914.8,0.61,3130.0,0.0
3900,66.0,74.0,78.0,0.6,0.7,0.8,20.9,44.8,914.8,0.61,3130.0,0.0
3960,68.0,76.0,80.0,0.7,0.8,1.0,20.9,44.4,914.8,0.61,3130.0,0.0
4020,75.0,79.0,84.0,0.8,1.0,1.1,21.0,44.2,914.8,0.61,3130.0,0.0
4080,68.0,72.0,80.0,0.9,1.0,1.2,21.0,44.0,914.8,0.61,3130.0,0.0
4140,74.0,75.0,76.0,0.7,0.8,0.8,21.1,44.0,914.8,0.61,3130.0,0.0
4200,72.0,81.0,90.0,0.5,0.6,0.7,21.2,43.8,914.8,0.61,3130.0,0.0
4260,85.0,91.0,97.0,0.4,0.5,0.6,21.2,43.8,914.8,0.61,3130.0,0.0
4320,118.0,130.0,152.0,0.3,0.4,0.5,21.2,43.7,914.8,0.61,3130.0,0.0
4380,187.0,199.0,209.0,0.4,0.5,0.6,21.2,43.7,914.8,0.61,3130.0,0.0
4440,162.0,169.0,177.0,0.7,0.8,0.9,21.2,43.7,914.8,0.61,3130.0,0.0
4500,143.0,160.0,182.0,0.2,0.3,0.5,21.1,44.0,914.8,0.61,3130.0,0.0
4560,113.0,136.0,155.0,0.2,0.2,0.3,21.1,44.1,914.8,0.61,3130.0,0.0
4620,66.0,81.0,93.0,0.1,0.2,0.3,21.1,44.2,914.8,0.61,3130.0,0.0
4680,70.0,86.0,95.0,0.1,0.2,0.3,21.0,44.3,914.7,0.61,3130.0,0.0
4740,79.0,95.0,102.0,0.1,0.2,0.3,21.0,44.5,914.7,0.61,3130.0,0.0
4800,354.0,10.0,29.0,0.1,0.3,0.4,20.9,44.6,914.7,0.61,3130.0,0.0
