year,month,day,hour,Dn,Dm,Dx,Sn,Sm,Sx,Ta,Ua,Pa,Rc,Rd,Ri
2021.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,99.9,0.0,8.55,39.97,888.33,11.86,1650.0,0.0
2021.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,99.9,0.0,8.34,40.99,888.37,11.86,1650.0,0.0
2021.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,99.9,0.0,8.23,41.06,888.4,11.86,1650.0,0.0
2021.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,99.9,0.0,8.42,39.3,888.47,11.86,1650.0,0.0
2021.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,99.9,0.0,8.11,39.84,889.13,11.86,1650.0,0.0
2021.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,99.9,0.0,8.29,38.57,889.77,11.86,1650.0,0.0
2021.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,99.9,0.0,8.07,39.35,890.3,11.86,1650.0,0.0
2021.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,99.9,0.0,8.34,37.29,891.0,11.86,1650.0,0.0
2021.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,99.9,0.0,9.06,36.46,892.19,11.86,1650.0,0.0
2021.0,1.0,1.0,9.0,0.0,0.0,0.0,0.0,99.9,0.0,9.49,37.61,893.05,11.86,1650.0,0.0
2021.0,1.0,1.0,10.0,0.0,0.0,0.0,0.0,99.9,0.0,10.16,36.51,893.28,11.86,1650.0,0.0
2021.0,1.0,1.0,11.0,0.0,0.0,0.0,0.0,99.9,0.0,10.59,36.67,892.85,11.86,1650.0,0.0
2021.0,1.0,1.0,12.0,0.0,0.0,0.0,0.0,99.9,0.0,11.43,36.36,892.38,11.86,1650.0,0.0
2021.0,1.0,1.0,13.0,0.0,0.0,0.0,0.0,99.9,0.0,10.98,36.48,892.44,11.86,1650.0,0.0
2021.0,1.0,1.0,14.0,0.0,0.0,0.0,0.0,99.9,0.0,10.72,39.6,892.64,11.86,1650.0,0.0
2021.0,1.0,1.0,15.0,0.0,0.0,0.0,0.0,99.9,0.0,10.04,39.93,893.22,11.86,1650.0,0.0
2021.0,1.0,1.0,16.0,0.0,0.0,0.0,0.0,99.9,0.0,10.21,39.08,893.77,11.86,1650.0,0.0
2021.0,1.0,1.0,17.0,0.0,0.0,0.0,0.0,99.9,0.0,9.76,39.05,894.35,11.86,1650.0,0.0
2021.0,1.0,1.0,18.0,0.0,0.0,0.0,0.0,99.9,0.0,9.41,36.76,894.68,11.86,1650.0,0.0
2021.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,99.9,0.0,9.28,37.47,895.04,11.86,1650.0,0.0
2021.0,1.0,1.0,20.0,0.0,0.0,0.0,0.0,99.9,0.0,9.28,38.14,895.48,11.86,1650.0,0.0
2021.0,1.0,1.0,21.0,0.0,0.0,0.0,0.0,99.9,0.0,8.95,39.0,895.54,11.86,1650.0,0.0
2021.0,1.0,1.0,22.0,0.0,0.0,0.0,0.0,99.9,0.0,9.07,39.76,895.93,11.86,1650.0,0.0
2021.0,1.0,1.0,23.0,0.0,0.0,0.0,0.0,99.9,0.0,9.41,40.01,895.93,11.86,1650.0,0.0
2021.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,99.9,0.0,9.62,38.89,895.68,11.86,1650.0,0.0
