year,month,day,hour,Dn,Dm,Dx,Sn,Sm,Sx,Ta,Ua,Pa,Rc,Rd,Ri
2021.0,1.0,1.0,0.0,184.45,180.42,176.78,5.18,6.5,7.94,10.5,37.38,907.4,95.31,59810.0,0.0
2021.0,1.0,1.0,1.0,164.87,148.4,161.9,5.77,7.67,10.24,10.74,36.37,907.15,95.31,59810.0,0.0
2021.0,1.0,1.0,2.0,125.3,118.43,155.1,4.1,6.49,9.09,10.63,36.73,907.15,95.31,59810.0,0.0
2021.0,1.0,1.0,3.0,106.28,95.02,132.3,6.07,9.44,13.17,10.83,35.63,907.19,95.49,59867.67,0.22
2021.0,1.0,1.0,4.0,159.17,137.22,151.85,4.8,6.1,7.94,10.32,36.87,907.71,95.53,59880.0,0.0
2021.0,1.0,1.0,5.0,156.13,152.5,160.55,4.5,6.34,8.53,10.18,36.74,908.37,95.53,59880.0,0.0
2021.0,1.0,1.0,6.0,152.72,127.82,154.75,4.95,7.27,9.64,10.44,34.2,908.73,95.53,59880.0,0.0
2021.0,1.0,1.0,7.0,133.87,154.8,203.18,9.15,11.78,14.37,10.44,34.92,909.51,95.53,59880.0,0.0
2021.0,1.0,1.0,8.0,178.05,126.4,177.92,12.33,14.16,15.98,11.22,33.48,910.65,95.53,59880.0,0.0
2021.0,1.0,1.0,9.0,223.85,99.32,151.35,6.23,8.85,11.33,13.16,32.01,911.47,95.53,59880.0,0.0
2021.0,1.0,1.0,10.0,158.32,132.17,161.9,3.13,4.92,7.1,13.26,34.7,911.64,95.53,59880.0,0.0
2021.0,1.0,1.0,11.0,252.12,137.25,179.33,8.28,10.53,12.99,13.63,31.0,911.3,95.53,59880.0,0.0
2021.0,1.0,1.0,12.0,249.85,172.83,128.73,10.46,12.13,13.74,14.86,30.11,910.86,95.53,59880.0,0.0
2021.0,1.0,1.0,13.0,259.53,198.82,132.97,11.52,13.08,14.48,15.81,30.06,910.97,95.53,59880.0,0.0
