t,Dn,Dm,Dx,Sn,Sm,Sx,Ta,Ua,Pa,Rc,Rd,Ri
0,102.0,142.0,172.0,12.0,12.7,13.8,14.8,18.6,910.9,95.53,59880.0,0.0
60,60.0,128.0,179.0,12.2,13.2,14.4,15.2,17.5,910.9,95.53,59880.0,0.0
120,145.0,240.0,333.0,9.0,13.3,15.7,15.5,17.9,910.9,95.53,59880.0,0.0
180,238.0,310.0,325.0,2.2,5.0,15.2,15.6,17.9,910.9,95.53,59880.0,0.0
240,144.0,296.0,330.0,1.3,3.4,6.8,15.6,17.6,910.8,95.53,59880.0,0.0
300,141.0,256.0,330.0,2.4,6.6,11.3,15.7,17.4,910.9,95.53,59880.0,0.0
360,307.0,44.0,144.0,4.3,7.1,8.6,15.8,16.9,910.9,95.53,59880.0,0.0
420,139.0,142.0,145.0,10.0,11.0,11.7,16.0,16.3,910.8,95.53,59880.0,0.0
480,311.0,61.0,145.0,7.7,12.6,17.5,16.2,16.3,910.9,95.53,59880.0,0.0
540,319.0,126.0,149.0,10.3,11.3,11.9,16.2,16.1,910.9,95.53,59880.0,0.0
600,296.0,349.0,145.0,1.1,3.7,11.0,16.2,15.6,910.9,95.53,59880.0,0.0
660,88.0,133.0,140.0,10.7,11.5,12.8,16.3,15.8,910.9,95.53,59880.0,0.0
720,124.0,136.0,139.0,11.6,12.1,13.6,16.4,15.6,910.9,95.53,59880.0,0.0
780,137.0,140.0,145.0,10.9,11.4,12.0,16.4,14.9,910.9,95.53,59880.0,0.0
840,332.0,89.0,148.0,12.5,14.1,17.1,16.6,15.2,910.8,95.53,59880.0,0.0
900,134.0,223.0,330.0,5.2,8.9,13.0,16.5,14.7,910.8,95.53,59880.0,0.0
960,144.0,268.0,329.0,1.5,5.1,9.6,16.6,15.5,910.8,95.53,59880.0,0.0
1020,298.0,331.0,89.0,1.9,4.7,14.0,16.5,15.7,910.8,95.53,59880.0,0.0
1080,143.0,281.0,329.0,3.0,4.6,7.5,16.4,15.9,910.8,95.53,59880.0,0.0
1140,309.0,3.0,143.0,1.8,4.3,9.4,16.3,16.2,910.8,95.53,59880.0,0.0
1200,287.0,304.0,323.0,3.3,3.8,4.7,16.2,15.4,910.7,95.53,59880.0,0.0
1260,270.0,26.0,138.0,5.4,11.0,15.9,16.2,15.2,910.6,95.53,59880.0,0.0
1320,331.0,122.0,278.0,7.8,11.6,14.6,16.3,14.0,910.7,95.53,59880.0,0.0
1380,137.0,250.0,328.0,2.3,6.9,11.9,16.4,14.7,910.6,95.53,59880.0,0.0
1440,136.0,192.0,328.0,8.8,11.3,13.8,16.4,14.7,910.6,95.53,59880.0,0.0
1500,132.0,198.0,333.0,10.5,12.2,15.5,16.4,14.2,910.7,95.53,59880.0,0.0
1560,0.0,108.0,148.0,10.3,14.5,16.9,16.5,14.2,910.7,95.53,59880.0,0.0
1620,104.0,135.0,179.0,13.6,14.3,15.3,16.5,14.7,910.7,95.53,59880.0,0.0
1680,102.0,130.0,174.0,12.6,14.0,15.5,16.4,14.8,910.7,95.53,59880.0,0.0
1740,311.0,6.0,147.0,1.8,6.9,14.5,16.3,14.3,910.7,95.53,59880.0,0.0
1800,143.0,229.0,316.0,1.1,6.2,13.8,16.3,14.5,910.6,95.53,59880.0,0.0
1860,59.0,120.0,145.0,12.6,13.6,15.2,16.2,14.3,910.6,95.53,59880.0,0.0
1920,270.0,34.0,93.0,10.4,15.7,18.8,16.3,15.4,910.6,95.53,59880.0,0.0
1980,86.0,129.0,162.0,13.9,15.5,17.2,16.2,16.0,910.6,95.53,59880.0,0.0
2040,92.0,196.0,304.0,0.1,3.5,11.4,16.0,15.6,910.6,95.53,59880.0,0.0
2100,331.0,114.0,270.0,11.3,14.6,17.9,15.9,15.5,910.5,95.53,59880.0,0.0
2160,314.0,9.0,91.0,0.2,5.4,16.2,15.8,15.9,910.6,95.53,59880.0,0.0
2220,121.0,152.0,211.0,13.4,13.8,14.6,15.7,16.3,910.6,95.53,59880.0,0.0
2280,104.0,142.0,179.0,12.9,13.4,13.8,15.6,16.8,910.6,95.53,59880.0,0.0
2340,280.0,293.0,306.0,1.6,2.0,2.3,15.5,17.8,910.6,95.53,59880.0,0.0
2400,290.0,302.0,311.0,1.5,2.4,3.1,15.3,17.3,910.5,95.53,59880.0,0.0
2460,329.0,105.0,145.0,8.6,12.7,15.0,15.2,18.2,910.5,95.53,59880.0,0.0
2520,30.0,197.0,331.0,9.4,15.7,19.0,15.0,18.5,910.5,95.53,59880.0,0.0
2580,149.0,249.0,332.0,7.7,13.1,16.5,14.8,18.5,910.5,95.53,59880.0,0.0
2640,297.0,354.0,143.0,1.6,3.6,6.6,14.8,18.5,910.5,95.53,59880.0,0.0
2700,146.0,290.0,325.0,1.4,3.7,7.1,14.8,16.5,910.5,95.53,59880.0,0.0
2760,331.0,332.0,333.0,18.2,19.5,21.6,15.0,15.8,910.4,95.53,59880.0,0.0
2820,134.0,137.0,139.0,10.6,11.2,11.5,15.3,15.6,910.4,95.53,59880.0,0.0
2880,331.0,332.0,334.0,17.2,18.2,19.1,15.5,15.6,910.4,95.53,59880.0,0.0
2940,144.0,265.0,324.0,2.3,6.9,13.4,15.7,15.1,910.4,95.53,59880.0,0.0
3000,303.0,347.0,110.0,1.1,3.8,9.7,15.8,15.2,910.4,95.53,59880.0,0.0
3060,141.0,162.0,322.0,7.4,10.4,11.5,15.9,15.1,910.4,95.53,59880.0,0.0
3120,136.0,138.0,141.0,10.3,11.1,12.0,16.0,14.9,910.4,95.53,59880.0,0.0
3180,115.0,129.0,135.0,9.0,10.9,12.3,16.1,13.6,910.3,95.53,59880.0,0.0
3240,132.0,139.0,171.0,11.3,11.9,12.7,16.5,13.7,910.3,95.53,59880.0,0.0
3300,332.0,120.0,143.0,9.3,10.7,14.7,16.7,13.6,910.3,95.53,59880.0,0.0
3360,80.0,124.0,134.0,8.7,10.3,11.4,16.9,13.4,910.3,95.53,59880.0,0.0
3420,334.0,120.0,145.0,9.7,11.1,14.8,17.0,13.1,910.3,95.53,59880.0,0.0
3480,79.0,123.0,137.0,9.2,10.3,11.6,17.1,13.0,910.3,95.53,59880.0,0.0
3540,127.0,137.0,164.0,9.2,10.1,11.6,17.2,12.8,910.4,95.53,59880.0,0.0
3600,85.0,130.0,140.0,9.7,11.6,14.0,17.4,12.5,910.4,95.53,59880.0,0.0
3660,129.0,132.0,136.0,9.3,10.1,11.0,17.6,12.3,910.3,95.53,59880.0,0.0
3720,85.0,137.0,170.0,10.3,12.0,14.3,17.6,12.3,910.3,95.53,59880.0,0.0
3780,76.0,119.0,136.0,11.3,13.3,14.2,17.7,12.4,910.3,95.53,59880.0,0.0
3840,122.0,131.0,154.0,9.3,9.9,10.3,17.6,12.2,910.3,95.53,59880.0,0.0
3900,56.0,127.0,173.0,11.5,12.4,13.8,17.7,12.0,910.3,95.53,59880.0,0.0
3960,121.0,127.0,133.0,10.3,10.9,11.7,17.8,12.1,910.3,95.53,59880.0,0.0
4020,98.0,133.0,140.0,10.7,11.8,12.9,17.8,12.0,910.3,95.53,59880.0,0.0
4080,126.0,136.0,170.0,10.3,11.9,13.4,17.9,11.6,910.4,95.53,59880.0,0.0
4140,134.0,141.0,172.0,10.6,11.4,12.6,17.9,11.7,910.5,95.53,59880.0,0.0
4200,31.0,82.0,135.0,13.4,15.8,17.2,17.8,11.9,910.5,95.53,59880.0,0.0
4260,331.0,51.0,144.0,12.5,14.7,16.0,17.8,11.8,910.5,95.53,59880.0,0.0
4320,331.0,75.0,160.0,12.8,13.8,15.8,17.8,12.0,910.5,95.53,59880.0,0.0
4380,299.0,60.0,190.0,7.3,13.1,18.3,17.6,12.7,910.5,95.53,59880.0,0.0
4440,320.0,342.0,31.0,11.2,15.9,18.3,17.4,12.6,910.4,95.53,59880.0,0.0
