year,month,day,hour,Dn,Dm,Dx,Sn,Sm,Sx,Ta,Ua,Pa,Rc,Rd,Ri
2021.0,1.0,1.0,0.0,127.08,230.25,280.8,2.94,4.1,5.05,9.61,36.33,910.56,83.16,20787.67,2.62
2021.0,1.0,1.0,1.0,99.85,277.2,305.43,2.77,3.77,4.77,9.2,36.67,910.36,83.85,20980.0,0.0
2021.0,1.0,1.0,2.0,101.68,162.77,242.7,1.18,1.9,2.61,9.35,36.19,910.41,83.85,20980.0,0.0
2021.0,1.0,1.0,3.0,33.82,88.07,168.92,2.05,3.13,4.22,9.08,35.9,910.52,83.85,20980.0,0.0
2021.0,1.0,1.0,4.0,26.72,43.87,211.77,3.92,5.69,7.33,8.76,35.6,910.9,83.85,20980.0,0.0
2021.0,1.0,1.0,5.0,38.57,54.58,146.12,3.37,4.74,5.94,8.78,34.31,911.49,83.85,20980.0,0.0
2021.0,1.0,1.0,6.0,73.17,113.8,169.93,2.76,3.91,5.04,8.8,33.03,912.03,83.85,20980.0,0.0
2021.0,1.0,1.0,7.0,37.37,100.98,235.33,2.69,3.91,5.05,8.65,33.56,912.67,83.85,20989.5,0.0
2021.0,1.0,1.0,8.0,121.73,164.38,216.1,1.24,1.75,2.28,10.27,30.91,913.94,83.85,21000.0,0.0
2021.0,1.0,1.0,9.0,75.67,102.1,138.55,1.55,2.04,2.54,11.66,28.17,914.69,83.85,21000.0,0.0
2021.0,1.0,1.0,10.0,39.7,68.72,126.0,1.72,2.37,3.01,12.73,26.18,914.68,83.85,21000.0,0.0
2021.0,1.0,1.0,11.0,126.95,154.21,220.67,0.82,1.34,1.86,14.26,24.27,914.13,83.85,21000.0,0.0
2021.0,1.0,1.0,12.0,151.35,162.07,192.57,2.59,3.29,3.92,14.51,24.43,913.55,83.85,21000.0,0.0
2021.0,1.0,1.0,13.0,155.53,165.8,176.2,4.67,5.71,6.59,13.97,25.99,913.64,83.85,21000.0,0.0
2021.0,1.0,1.0,14.0,159.83,169.72,179.28,4.71,5.58,6.34,13.96,25.61,913.97,83.85,21000.0,0.0
2021.0,1.0,1.0,15.0,152.35,161.57,171.52,3.94,4.77,5.45,13.41,26.29,914.57,83.85,21000.0,0.0
2021.0,1.0,1.0,16.0,145.98,154.18,162.87,3.03,3.46,3.84,11.77,29.06,915.01,83.85,21000.0,0.0
2021.0,1.0,1.0,17.0,176.23,219.4,223.7,1.25,1.5,1.73,8.9,35.57,915.89,83.85,21000.0,0.0
2021.0,1.0,1.0,18.0,198.22,277.8,289.9,1.35,1.62,1.89,6.19,44.06,916.39,83.85,21000.0,0.0
2021.0,1.0,1.0,19.0,163.93,185.4,220.27,0.96,1.18,1.4,4.74,48.72,916.84,83.85,21000.0,0.0
2021.0,1.0,1.0,20.0,134.13,147.0,190.68,0.76,0.87,0.98,2.87,55.78,917.23,83.85,21000.0,0.0
2021.0,1.0,1.0,21.0,166.18,187.4,205.07,0.68,0.78,0.87,1.89,59.1,917.49,83.85,21000.0,0.0
2021.0,1.0,1.0,22.0,137.5,158.97,191.9,0.5,0.59,0.68,0.42,65.15,917.75,83.85,21000.0,0.0
2021.0,1.0,1.0,23.0,166.39,182.64,202.92,0.47,0.58,0.66,0.32,65.44,917.99,83.85,21000.0,0.0
2021.0,1.0,2.0,0.0,127.97,154.67,185.42,0.37,0.46,0.54,-0.43,69.37,917.85,83.85,21000.0,0.0
2021.0,1.0,2.0,1.0,100.97,118.8,130.05,0.61,0.69,0.75,-1.0,72.6,918.3,83.85,21000.0,0.0
2021.0,1.0,2.0,2.0,196.28,215.58,228.28,0.64,0.79,0.94,-0.82,70.73,918.31,83.85,21000.0,0.0
2021.0,1.0,2.0,3.0,80.93,99.1,147.2,0.56,0.64,0.72,-1.69,74.49,918.11,83.85,21000.0,0.0
2021.0,1.0,2.0,4.0,141.78,168.42,192.1,0.64,0.73,0.8,-2.42,77.2,918.04,83.85,21000.0,0.0
2021.0,1.0,2.0,5.0,148.68,178.62,190.97,0.88,0.97,1.06,-2.05,76.17,918.41,83.85,21000.0,0.0
2021.0,1.0,2.0,6.0,148.75,173.62,198.35,0.65,0.76,0.86,-1.91,74.91,919.19,83.85,21000.0,0.0
2021.0,1.0,2.0,7.0,140.43,159.18,171.83,0.71,0.78,0.88,-1.74,76.33,919.76,83.85,21000.0,0.0
2021.0,1.0,2.0,8.0,148.6,181.68,232.1,0.31,0.46,0.59,0.81,71.63,919.8,83.85,21000.0,0.0
2021.0,1.0,2.0,9.0,128.92,169.63,207.5,0.36,0.6,0.83,5.18,56.64,919.65,83.85,21000.0,0.0
2021.0,1.0,2.0,10.0,157.57,185.42,219.52,0.97,1.37,1.72,10.54,40.79,919.19,83.85,21000.0,0.0
2021.0,1.0,2.0,11.0,188.83,203.27,218.58,2.7,3.36,3.98,12.36,33.37,918.24,83.85,21000.0,0.0
2021.0,1.0,2.0,12.0,181.73,197.23,218.1,2.57,3.22,3.82,13.5,30.13,917.37,83.85,21000.0,0.0
2021.0,1.0,2.0,13.0,246.73,298.52,304.48,1.72,2.59,3.47,14.3,28.32,917.21,83.85,21000.0,0.0
2021.0,1.0,2.0,14.0,223.63,311.2,323.58,1.97,3.01,4.04,13.92,28.19,917.37,83.85,21000.0,0.0
2021.0,1.0,2.0,15.0,265.47,310.4,327.45,1.93,2.79,3.58,13.1,28.73,917.39,83.85,21004.0,0.0
2021.0,1.0,2.0,16.0,246.33,292.46,316.48,1.16,1.6,2.06,11.0,32.85,917.29,83.86,21010.0,0.0
2021.0,1.0,2.0,17.0,188.62,219.25,263.32,0.94,1.17,1.39,8.97,38.06,917.49,83.86,21010.0,0.0
2021.0,1.0,2.0,18.0,208.03,228.38,225.37,0.95,1.13,1.29,6.93,44.54,917.61,83.86,21010.0,0.0
2021.0,1.0,2.0,19.0,184.42,200.83,222.5,0.47,0.57,0.67,5.14,50.56,917.28,83.86,21010.0,0.0
2021.0,1.0,2.0,20.0,182.8,197.95,202.75,0.45,0.54,0.62,4.81,53.07,917.35,83.86,21010.0,0.0
2021.0,1.0,2.0,21.0,199.18,226.6,240.88,0.46,0.54,0.61,4.41,55.85,917.39,83.86,21010.0,0.0
2021.0,1.0,2.0,22.0,111.73,149.82,192.65,0.56,0.65,0.75,3.38,61.48,917.73,83.86,21010.0,0.0
2021.0,1.0,2.0,23.0,149.54,179.03,189.64,0.66,0.76,0.88,3.18,62.96,917.61,83.86,21010.0,0.0
2021.0,1.0,3.0,0.0,152.65,167.47,180.95,0.57,0.66,0.76,2.38,67.41,917.75,83.86,21010.0,0.0
2021.0,1.0,3.0,1.0,176.17,187.9,202.73,0.56,0.64,0.72,1.26,70.16,917.42,83.86,21010.0,0.0
2021.0,1.0,3.0,2.0,155.8,161.47,191.67,0.78,0.88,0.99,0.55,72.64,917.13,83.86,21010.0,0.0
2021.0,1.0,3.0,3.0,158.25,181.82,200.03,0.5,0.58,0.68,-0.25,75.21,917.0,83.86,21010.0,0.0
2021.0,1.0,3.0,4.0,145.28,174.45,191.33,0.26,0.32,0.39,-0.61,76.29,917.02,83.86,21010.0,0.0
2021.0,1.0,3.0,5.0,157.63,180.33,191.87,0.65,0.75,0.85,-1.2,78.88,917.2,83.86,21010.0,0.0
2021.0,1.0,3.0,6.0,159.68,180.08,190.58,0.68,0.78,0.89,-1.33,78.08,917.08,83.86,21010.0,0.0
2021.0,1.0,3.0,7.0,149.68,182.6,218.68,0.61,0.74,0.86,-0.7,76.69,917.5,83.86,21010.0,0.0
2021.0,1.0,3.0,8.0,126.4,134.45,187.35,0.56,0.76,0.93,2.7,71.15,918.01,83.86,21010.0,0.0
2021.0,1.0,3.0,9.0,145.13,178.02,207.72,0.59,0.9,1.19,6.15,57.69,918.09,83.86,21010.0,0.0
2021.0,1.0,3.0,10.0,178.45,198.53,212.82,1.39,1.78,2.12,10.11,41.52,917.56,83.86,21010.0,0.0
2021.0,1.0,3.0,11.0,181.93,195.68,215.58,1.93,2.5,3.02,12.04,32.66,916.8,83.86,21010.0,0.0
2021.0,1.0,3.0,12.0,158.73,183.67,199.0,1.54,2.08,2.6,13.37,34.68,915.76,83.86,21010.0,0.0
2021.0,1.0,3.0,13.0,176.87,195.87,214.85,2.02,2.61,3.15,14.17,35.12,915.09,83.86,21010.0,0.0
2021.0,1.0,3.0,14.0,195.48,214.5,228.02,1.91,2.51,3.02,14.81,33.17,915.15,83.86,21010.0,0.0
2021.0,1.0,3.0,15.0,265.58,294.1,314.82,2.02,2.8,3.54,14.17,39.35,915.56,83.86,21010.0,0.0
2021.0,1.0,3.0,16.0,253.17,304.52,320.35,1.49,2.16,2.81,12.09,44.38,915.61,83.86,21014.5,0.0
2021.0,1.0,3.0,17.0,207.33,297.52,311.72,1.16,1.53,1.86,9.14,52.04,915.93,83.86,21020.0,0.0
2021.0,1.0,3.0,18.0,166.97,209.08,245.4,0.84,1.01,1.19,7.62,56.3,916.06,83.86,21020.0,0.0
2021.0,1.0,3.0,19.0,200.27,217.7,222.77,0.79,0.91,1.03,5.49,63.15,916.18,83.86,21020.0,0.0
2021.0,1.0,3.0,20.0,184.27,199.33,208.23,0.69,0.8,0.89,3.7,69.06,915.95,83.86,21020.0,0.0
2021.0,1.0,3.0,21.0,151.36,218.02,267.7,1.36,1.61,1.83,3.76,67.01,916.22,83.86,21020.0,0.0
2021.0,1.0,3.0,22.0,238.98,322.6,327.48,1.14,1.41,1.68,4.21,62.6,916.39,83.86,21020.0,0.0
2021.0,1.0,3.0,23.0,147.08,184.24,206.53,0.74,0.89,1.04,2.88,67.01,916.06,83.86,21020.0,0.0
2021.0,1.0,4.0,0.0,159.67,216.3,216.93,0.98,1.14,1.29,2.97,65.92,916.26,83.86,21020.0,0.0
2021.0,1.0,4.0,1.0,178.17,252.72,255.75,1.18,1.48,1.78,3.64,62.01,916.47,83.86,21020.0,0.0
2021.0,1.0,4.0,2.0,121.4,138.57,150.35,0.71,0.82,0.92,2.52,65.88,916.59,83.86,21020.0,0.0
2021.0,1.0,4.0,3.0,144.57,174.98,206.23,0.83,0.93,1.04,0.84,72.5,916.41,83.86,21020.0,0.0
2021.0,1.0,4.0,4.0,162.03,181.58,223.47,0.37,0.44,0.5,0.76,72.29,916.06,83.87,21031.0,0.01
2021.0,1.0,4.0,5.0,197.92,218.17,249.68,0.52,0.6,0.69,0.35,74.46,916.33,83.87,21040.0,0.0
