t,Dn,Dm,Dx,Sn,Sm,Sx,Ta,Ua,Pa,Rc,Rd,Ri
0,5.0,8.0,15.0,1.2,1.4,1.6,8.6,86.2,907.6,239.43,55270.0,0.0
60,18.0,25.0,39.0,1.2,1.5,1.8,8.6,85.9,907.6,239.43,55270.0,0.0
120,4.0,354.0,345.0,1.1,1.3,1.6,8.6,86.3,907.6,239.43,55270.0,0.0
180,1.0,8.0,20.0,1.4,1.5,1.7,8.6,87.4,907.6,239.43,55270.0,0.0
240,1.0,17.0,27.0,0.9,1.6,1.9,8.6,86.7,907.5,239.43,55270.0,0.0
300,12.0,7.0,0.0,1.3,1.3,1.4,8.6,86.8,907.5,239.43,55270.0,0.0
360,2.0,9.0,12.0,1.1,1.2,1.3,8.6,86.8,907.5,239.43,55270.0,0.0
420,3.0,14.0,25.0,0.5,0.8,1.1,8.6,86.9,907.5,239.43,55270.0,0.0
480,19.0,34.0,52.0,0.3,0.6,0.7,8.6,86.9,907.5,239.43,55270.0,0.0
540,110.0,20.0,307.0,0.1,0.5,0.8,8.6,86.9,907.5,239.43,55270.0,0.0
600,98.0,125.0,151.0,0.2,0.5,0.6,8.6,87.0,907.5,239.43,55270.0,0.0
660,155.0,174.0,207.0,0.1,0.2,0.3,8.6,87.0,907.6,239.43,55270.0,0.0
720,171.0,179.0,196.0,0.2,0.3,0.3,8.7,87.0,907.6,239.43,55270.0,0.0
780,20.0,274.0,242.0,0.0,0.1,0.2,8.7,87.1,907.5,239.43,55270.0,0.0
840,227.0,244.0,284.0,0.1,0.1,0.2,8.7,87.9,907.5,239.43,55270.0,0.0
900,208.0,228.0,248.0,0.1,0.2,0.4,8.7,87.0,907.5,239.43,55270.0,0.0
960,209.0,221.0,237.0,0.6,0.6,0.7,8.8,86.9,907.5,239.43,55270.0,0.0
1020,240.0,247.0,265.0,0.6,0.7,0.8,8.8,86.6,907.5,239.43,55270.0,0.0
1080,234.0,243.0,250.0,0.7,0.8,0.9,9.2,86.4,907.6,239.43,55270.0,0.0
