year,month,day,hour,Dn,Dm,Dx,Sn,Sm,Sx,Ta,Ua,Pa,Rc,Rd,Ri
2021.0,1.0,1.0,0.0,76.78,76.13,87.87,1.75,2.24,2.74,12.35,36.15,958.23,36.13,26450.0,0.0
2021.0,1.0,1.0,1.0,80.03,40.38,55.3,2.62,3.72,4.78,12.23,36.13,958.06,36.13,26450.0,0.0
2021.0,1.0,1.0,2.0,210.63,10.27,26.85,4.81,6.86,8.76,12.0,36.25,958.07,36.13,26450.0,0.0
2021.0,1.0,1.0,3.0,301.67,47.12,18.12,6.03,7.91,9.73,11.41,37.45,958.2,36.13,26450.0,0.0
2021.0,1.0,1.0,4.0,250.77,31.53,22.18,4.23,6.21,7.93,10.95,38.22,958.78,36.13,26450.0,0.0
2021.0,1.0,1.0,5.0,156.55,39.53,30.62,3.54,5.35,7.04,10.71,38.07,959.49,36.13,26450.0,0.0
2021.0,1.0,1.0,6.0,188.53,52.35,26.02,3.81,5.23,6.58,9.3,43.11,960.16,36.13,26450.0,0.0
2021.0,1.0,1.0,7.0,171.65,46.58,21.95,4.18,5.82,7.29,10.6,37.14,960.98,36.13,26450.0,0.0
2021.0,1.0,1.0,8.0,115.98,26.45,37.12,4.22,6.34,8.2,11.32,33.83,961.71,36.13,26450.0,0.0
2021.0,1.0,1.0,9.0,280.4,204.23,102.93,4.14,5.73,7.26,12.27,32.62,962.81,36.13,26450.0,0.0
2021.0,1.0,1.0,10.0,299.4,163.0,44.3,3.63,5.1,6.43,13.82,31.04,962.74,36.13,26450.0,0.0
2021.0,1.0,1.0,11.0,242.07,112.15,64.38,1.93,2.8,3.64,15.28,28.64,962.21,36.13,26450.0,0.0
2021.0,1.0,1.0,12.0,214.32,124.53,82.23,1.3,1.93,2.56,16.24,25.69,961.85,36.13,26450.0,0.0
2021.0,1.0,1.0,13.0,258.55,226.87,176.85,1.12,1.62,2.13,17.28,24.12,961.69,36.13,26450.0,0.0
2021.0,1.0,1.0,14.0,287.7,294.37,225.45,1.45,2.05,2.62,17.8,23.48,961.96,36.13,26450.0,0.0
2021.0,1.0,1.0,15.0,223.97,251.6,261.88,1.02,1.58,2.21,17.56,30.23,962.45,36.13,26450.0,0.0
2021.0,1.0,1.0,16.0,199.82,217.43,236.25,1.06,1.37,1.69,15.25,37.88,962.95,36.13,26450.0,0.0
2021.0,1.0,1.0,17.0,165.55,174.1,182.97,1.72,2.01,2.31,13.54,44.72,963.5,36.13,26450.0,0.0
2021.0,1.0,1.0,18.0,136.93,144.05,150.77,1.79,2.08,2.36,12.54,53.66,964.04,36.13,26450.0,0.0
2021.0,1.0,1.0,19.0,127.17,134.5,142.17,1.4,1.64,1.87,12.88,45.98,964.52,36.13,26450.0,0.0
2021.0,1.0,1.0,20.0,111.85,120.35,128.87,1.76,2.14,2.51,12.97,41.84,964.65,36.13,26450.0,0.0
2021.0,1.0,1.0,21.0,93.92,101.95,110.17,1.3,1.61,1.92,12.78,40.45,964.95,36.13,26450.0,0.0
2021.0,1.0,1.0,22.0,126.67,133.9,140.67,1.13,1.36,1.57,12.54,39.97,965.36,36.13,26450.0,0.0
2021.0,1.0,1.0,23.0,153.9,164.47,174.65,0.81,0.98,1.16,12.21,40.21,965.7,36.13,26450.0,0.0
2021.0,1.0,2.0,0.0,192.37,191.4,184.33,0.46,0.6,0.76,11.85,41.16,965.77,36.13,26450.0,0.0
2021.0,1.0,2.0,1.0,80.7,83.1,85.43,0.81,0.99,1.19,11.8,40.03,965.96,36.13,26450.0,0.0
2021.0,1.0,2.0,2.0,86.92,92.78,99.9,1.6,1.88,2.18,11.9,39.72,965.84,36.13,26450.0,0.0
2021.0,1.0,2.0,3.0,105.85,113.37,121.3,1.65,2.0,2.34,12.03,37.57,965.56,36.13,26450.0,0.0
2021.0,1.0,2.0,4.0,111.9,121.03,129.28,1.72,2.03,2.38,12.16,36.53,965.58,36.13,26450.0,0.0
2021.0,1.0,2.0,5.0,130.1,138.73,146.78,1.3,1.56,1.81,12.02,36.44,966.23,36.13,26450.0,0.0
2021.0,1.0,2.0,6.0,153.0,160.65,167.97,0.89,1.06,1.23,12.16,36.18,967.26,36.13,26450.0,0.0
2021.0,1.0,2.0,7.0,147.75,157.08,164.93,0.93,1.12,1.31,12.11,36.51,967.67,36.13,26450.0,0.0
2021.0,1.0,2.0,8.0,117.05,125.67,140.17,1.17,1.52,1.87,13.45,34.88,967.73,36.13,26450.0,0.0
2021.0,1.0,2.0,9.0,151.25,168.97,186.15,1.39,1.82,2.24,13.99,34.44,967.93,36.13,26450.0,0.0
2021.0,1.0,2.0,10.0,194.38,217.98,244.3,1.02,1.48,1.96,14.46,33.37,967.78,36.13,26450.0,0.0
2021.0,1.0,2.0,11.0,167.02,201.87,229.2,1.0,1.52,2.08,15.84,30.2,966.91,36.13,26450.0,0.0
2021.0,1.0,2.0,12.0,182.65,211.75,239.07,0.9,1.42,1.93,16.06,29.81,966.24,36.13,26450.0,0.0
2021.0,1.0,2.0,13.0,199.85,228.8,242.97,0.97,1.45,2.02,16.42,30.37,965.95,36.13,26450.0,0.0
2021.0,1.0,2.0,14.0,197.83,221.5,246.8,0.73,1.17,1.68,16.25,32.21,965.89,36.13,26450.0,0.0
2021.0,1.0,2.0,15.0,170.32,196.13,221.37,0.52,0.82,1.14,14.9,39.35,965.76,36.13,26450.0,0.0
2021.0,1.0,2.0,16.0,205.42,228.02,241.27,0.89,1.18,1.52,12.76,53.61,965.68,36.13,26450.0,0.0
2021.0,1.0,2.0,17.0,189.87,206.33,224.62,0.92,1.22,1.55,11.3,61.7,965.91,36.13,26450.0,0.0
2021.0,1.0,2.0,18.0,156.55,164.37,171.43,1.97,2.33,2.66,10.46,72.72,965.83,36.13,26450.0,0.0
2021.0,1.0,2.0,19.0,155.13,165.18,174.28,2.2,2.55,2.86,9.68,87.52,965.44,36.13,26450.0,0.0
2021.0,1.0,2.0,20.0,152.47,158.15,164.23,2.08,2.34,2.57,9.58,89.87,965.49,36.13,26450.0,0.0
2021.0,1.0,2.0,21.0,203.0,211.8,221.18,1.16,1.36,1.57,9.46,89.07,965.85,36.13,26450.0,0.0
2021.0,1.0,2.0,22.0,134.28,140.62,146.95,2.01,2.31,2.58,9.54,88.97,965.91,36.13,26450.0,0.0
2021.0,1.0,2.0,23.0,163.6,164.57,175.08,1.01,1.2,1.4,9.04,89.73,965.9,36.13,26450.0,0.0
2021.0,1.0,3.0,0.0,63.87,70.55,77.48,1.36,1.58,1.8,9.07,84.79,965.92,36.13,26450.0,0.0
2021.0,1.0,3.0,1.0,104.63,112.87,120.97,1.47,1.76,2.05,10.26,60.65,965.45,36.13,26450.0,0.0
