t,Dn,Dm,Dx,Sn,Sm,Sx,Ta,Ua,Pa,Rc,Rd,Ri
0,140.0,144.0,146.0,0.9,0.9,1.0,17.8,88.9,955.8,0.0,0.0,0.0
60,136.0,141.0,146.0,1.0,1.1,1.1,17.8,89.0,955.8,0.0,0.0,0.0
120,140.0,144.0,146.0,1.2,1.3,1.3,17.8,89.1,955.8,0.0,0.0,0.0
180,146.0,147.0,148.0,1.4,1.5,1.5,17.8,89.2,955.9,0.0,0.0,0.0
240,150.0,151.0,152.0,1.3,1.3,1.4,17.8,89.4,955.9,0.0,0.0,0.0
300,162.0,164.0,166.0,1.3,1.3,1.3,17.8,89.4,955.8,0.0,0.0,0.0
360,174.0,176.0,180.0,1.3,1.4,1.5,17.8,89.3,955.9,0.0,0.0,0.0
420,183.0,184.0,186.0,1.4,1.4,1.4,17.8,89.3,955.8,0.0,0.0,0.0
480,183.0,185.0,187.0,1.2,1.3,1.4,17.7,89.5,955.8,0.0,0.0,0.0
540,177.0,179.0,182.0,1.1,1.2,1.3,17.7,89.7,955.8,0.0,0.0,0.0
600,171.0,173.0,175.0,1.4,1.4,1.5,17.7,89.8,955.8,0.0,0.0,0.0
660,171.0,171.0,173.0,1.3,1.3,1.4,17.7,90.0,955.7,0.0,0.0,0.0
720,171.0,172.0,173.0,1.2,1.2,1.2,17.6,90.3,955.8,0.0,0.0,0.0
780,163.0,164.0,166.0,0.9,0.9,1.0,17.6,90.4,955.8,0.0,0.0,0.0
840,160.0,161.0,161.0,0.7,0.7,0.7,17.6,90.4,955.8,0.0,0.0,0.0
900,152.0,154.0,156.0,0.6,0.6,0.6,17.6,90.4,955.8,0.0,0.0,0.0
960,129.0,137.0,141.0,0.3,0.4,0.4,17.6,90.4,955.8,0.0,0.0,0.0
1020,119.0,125.0,134.0,0.2,0.3,0.3,17.6,90.5,955.8,0.0,0.0,0.0
1080,210.0,221.0,257.0,0.1,0.1,0.2,17.6,90.5,955.8,0.0,0.0,0.0
1140,84.0,304.0,250.0,0.1,0.4,0.7,17.5,90.6,955.8,0.0,0.0,0.0
1200,286.0,308.0,319.0,0.4,0.5,0.6,17.5,90.8,955.7,0.0,0.0,0.0
1260,262.0,265.0,272.0,0.6,0.6,0.7,17.5,90.7,955.8,0.0,0.0,0.0
1320,245.0,256.0,258.0,0.7,0.7,0.8,17.6,90.7,955.7,0.0,0.0,0.0
1380,244.0,258.0,270.0,0.7,0.8,1.0,17.6,90.6,955.7,0.0,0.0,0.0
1440,247.0,256.0,263.0,1.0,1.1,1.2,17.6,90.6,955.8,0.0,0.0,0.0
1500,243.0,248.0,256.0,0.9,1.0,1.1,17.6,90.4,955.8,0.0,0.0,0.0
