t,Dn,Dm,Dx,Sn,Sm,Sx,Ta,Ua,Pa,Rc,Rd,Ri
0,214.0,317.0,29.0,0.5,1.1,2.1,-26.5,95.0,962.8,0.0,0.0,0.0
6,170.0,174.0,178.0,2.2,2.6,3.2,-25.3,46.4,959.0,0.0,10.0,0.0
66,164.0,167.0,170.0,3.3,3.5,3.7,-25.4,46.7,958.9,0.0,10.0,0.0
126,162.0,168.0,171.0,2.5,3.0,3.3,-25.5,46.0,959.0,0.0,10.0,0.0
186,158.0,161.0,168.0,2.6,2.9,3.1,-25.4,46.0,959.0,0.0,10.0,0.0
450,152.0,161.0,168.0,2.2,2.5,2.7,-25.5,47.0,959.0,0.0,10.0,0.0
450,149.0,155.0,164.0,2.2,2.7,3.1,-25.5,47.1,959.0,0.0,10.0,0.0
534,97.0,113.0,128.0,2.3,2.8,3.2,-26.3,57.0,959.0,0.0,10.0,0.0
546,97.0,112.0,128.0,1.5,2.0,2.4,-26.4,57.1,959.0,0.0,10.0,0.0
606,125.0,132.0,140.0,2.1,3.0,3.5,-26.4,55.8,958.9,0.0,10.0,0.0
8385,116.0,126.0,140.0,1.4,1.8,2.4,-26.0,54.5,958.9,0.0,10.0,0.0
8406,169.0,172.0,176.0,3.1,3.5,3.9,-23.2,36.5,959.0,0.0,10.0,0.0
8466,170.0,173.0,176.0,3.0,3.2,3.5,-23.1,35.4,959.0,0.0,10.0,0.0
8526,171.0,174.0,178.0,2.9,3.2,3.5,-22.9,34.0,959.0,0.0,10.0,0.0
8586,173.0,176.0,180.0,2.7,3.0,3.3,-22.7,31.4,959.0,0.0,10.0,0.0
8675,169.0,177.0,183.0,2.8,3.0,3.2,-22.2,29.3,959.0,0.0,10.0,0.0
8706,176.0,179.0,183.0,2.8,3.2,3.7,-21.8,28.0,958.9,0.0,10.0,0.0
8814,182.0,184.0,189.0,3.2,3.6,4.0,-21.9,31.6,958.9,0.0,10.0,0.0
8826,184.0,187.0,190.0,3.7,3.9,4.2,-22.2,32.2,958.9,0.0,10.0,0.0
8886,185.0,188.0,190.0,3.9,4.1,4.3,-22.2,32.8,958.9,0.0,10.0,0.0
8946,188.0,190.0,196.0,3.7,3.9,4.1,-22.4,33.8,958.9,0.0,10.0,0.0
9006,192.0,195.0,199.0,3.3,3.5,3.8,-22.5,34.8,958.8,0.0,10.0,0.0
9100,194.0,199.0,205.0,2.5,3.0,3.5,-22.8,37.0,958.8,0.0,10.0,0.0
9126,193.0,204.0,213.0,2.5,2.7,3.2,-23.1,39.1,958.8,0.0,10.0,0.0
9186,187.0,192.0,198.0,2.9,3.3,3.8,-23.4,41.4,958.8,0.0,10.0,0.0
9246,174.0,178.0,185.0,4.1,4.4,4.8,-23.8,42.6,958.7,0.0,10.0,0.0
9306,168.0,173.0,180.0,4.5,5.1,5.7,-23.9,43.8,958.7,0.0,10.0,0.0
9366,168.0,170.0,173.0,6.0,6.4,6.6,-24.1,45.1,958.7,0.0,10.0,0.0
9426,173.0,177.0,180.0,4.5,5.0,5.5,-24.2,44.2,958.7,0.0,10.0,0.0
9486,185.0,187.0,191.0,5.9,6.2,6.5,-24.1,44.5,958.6,0.0,10.0,0.0
9546,196.0,200.0,205.0,5.0,5.6,6.1,-24.1,43.7,958.5,0.0,10.0,0.0
9606,200.0,212.0,224.0,3.7,4.6,5.6,-24.1,44.9,958.4,0.0,10.0,0.0
9668,203.0,215.0,225.0,3.2,4.3,5.3,-24.2,46.0,958.4,0.0,10.0,0.0
9726,203.0,211.0,219.0,4.9,5.4,6.1,-24.3,46.1,958.3,0.0,10.0,0.0
9786,205.0,213.0,228.0,4.1,5.0,5.7,-24.5,47.8,958.3,0.0,10.0,0.0
9846,202.0,210.0,217.0,4.1,5.0,6.1,-24.7,47.3,958.3,0.0,10.0,0.0
9906,202.0,208.0,216.0,4.6,5.2,6.0,-24.7,46.2,958.2,0.0,10.0,0.0
10039,202.0,207.0,212.0,4.6,5.4,6.4,-24.5,45.0,958.2,0.0,10.0,0.0
10040,206.0,211.0,218.0,3.7,4.7,5.5,-24.4,43.5,958.2,0.0,10.0,0.0
10086,198.0,206.0,212.0,4.8,5.4,6.0,-24.2,42.5,958.1,0.0,10.0,0.0
10146,198.0,203.0,210.0,5.8,6.1,6.5,-24.1,41.7,958.1,0.0,10.0,0.0
10206,200.0,210.0,227.0,3.4,5.3,6.4,-23.9,40.9,958.0,0.0,10.0,0.0
10266,209.0,216.0,225.0,4.4,5.1,6.6,-23.8,40.3,957.9,0.0,10.0,0.0
10331,183.0,216.0,232.0,2.2,4.1,6.2,-23.6,39.2,957.9,0.0,10.0,0.0
10386,217.0,230.0,242.0,1.4,3.8,5.3,-23.5,39.2,957.8,0.0,10.0,0.0
10446,182.0,214.0,228.0,2.3,4.2,5.6,-23.6,39.6,957.8,0.0,10.0,0.0
10506,214.0,229.0,242.0,3.1,4.7,6.3,-23.7,39.7,957.7,0.0,10.0,0.0
10566,200.0,222.0,240.0,1.6,4.1,5.6,-23.8,40.0,957.7,0.0,10.0,0.0
10626,192.0,223.0,243.0,2.4,3.9,5.5,-23.8,40.4,957.8,0.0,10.0,0.0
10764,193.0,222.0,232.0,1.7,4.1,5.8,-23.8,40.3,957.8,0.0,10.0,0.0
10767,217.0,227.0,237.0,3.0,4.4,6.0,-23.8,40.1,957.8,0.0,10.0,0.0
10806,209.0,229.0,238.0,4.6,5.2,5.7,-23.8,40.7,957.8,0.0,10.0,0.0
10866,222.0,227.0,232.0,4.4,5.2,6.2,-23.9,40.9,957.8,0.0,10.0,0.0
10926,206.0,226.0,253.0,2.6,4.3,6.1,-23.9,41.0,957.9,0.0,10.0,0.0
10986,225.0,229.0,233.0,4.6,5.3,6.2,-23.9,41.0,957.9,0.0,10.0,0.0
11046,221.0,233.0,240.0,4.4,5.1,5.7,-23.8,40.4,957.9,0.0,10.0,0.0
11106,228.0,236.0,244.0,4.2,5.4,5.9,-23.8,40.0,957.8,0.0,10.0,0.0
11451,232.0,236.0,239.0,4.5,5.4,6.1,-23.7,39.6,957.8,0.0,10.0,0.0
11451,224.0,231.0,238.0,4.9,5.4,6.1,-23.5,39.1,957.8,0.0,20.0,0.0
11466,201.0,216.0,237.0,2.8,3.7,4.5,-23.5,41.0,958.0,0.01,140.0,0.1
11526,185.0,219.0,258.0,1.1,2.6,4.2,-23.6,41.0,957.9,0.01,150.0,0.0
11586,200.0,207.0,213.0,3.7,4.2,4.9,-23.6,40.4,958.0,0.01,150.0,0.0
11646,177.0,186.0,191.0,4.8,5.0,5.3,-23.5,36.7,958.0,0.01,150.0,0.0
11707,194.0,220.0,242.0,1.9,3.7,5.4,-22.8,32.9,958.0,0.01,150.0,0.0
11766,193.0,226.0,251.0,3.1,3.7,4.7,-22.0,27.5,958.0,0.01,150.0,0.0
11826,229.0,237.0,247.0,3.6,4.3,5.1,-21.7,28.6,958.0,0.01,150.0,0.0
11886,240.0,244.0,250.0,4.2,4.8,5.2,-21.1,22.3,958.0,0.01,150.0,0.0
11946,231.0,236.0,243.0,3.1,3.6,4.1,-20.0,20.1,958.1,0.01,150.0,0.0
12006,220.0,227.0,232.0,2.2,3.3,4.2,-19.6,20.8,958.2,0.01,150.0,0.0
12066,238.0,243.0,253.0,3.0,3.6,4.0,-19.7,21.0,958.1,0.01,160.0,0.0
12131,235.0,244.0,251.0,4.0,4.8,5.2,-19.4,20.5,958.1,0.01,170.0,0.0
12195,230.0,240.0,248.0,2.0,2.9,3.4,-19.0,19.3,958.2,0.01,190.0,0.0
12246,228.0,242.0,248.0,1.9,2.4,3.0,-19.3,22.2,958.2,0.01,190.0,0.0
12306,205.0,235.0,246.0,0.4,1.4,2.2,-19.6,22.0,958.3,0.01,190.0,0.0
12366,193.0,214.0,226.0,0.8,1.0,1.2,-19.6,21.2,958.3,0.01,190.0,0.0
12426,109.0,130.0,151.0,0.5,0.7,0.9,-19.7,22.8,958.3,0.01,190.0,0.0
12486,140.0,164.0,176.0,0.9,1.0,1.3,-20.6,27.0,958.4,0.01,190.0,0.0
12546,102.0,108.0,113.0,0.7,0.9,1.1,-21.4,31.5,958.4,0.01,190.0,0.0
12606,122.0,132.0,142.0,0.7,0.9,1.0,-21.6,30.2,958.4,0.01,190.0,0.0
12763,214.0,255.0,335.0,0.3,0.8,1.2,-21.7,30.4,958.5,0.01,190.0,0.0
12763,191.0,199.0,206.0,2.2,2.6,3.5,-21.7,30.4,958.4,0.01,190.0,0.0
12786,178.0,196.0,206.0,2.1,2.3,2.8,-22.0,33.1,958.4,0.01,190.0,0.0
12846,179.0,189.0,203.0,2.7,3.2,3.7,-22.4,35.5,958.4,0.01,190.0,0.0
12906,172.0,176.0,182.0,3.3,3.6,4.0,-22.7,37.5,958.3,0.01,190.0,0.0
12967,159.0,170.0,176.0,3.0,3.3,3.6,-23.0,36.7,958.3,0.01,190.0,0.0
13079,150.0,163.0,171.0,2.1,2.5,2.8,-23.2,38.0,958.3,0.01,190.0,0.0
13086,154.0,160.0,168.0,1.9,2.2,2.6,-23.2,36.4,958.2,0.01,190.0,0.0
13146,147.0,157.0,166.0,1.9,2.3,2.9,-23.2,36.5,958.2,0.01,190.0,0.0
13206,142.0,156.0,165.0,2.1,2.3,2.6,-23.2,37.3,958.2,0.01,190.0,0.0
13266,165.0,171.0,175.0,2.4,2.6,2.7,-23.3,37.4,958.2,0.01,190.0,0.0
13326,146.0,153.0,157.0,1.6,2.2,2.6,-23.4,39.8,958.3,0.01,190.0,0.0
13390,116.0,127.0,137.0,1.1,1.5,2.0,-23.6,40.6,958.3,0.01,190.0,0.0
13446,83.0,101.0,117.0,0.5,1.1,1.5,-23.6,41.2,958.3,0.01,190.0,0.0
13506,92.0,102.0,118.0,1.1,1.4,1.6,-23.9,49.6,958.4,0.01,190.0,0.0
