year,month,day,hour,Dn,Dm,Dx,Sn,Sm,Sx,Ta,Ua,Pa,Rc,Rd,Ri
2021.0,1.0,1.0,0.0,191.55,223.47,239.8,1.56,1.94,2.28,15.21,29.96,981.72,379.34,52820.0,0.0
2021.0,1.0,1.0,1.0,147.75,199.62,203.85,1.83,2.35,2.74,14.14,38.1,981.69,379.34,52820.0,0.0
2021.0,1.0,1.0,2.0,152.72,158.12,163.48,2.48,2.69,2.89,14.22,37.96,981.89,379.34,52820.0,0.0
2021.0,1.0,1.0,3.0,162.78,171.22,196.5,1.24,1.46,1.65,13.81,35.27,982.16,379.34,52820.0,0.0
2021.0,1.0,1.0,4.0,223.1,231.93,256.45,1.51,1.78,2.06,13.9,33.25,982.57,379.34,52820.0,0.0
2021.0,1.0,1.0,5.0,211.35,220.22,230.48,1.67,1.95,2.17,13.97,33.14,983.07,379.34,52820.0,0.0
2021.0,1.0,1.0,6.0,196.57,209.05,219.82,1.53,1.79,2.02,13.68,33.39,983.8,379.34,52820.0,0.0
2021.0,1.0,1.0,7.0,107.9,131.6,158.82,1.66,2.13,2.48,14.59,28.06,984.82,379.34,52820.0,0.0
2021.0,1.0,1.0,8.0,37.48,43.32,93.67,2.6,3.59,4.39,14.55,26.44,985.61,379.34,52820.0,0.0
2021.0,1.0,1.0,9.0,99.95,183.63,274.77,1.15,1.87,2.45,15.83,25.26,986.61,379.34,52831.0,0.0
2021.0,1.0,1.0,10.0,127.57,179.88,251.62,1.02,1.79,2.52,16.76,23.46,986.57,379.34,52840.0,0.0
2021.0,1.0,1.0,11.0,248.2,263.45,283.08,1.6,2.08,2.51,16.57,32.73,985.76,379.34,52840.0,0.0
2021.0,1.0,1.0,12.0,243.07,258.75,269.2,2.47,3.02,3.56,16.34,33.31,985.2,379.34,52840.0,0.0
2021.0,1.0,1.0,13.0,236.7,249.32,262.62,3.03,3.68,4.29,16.43,29.14,985.24,379.34,52840.0,0.0
2021.0,1.0,1.0,14.0,233.82,247.8,261.45,3.38,4.19,4.88,15.99,39.25,985.6,379.34,52840.0,0.0
2021.0,1.0,1.0,15.0,251.57,268.43,279.58,3.17,3.87,4.52,15.29,44.24,986.09,379.34,52840.0,0.0
2021.0,1.0,1.0,16.0,268.87,278.97,289.23,3.34,3.99,4.53,14.44,49.98,986.51,379.34,52840.0,0.0
2021.0,1.0,1.0,17.0,301.72,310.18,318.41,4.11,4.65,5.12,14.34,39.06,987.09,379.34,52840.0,0.0
2021.0,1.0,1.0,18.0,296.47,315.37,311.77,2.5,2.97,3.36,14.78,30.79,987.67,379.34,52840.0,0.0
2021.0,1.0,1.0,19.0,273.83,280.9,287.23,2.24,2.48,2.7,13.77,38.75,988.08,379.34,52840.0,0.0
2021.0,1.0,1.0,20.0,103.82,120.4,123.9,1.69,1.82,1.96,13.3,38.41,988.23,379.34,52840.0,0.0
2021.0,1.0,1.0,21.0,130.9,138.58,146.97,1.6,1.75,1.9,12.08,45.42,988.59,379.34,52840.0,0.0
2021.0,1.0,1.0,22.0,144.75,147.82,151.28,2.26,2.38,2.48,12.62,49.55,989.16,379.34,52840.0,0.0
2021.0,1.0,1.0,23.0,154.05,159.51,165.12,1.95,2.12,2.3,12.01,55.31,989.56,379.34,52840.0,0.0
2021.0,1.0,2.0,0.0,117.45,122.15,127.2,2.39,2.55,2.74,11.23,50.41,989.42,379.34,52840.0,0.0
2021.0,1.0,2.0,1.0,107.93,111.07,114.03,2.92,3.05,3.18,11.09,48.95,989.54,379.34,52840.0,0.0
2021.0,1.0,2.0,2.0,112.35,114.67,117.02,3.56,3.7,3.83,10.87,49.91,989.46,379.34,52840.0,0.0
2021.0,1.0,2.0,3.0,123.53,127.67,131.8,3.74,4.01,4.26,10.73,57.11,989.09,379.34,52840.0,0.0
2021.0,1.0,2.0,4.0,106.25,111.58,116.85,3.9,4.25,4.58,11.2,43.91,989.09,379.34,52840.0,0.0
2021.0,1.0,2.0,5.0,154.57,161.85,168.88,2.1,2.37,2.6,12.24,39.2,990.12,379.34,52840.0,0.0
2021.0,1.0,2.0,6.0,127.82,132.28,136.65,2.43,2.63,2.79,11.93,39.07,991.14,379.34,52840.0,0.0
2021.0,1.0,2.0,7.0,92.93,102.37,112.02,2.51,2.89,3.25,11.92,36.5,991.39,379.34,52840.0,0.0
2021.0,1.0,2.0,8.0,119.72,127.88,146.6,2.05,2.6,3.06,12.35,38.2,991.49,379.34,52840.0,0.0
2021.0,1.0,2.0,9.0,116.95,135.93,179.68,1.78,2.9,3.84,13.13,43.2,991.77,379.34,52840.0,0.0
2021.0,1.0,2.0,10.0,139.6,164.3,195.02,1.83,2.83,3.73,13.94,44.19,991.58,379.34,52840.0,0.0
2021.0,1.0,2.0,11.0,143.73,171.15,204.18,1.65,2.75,3.64,13.98,54.65,990.65,379.34,52840.0,0.0
2021.0,1.0,2.0,12.0,165.83,187.7,210.35,1.99,2.86,3.68,13.74,55.64,990.01,379.34,52840.0,0.0
2021.0,1.0,2.0,13.0,163.02,195.93,221.63,1.61,2.36,3.14,13.81,60.14,989.65,379.34,52840.0,0.0
2021.0,1.0,2.0,14.0,180.62,203.45,232.67,1.37,2.01,2.6,14.05,57.44,989.6,379.34,52840.0,0.0
2021.0,1.0,2.0,15.0,182.3,196.37,217.73,1.49,1.93,2.33,13.13,65.96,989.45,379.34,52840.0,0.0
2021.0,1.0,2.0,16.0,180.13,195.5,210.23,1.87,2.37,2.81,12.15,71.84,989.48,379.34,52840.0,0.0
2021.0,1.0,2.0,17.0,196.7,216.72,237.38,1.49,1.94,2.45,11.47,85.51,989.8,379.34,52840.0,0.0
2021.0,1.0,2.0,18.0,205.12,233.73,239.03,0.73,0.89,1.04,11.33,88.56,989.7,379.34,52840.0,0.0
2021.0,1.0,2.0,19.0,231.23,240.1,247.12,0.83,0.93,1.02,11.17,88.3,989.43,379.34,52840.0,0.0
2021.0,1.0,2.0,20.0,164.72,171.63,177.02,1.13,1.2,1.29,10.76,85.74,989.37,379.34,52840.0,0.0
