year,month,day,hour,Dn,Dm,Dx,Sn,Sm,Sx,Ta,Ua,Pa,Rc,Rd,Ri
2021.0,1.0,1.0,0.0,87.9,115.95,166.78,2.68,3.21,3.72,15.09,29.33,973.0,47.71,24990.0,0.0
2021.0,1.0,1.0,1.0,185.15,228.38,234.42,1.72,2.0,2.27,14.22,32.74,972.94,47.71,24990.0,0.0
2021.0,1.0,1.0,2.0,205.85,211.67,217.63,1.78,1.94,2.08,14.14,33.07,973.22,47.71,24990.0,0.0
2021.0,1.0,1.0,3.0,192.22,197.95,204.52,1.84,1.97,2.1,13.78,38.43,973.47,47.71,24990.0,0.0
2021.0,1.0,1.0,4.0,215.17,220.12,230.87,1.67,1.82,1.95,13.99,32.59,973.84,47.71,24990.0,0.0
2021.0,1.0,1.0,5.0,146.87,179.97,201.78,1.61,2.05,2.43,13.71,29.73,974.43,47.71,24990.0,0.0
2021.0,1.0,1.0,6.0,147.58,188.25,217.82,2.73,3.12,3.51,13.44,29.46,974.97,47.71,24990.0,0.0
2021.0,1.0,1.0,7.0,181.97,198.3,209.72,1.02,1.21,1.4,14.11,26.99,976.15,47.71,24990.0,0.0
2021.0,1.0,1.0,8.0,75.27,103.5,131.0,1.67,2.13,2.56,14.95,24.46,977.02,47.71,24990.0,0.0
2021.0,1.0,1.0,9.0,89.47,96.63,132.83,3.61,4.21,4.77,15.06,24.16,977.81,47.71,24990.0,0.0
2021.0,1.0,1.0,10.0,136.1,161.53,204.28,1.18,1.68,2.13,16.18,22.54,977.95,47.71,24990.0,0.0
2021.0,1.0,1.0,11.0,193.34,218.61,244.44,1.81,2.52,3.14,17.32,22.15,977.15,47.71,24990.0,0.0
2021.0,1.0,1.0,12.0,195.48,226.2,254.63,2.05,2.58,3.06,17.63,22.77,976.57,47.71,24990.0,0.0
2021.0,1.0,1.0,13.0,206.2,215.68,224.88,4.38,4.97,5.58,17.31,30.61,976.49,47.71,24990.0,0.0
2021.0,1.0,1.0,14.0,222.45,229.92,236.95,4.88,5.42,5.93,16.54,30.78,976.87,47.71,24990.0,0.0
2021.0,1.0,1.0,15.0,232.68,239.65,245.97,4.09,4.52,4.9,16.14,33.76,977.39,47.71,24990.0,0.0
