t,Dn,Dm,Dx,Sn,Sm,Sx,Ta,Ua,Pa,Rc,Rd,Ri
0,125.0,184.0,250.0,0.1,0.2,0.4,11.4,85.5,972.6,158.39,34600.0,0.0
60,200.0,210.0,213.0,0.5,0.6,0.7,11.4,85.4,972.6,158.39,34600.0,0.0
120,173.0,183.0,190.0,0.6,0.8,1.0,11.4,85.3,972.6,158.39,34600.0,0.0
180,194.0,202.0,206.0,0.8,0.9,1.0,11.4,85.2,972.6,158.39,34600.0,0.0
240,195.0,198.0,201.0,0.9,0.9,1.2,11.4,85.2,972.6,158.39,34600.0,0.0
300,201.0,207.0,212.0,0.9,0.9,1.0,11.3,85.3,972.6,158.39,34600.0,0.0
360,193.0,198.0,201.0,0.7,0.9,1.0,11.4,85.4,972.6,158.39,34600.0,0.0
420,158.0,170.0,184.0,0.7,1.3,1.8,11.3,85.4,972.6,158.39,34600.0,0.0
480,68.0,109.0,147.0,0.4,0.6,0.8,11.3,85.2,972.6,158.39,34600.0,0.0
540,134.0,142.0,147.0,1.2,1.3,1.4,11.3,85.1,972.6,158.39,34600.0,0.0
600,129.0,140.0,156.0,0.7,0.8,0.9,11.4,85.2,972.6,158.39,34600.0,0.0
660,129.0,144.0,155.0,0.8,0.9,1.0,11.4,85.1,972.5,158.39,34600.0,0.0
720,137.0,141.0,144.0,1.0,1.0,1.1,11.4,85.1,972.5,158.39,34600.0,0.0
780,126.0,129.0,135.0,1.2,1.4,1.5,11.4,85.1,972.5,158.39,34600.0,0.0
840,130.0,134.0,141.0,1.0,1.1,1.3,11.4,85.1,972.5,158.39,34600.0,0.0
900,163.0,174.0,193.0,0.9,1.1,1.4,11.4,85.1,972.5,158.39,34600.0,0.0
960,135.0,148.0,152.0,0.7,0.8,0.9,11.4,84.7,972.5,158.39,34600.0,0.0
1020,149.0,151.0,158.0,0.9,0.9,1.0,11.4,84.8,972.5,158.39,34600.0,0.0
1080,154.0,157.0,163.0,1.2,1.3,1.3,11.5,84.8,972.5,158.39,34600.0,0.0
1140,157.0,160.0,167.0,1.0,1.1,1.3,11.5,84.6,972.5,158.39,34600.0,0.0
1200,148.0,152.0,157.0,1.3,1.4,1.6,11.5,84.6,972.5,158.39,34600.0,0.0
1260,143.0,144.0,145.0,1.3,1.4,1.5,11.5,84.6,972.5,158.39,34600.0,0.0
1320,150.0,156.0,158.0,1.2,1.3,1.5,11.5,84.6,972.6,158.39,34600.0,0.0
1380,142.0,146.0,151.0,1.1,1.2,1.5,11.5,84.7,972.5,158.39,34600.0,0.0
1440,131.0,139.0,145.0,1.2,1.3,1.5,11.5,84.7,972.6,158.39,34600.0,0.0
1500,132.0,137.0,141.0,1.1,1.2,1.3,11.5,84.7,972.6,158.39,34600.0,0.0
1560,150.0,151.0,158.0,1.1,1.2,1.3,11.5,84.7,972.6,158.39,34600.0,0.0
1620,162.0,167.0,174.0,1.0,1.1,1.1,11.5,84.7,972.6,158.39,34600.0,0.0
1680,141.0,144.0,150.0,1.0,1.1,1.3,11.5,84.7,972.6,158.39,34600.0,0.0
1740,130.0,139.0,149.0,0.8,0.9,1.0,11.5,84.6,972.6,158.39,34600.0,0.0
1800,150.0,158.0,161.0,0.8,1.0,1.2,11.5,84.7,972.6,158.39,34600.0,0.0
1860,138.0,147.0,150.0,1.3,1.3,1.5,11.5,84.6,972.6,158.39,34600.0,0.0
1920,160.0,173.0,185.0,1.4,1.6,1.9,11.5,84.5,972.6,158.39,34600.0,0.0
1980,168.0,180.0,190.0,1.4,1.7,2.2,11.5,84.5,972.6,158.39,34600.0,0.0
2040,150.0,159.0,167.0,1.6,2.1,2.5,11.5,84.1,972.5,158.39,34600.0,0.0
2100,164.0,170.0,175.0,2.3,2.5,2.6,11.4,84.0,972.5,158.39,34600.0,0.0
2160,160.0,166.0,171.0,1.9,2.5,3.1,11.4,83.7,972.5,158.39,34600.0,0.0
2220,150.0,166.0,192.0,1.3,2.2,2.6,11.5,83.7,972.5,158.39,34600.0,0.0
2280,145.0,153.0,163.0,3.1,3.3,3.6,11.5,83.7,972.5,158.39,34600.0,0.0
2340,149.0,152.0,156.0,2.4,3.2,3.5,11.5,83.7,972.5,158.39,34600.0,0.0
2400,134.0,138.0,143.0,2.3,2.6,2.8,11.5,83.7,972.5,158.39,34600.0,0.0
