year,month,day,hour,Dn,Dm,Dx,Sn,Sm,Sx,Ta,Ua,Pa,Rc,Rd,Ri
2021.0,1.0,1.0,0.0,57.32,75.6,132.3,2.75,3.98,5.38,4.62,47.52,856.62,92.28,43500.0,0.0
2021.0,1.0,1.0,1.0,56.78,74.25,120.92,3.2,4.58,5.98,4.56,46.89,856.61,92.28,43500.0,0.0
2021.0,1.0,1.0,2.0,26.12,50.2,87.73,3.79,5.17,6.36,4.46,46.46,856.67,92.28,43500.0,0.0
2021.0,1.0,1.0,3.0,29.23,37.33,151.57,5.71,8.13,10.4,4.1,47.0,856.25,92.41,43631.17,0.24
2021.0,1.0,1.0,4.0,35.21,104.3,232.82,4.56,7.55,10.05,3.85,46.54,856.83,92.56,43795.41,0.07
2021.0,1.0,1.0,5.0,54.02,177.93,308.38,3.33,5.52,7.81,3.81,44.52,857.64,92.6,43856.67,0.0
2021.0,1.0,1.0,6.0,33.52,122.85,176.68,3.66,5.41,7.05,3.35,45.38,858.08,92.61,43869.33,0.01
2021.0,1.0,1.0,7.0,33.37,50.57,79.62,4.04,5.83,7.5,3.43,45.14,858.67,92.61,43870.0,0.0
2021.0,1.0,1.0,8.0,26.75,34.28,132.92,4.63,6.82,8.72,4.84,40.39,859.36,92.62,43890.5,0.01
2021.0,1.0,1.0,9.0,41.03,77.27,207.97,2.78,4.69,6.3,6.26,37.65,860.4,92.62,43900.0,0.0
2021.0,1.0,1.0,10.0,57.98,72.47,161.02,1.79,2.98,4.14,8.02,34.51,860.59,92.62,43900.0,0.0
2021.0,1.0,1.0,11.0,72.75,91.82,148.48,1.51,2.19,2.83,8.55,32.76,860.38,92.62,43900.0,0.0
2021.0,1.0,1.0,12.0,102.53,120.8,169.1,1.2,1.68,2.18,9.9,30.19,859.97,92.62,43900.0,0.0
2021.0,1.0,1.0,13.0,87.43,101.37,125.83,2.34,3.09,3.82,10.1,32.51,860.04,92.62,43900.0,0.0
2021.0,1.0,1.0,14.0,81.3,97.15,127.78,1.65,2.38,3.01,9.8,34.02,860.42,92.62,43900.0,0.0
2021.0,1.0,1.0,15.0,82.28,97.45,117.3,2.66,3.38,4.08,9.26,34.55,860.92,92.62,43900.0,0.0
2021.0,1.0,1.0,16.0,59.12,74.83,92.05,1.76,2.3,2.82,7.63,37.51,861.27,92.62,43900.0,0.0
2021.0,1.0,1.0,17.0,46.9,62.43,84.7,1.56,1.79,2.03,5.61,44.85,861.85,92.62,43900.0,0.0
2021.0,1.0,1.0,18.0,70.03,87.25,103.3,2.17,2.41,2.65,4.82,46.54,862.28,92.62,43900.0,0.0
2021.0,1.0,1.0,19.0,25.92,95.35,162.8,2.12,2.44,2.77,4.96,45.5,862.52,92.62,43900.0,0.0
2021.0,1.0,1.0,20.0,125.58,154.38,213.22,1.69,2.02,2.34,4.5,46.42,862.88,92.62,43900.0,0.0
2021.0,1.0,1.0,21.0,12.88,18.15,29.82,2.95,3.26,3.55,4.13,47.12,862.99,92.62,43900.0,0.0
2021.0,1.0,1.0,22.0,20.33,29.33,67.8,2.7,3.01,3.29,4.76,45.6,863.18,92.62,43900.0,0.0
2021.0,1.0,1.0,23.0,13.68,31.34,78.0,2.32,2.65,2.98,4.53,44.68,863.39,92.62,43900.0,0.0
2021.0,1.0,2.0,0.0,80.72,97.87,195.57,1.5,1.87,2.23,4.66,43.86,863.23,92.62,43900.0,0.0
2021.0,1.0,2.0,1.0,164.42,193.68,249.73,0.73,1.01,1.28,4.84,42.85,863.54,92.62,43900.0,0.0
2021.0,1.0,2.0,2.0,125.42,144.97,246.37,0.72,1.01,1.31,4.19,45.3,863.57,92.62,43900.0,0.0
2021.0,1.0,2.0,3.0,122.82,171.87,213.65,0.55,0.82,1.09,3.9,46.12,863.34,92.62,43900.0,0.0
2021.0,1.0,2.0,4.0,142.33,174.67,201.83,0.98,1.26,1.59,4.01,45.72,863.32,92.62,43900.0,0.0
2021.0,1.0,2.0,5.0,154.72,169.35,181.98,1.32,1.6,1.87,4.49,44.62,863.58,92.62,43900.0,0.0
2021.0,1.0,2.0,6.0,257.02,277.62,287.17,1.22,1.49,1.76,5.35,42.1,864.37,92.62,43900.0,0.0
2021.0,1.0,2.0,7.0,201.05,225.62,262.57,0.57,0.72,0.86,5.03,43.76,864.86,92.62,43900.0,0.0
2021.0,1.0,2.0,8.0,211.38,248.8,277.32,0.9,1.27,1.58,5.69,43.12,864.92,92.62,43900.0,0.0
2021.0,1.0,2.0,9.0,210.35,237.6,263.1,1.6,2.14,2.6,6.58,41.19,864.9,92.62,43900.0,0.0
2021.0,1.0,2.0,10.0,210.7,236.1,272.45,2.09,3.05,3.87,8.1,36.68,864.54,92.62,43900.0,0.0
2021.0,1.0,2.0,11.0,198.7,244.45,267.62,2.49,3.84,4.88,8.87,36.23,863.84,92.62,43900.0,0.0
2021.0,1.0,2.0,12.0,215.32,250.08,281.0,2.94,4.52,5.65,9.9,32.71,863.22,92.62,43900.0,0.0
2021.0,1.0,2.0,13.0,244.98,268.55,282.78,3.26,4.42,5.44,10.02,30.62,863.21,92.62,43900.0,0.0
2021.0,1.0,2.0,14.0,241.57,262.57,280.47,2.88,3.77,4.52,9.49,32.9,863.4,92.62,43900.0,0.0
2021.0,1.0,2.0,15.0,249.28,268.8,283.75,2.56,3.44,4.15,8.74,34.46,863.41,92.62,43900.0,0.0
2021.0,1.0,2.0,16.0,285.62,300.95,311.28,2.14,2.57,2.94,7.21,38.83,863.29,92.62,43900.0,0.0
2021.0,1.0,2.0,17.0,228.32,276.12,287.92,1.43,1.85,2.18,6.25,41.54,863.32,92.62,43900.0,0.0
2021.0,1.0,2.0,18.0,259.5,309.25,323.25,1.26,1.63,1.93,6.14,41.15,863.33,92.62,43900.0,0.0
2021.0,1.0,2.0,19.0,111.22,154.28,203.78,1.34,1.57,1.77,5.51,46.06,862.96,92.62,43900.0,0.0
2021.0,1.0,2.0,20.0,119.12,184.03,210.3,0.97,1.21,1.45,5.52,47.9,862.98,92.62,43900.0,0.0
2021.0,1.0,2.0,21.0,158.75,190.8,226.3,0.56,0.71,0.85,5.44,48.62,862.95,92.62,43900.0,0.0
2021.0,1.0,2.0,22.0,256.9,278.48,291.61,2.23,2.59,2.91,5.03,50.78,863.16,92.62,43900.0,0.0
2021.0,1.0,2.0,23.0,201.88,235.36,251.73,0.59,0.81,1.0,4.49,52.68,863.04,92.62,43900.0,0.0
2021.0,1.0,3.0,0.0,188.3,256.72,268.12,0.54,0.67,0.8,4.35,51.77,863.16,92.62,43900.0,0.0
