t,Dn,Dm,Dx,Sn,Sm,Sx,Ta,Ua,Pa,Rc,Rd,Ri
0,14.0,23.0,38.0,1.7,2.2,3.0,19.8,12.2,860.0,104.16,37770.0,0.0
60,20.0,3.0,354.0,1.6,2.1,2.9,19.7,11.7,860.0,104.16,37770.0,0.0
120,5.0,18.0,30.0,1.5,2.3,3.2,19.8,11.5,859.9,104.16,37770.0,0.0
180,25.0,8.0,356.0,1.8,2.5,3.0,19.8,11.5,859.9,104.16,37770.0,0.0
240,7.0,21.0,34.0,1.9,2.3,2.8,19.9,11.9,860.0,104.16,37770.0,0.0
300,4.0,13.0,22.0,1.7,2.1,2.7,19.9,11.5,860.0,104.16,37770.0,0.0
360,5.0,16.0,27.0,2.1,2.4,2.7,20.0,11.2,860.0,104.16,37770.0,0.0
420,17.0,11.0,0.0,2.4,2.7,2.9,20.0,11.7,860.0,104.16,37770.0,0.0
480,6.0,12.0,15.0,2.2,2.5,2.7,20.1,11.9,860.0,104.16,37770.0,0.0
540,10.0,14.0,21.0,2.2,2.4,2.5,20.1,11.8,860.0,104.16,37770.0,0.0
600,12.0,19.0,27.0,1.9,2.2,2.5,20.1,11.8,860.0,104.16,37770.0,0.0
660,11.0,18.0,30.0,2.3,2.5,2.7,20.1,12.0,859.9,104.16,37770.0,0.0
720,8.0,17.0,24.0,1.8,2.1,2.3,20.1,12.3,859.9,104.16,37770.0,0.0
780,18.0,24.0,29.0,2.4,2.6,3.0,20.0,13.1,859.9,104.16,37770.0,0.0
840,6.0,17.0,35.0,1.9,2.3,2.5,20.0,13.0,859.9,104.16,37770.0,0.0
900,6.0,20.0,32.0,2.0,2.3,2.6,20.0,13.0,859.9,104.16,37770.0,0.0
960,32.0,15.0,358.0,2.3,2.8,3.6,20.0,13.2,859.9,104.16,37770.0,0.0
1020,8.0,15.0,23.0,2.1,2.7,3.0,20.0,13.4,859.9,104.16,37770.0,0.0
1080,21.0,9.0,0.0,1.4,2.2,2.7,20.0,12.2,859.9,104.16,37770.0,0.0
1140,15.0,6.0,358.0,1.8,2.3,2.6,20.0,11.8,859.9,104.16,37770.0,0.0
1200,21.0,11.0,356.0,2.2,2.5,2.8,20.1,12.2,859.9,104.16,37770.0,0.0
1260,3.0,7.0,12.0,2.0,2.2,2.4,20.1,12.2,859.9,104.16,37770.0,0.0
