t,Dn,Dm,Dx,Sn,Sm,Sx,Ta,Ua,Pa,Rc,Rd,Ri
0,296.0,302.0,311.0,0.4,0.6,0.8,21.3,42.5,839.5,4.91,6710.0,0.0
60,313.0,326.0,354.0,0.5,0.7,0.9,21.3,42.8,839.4,4.91,6710.0,0.0
120,301.0,306.0,311.0,0.5,0.5,0.6,21.2,42.9,839.5,4.91,6710.0,0.0
180,303.0,313.0,321.0,0.4,0.5,0.7,21.2,43.2,839.5,4.91,6710.0,0.0
240,287.0,305.0,324.0,0.2,0.5,0.6,21.2,43.4,839.5,4.91,6710.0,0.0
300,325.0,336.0,352.0,0.5,0.7,0.8,21.1,43.6,839.5,4.91,6710.0,0.0
360,305.0,312.0,320.0,0.3,0.6,0.8,21.1,43.7,839.5,4.91,6710.0,0.0
420,297.0,310.0,330.0,0.4,0.5,0.6,21.1,43.9,839.5,4.91,6710.0,0.0
480,292.0,306.0,315.0,0.4,0.5,0.6,21.1,44.0,839.5,4.91,6710.0,0.0
540,298.0,322.0,344.0,0.5,0.6,0.8,21.1,44.1,839.5,4.91,6710.0,0.0
600,291.0,307.0,323.0,0.6,0.7,0.8,21.1,44.1,839.5,4.91,6710.0,0.0
660,325.0,329.0,335.0,0.8,1.1,1.4,21.1,44.3,839.5,4.91,6710.0,0.0
720,317.0,325.0,338.0,0.7,1.2,1.6,21.0,44.2,839.5,4.91,6710.0,0.0
780,313.0,329.0,354.0,0.4,0.5,0.7,21.1,44.2,839.5,4.91,6710.0,0.0
840,313.0,335.0,351.0,0.8,0.9,1.1,21.1,44.0,839.5,4.91,6710.0,0.0
900,323.0,330.0,337.0,0.6,0.8,1.3,21.1,43.7,839.5,4.91,6710.0,0.0
960,308.0,328.0,352.0,0.5,0.9,1.3,21.1,43.6,839.5,4.91,6710.0,0.0
1020,333.0,338.0,344.0,0.8,1.0,1.5,21.2,43.5,839.5,4.91,6710.0,0.0
1080,300.0,324.0,332.0,0.6,0.8,1.1,21.2,43.5,839.4,4.91,6710.0,0.0
1140,288.0,316.0,329.0,0.5,0.7,1.0,21.2,43.5,839.4,4.91,6710.0,0.0
1200,327.0,337.0,345.0,0.8,1.0,1.3,21.2,43.2,839.4,4.91,6710.0,0.0
1260,324.0,330.0,339.0,0.9,1.0,1.1,21.2,43.6,839.5,4.91,6710.0,0.0
1320,286.0,314.0,335.0,0.5,0.6,0.8,21.2,42.8,839.4,4.91,6710.0,0.0
1380,319.0,329.0,338.0,0.7,0.8,1.0,21.2,43.3,839.4,4.91,6710.0,0.0
1440,322.0,332.0,343.0,0.8,0.9,1.0,21.1,43.3,839.4,4.91,6710.0,0.0
1500,317.0,321.0,325.0,0.5,0.6,0.8,21.1,43.1,839.4,4.91,6710.0,0.0
1560,336.0,343.0,350.0,0.8,1.1,1.5,21.1,42.8,839.4,4.91,6710.0,0.0
1620,308.0,319.0,326.0,0.5,0.8,1.3,21.1,42.2,839.4,4.91,6710.0,0.0
1680,334.0,341.0,349.0,0.6,0.8,1.0,21.2,42.2,839.3,4.91,6710.0,0.0
1740,330.0,339.0,348.0,0.7,0.9,1.0,21.2,42.1,839.3,4.91,6710.0,0.0
1800,326.0,335.0,0.0,0.6,0.8,0.9,21.3,42.0,839.3,4.91,6710.0,0.0
1860,316.0,328.0,335.0,0.7,0.8,1.0,21.3,41.5,839.3,4.91,6710.0,0.0
1920,322.0,327.0,340.0,0.6,0.8,1.0,21.3,41.4,839.3,4.91,6710.0,0.0
1980,316.0,327.0,333.0,0.7,0.9,1.1,21.3,41.6,839.3,4.91,6710.0,0.0
2040,323.0,326.0,330.0,0.8,0.9,1.0,21.3,41.5,839.3,4.91,6710.0,0.0
2100,314.0,323.0,343.0,0.5,0.8,1.2,21.3,41.4,839.3,4.91,6710.0,0.0
2160,306.0,314.0,327.0,0.6,0.7,0.8,21.3,41.3,839.3,4.91,6710.0,0.0
2220,311.0,322.0,331.0,0.7,0.8,1.1,21.3,40.7,839.3,4.91,6710.0,0.0
2280,307.0,325.0,0.0,0.5,0.6,0.8,21.3,40.7,839.3,4.91,6710.0,0.0
2340,270.0,283.0,305.0,0.3,0.4,0.5,21.3,40.6,839.3,4.91,6710.0,0.0
2400,292.0,309.0,331.0,0.3,0.5,0.7,21.3,40.3,839.3,4.91,6710.0,0.0
2460,316.0,320.0,323.0,0.6,0.7,0.8,21.3,40.4,839.3,4.91,6710.0,0.0
2520,309.0,316.0,322.0,0.4,0.7,0.8,21.3,40.4,839.3,4.91,6710.0,0.0
2580,312.0,323.0,335.0,0.5,0.8,1.1,21.3,40.5,839.2,4.91,6710.0,0.0
2640,313.0,321.0,327.0,0.4,0.6,0.7,21.3,40.5,839.3,4.91,6710.0,0.0
2700,314.0,328.0,341.0,0.4,0.7,1.1,21.3,40.6,839.2,4.91,6710.0,0.0
2760,319.0,333.0,351.0,0.8,1.1,1.2,21.3,40.4,839.2,4.91,6710.0,0.0
2820,319.0,329.0,341.0,0.5,0.7,1.2,21.3,40.2,839.2,4.91,6710.0,0.0
2880,311.0,314.0,320.0,0.5,0.6,0.7,21.3,40.2,839.2,4.91,6710.0,0.0
2940,310.0,317.0,323.0,0.6,0.7,0.8,21.4,40.0,839.2,4.91,6710.0,0.0
3000,330.0,334.0,344.0,0.6,0.8,1.0,21.4,40.0,839.2,4.91,6710.0,0.0
3060,326.0,331.0,339.0,0.6,0.8,1.0,21.4,40.1,839.2,4.91,6710.0,0.0
3120,321.0,328.0,341.0,0.5,0.8,1.0,21.4,40.3,839.2,4.91,6710.0,0.0
3180,305.0,318.0,334.0,0.5,0.8,1.1,21.4,40.6,839.1,4.91,6710.0,0.0
3240,302.0,322.0,332.0,0.6,0.8,0.9,21.4,40.8,839.2,4.91,6710.0,0.0
3300,285.0,311.0,14.0,0.3,0.5,0.6,21.4,41.0,839.2,4.91,6710.0,0.0
3360,304.0,324.0,347.0,0.6,0.7,1.0,21.4,41.1,839.2,4.91,6710.0,0.0
3420,295.0,320.0,339.0,0.5,0.7,0.9,21.4,41.4,839.1,4.91,6710.0,0.0
3480,310.0,316.0,322.0,0.5,0.7,0.8,21.4,41.6,839.1,4.91,6710.0,0.0
3540,322.0,326.0,330.0,0.6,0.7,0.8,21.4,42.0,839.1,4.91,6710.0,0.0
3600,314.0,331.0,347.0,0.5,0.7,1.0,21.3,42.4,839.1,4.91,6710.0,0.0
3660,315.0,345.0,18.0,0.7,1.1,1.5,21.3,42.6,839.0,4.91,6710.0,0.0
3720,314.0,324.0,330.0,0.4,0.5,0.7,21.3,42.8,839.1,4.91,6710.0,0.0
3780,314.0,329.0,342.0,0.7,0.9,1.0,21.3,42.9,839.1,4.91,6710.0,0.0
3840,312.0,330.0,345.0,0.7,1.1,1.3,21.3,42.9,839.1,4.91,6710.0,0.0
3900,310.0,323.0,330.0,0.5,0.7,0.8,21.3,43.1,839.1,4.91,6710.0,0.0
3960,314.0,326.0,332.0,0.6,0.8,1.0,21.3,43.2,839.1,4.91,6710.0,0.0
4020,320.0,336.0,350.0,0.7,0.8,1.0,21.3,43.2,839.1,4.91,6710.0,0.0
4080,309.0,324.0,342.0,1.1,1.5,1.8,21.3,43.2,839.1,4.91,6710.0,0.0
4140,302.0,323.0,339.0,0.8,1.1,1.4,21.3,43.0,839.0,4.91,6710.0,0.0
4200,317.0,337.0,347.0,1.0,1.5,2.2,21.4,42.7,839.0,4.91,6710.0,0.0
4260,329.0,334.0,339.0,0.9,1.1,1.3,21.4,42.6,839.0,4.91,6710.0,0.0
4320,329.0,339.0,350.0,0.9,1.0,1.1,21.4,42.4,839.0,4.91,6710.0,0.0
4380,322.0,333.0,345.0,0.8,1.2,1.4,21.4,42.5,839.0,4.91,6710.0,0.0
4440,325.0,339.0,357.0,0.9,1.3,1.6,21.5,42.6,839.0,4.91,6710.0,0.0
4500,313.0,329.0,351.0,0.6,0.8,0.9,21.5,42.6,839.0,4.91,6710.0,0.0
4560,311.0,331.0,350.0,0.8,1.2,1.5,21.5,42.8,839.0,4.91,6710.0,0.0
4620,318.0,336.0,346.0,0.9,1.0,1.2,21.4,43.0,839.0,4.91,6710.0,0.0
4680,328.0,335.0,342.0,0.7,1.0,1.2,21.4,43.3,839.0,4.91,6710.0,0.0
4740,313.0,326.0,336.0,0.4,0.7,1.0,21.4,43.4,839.0,4.91,6710.0,0.0
4800,315.0,330.0,341.0,1.0,1.3,1.8,21.4,43.4,839.0,4.91,6710.0,0.0
4860,314.0,328.0,339.0,0.8,1.0,1.2,21.4,43.3,839.0,4.91,6710.0,0.0
4920,300.0,321.0,345.0,0.6,0.8,0.9,21.4,43.5,839.0,4.91,6710.0,0.0
4980,312.0,328.0,339.0,0.8,1.2,1.5,21.4,43.6,839.0,4.91,6710.0,0.0
5040,295.0,316.0,353.0,0.4,0.6,0.7,21.4,43.7,839.0,4.91,6710.0,0.0
5100,317.0,330.0,343.0,0.4,0.6,1.0,21.4,43.8,839.0,4.91,6710.0,0.0
5160,314.0,330.0,4.0,0.7,1.1,1.4,21.4,43.8,839.0,4.91,6710.0,0.0
5220,319.0,336.0,355.0,0.5,0.8,1.3,21.4,43.9,839.0,4.91,6710.0,0.0
5280,322.0,332.0,346.0,0.8,1.0,1.2,21.3,44.1,839.0,4.91,6710.0,0.0
5340,315.0,322.0,326.0,0.6,0.8,0.9,21.3,44.2,838.9,4.91,6710.0,0.0
5400,304.0,316.0,330.0,0.5,0.6,0.8,21.3,44.2,838.9,4.91,6710.0,0.0
5460,306.0,317.0,332.0,0.5,0.7,0.8,21.3,44.3,838.9,4.91,6710.0,0.0
5520,306.0,318.0,331.0,0.5,0.6,0.8,21.2,44.4,838.9,4.91,6710.0,0.0
5580,304.0,314.0,323.0,0.4,0.7,0.9,21.2,44.6,838.9,4.91,6710.0,0.0
5640,308.0,317.0,335.0,0.6,0.9,1.1,21.1,44.7,838.9,4.91,6710.0,0.0
5700,303.0,311.0,324.0,0.4,0.6,0.8,21.1,45.0,838.9,4.91,6710.0,0.0
5760,307.0,312.0,318.0,0.7,0.8,0.9,21.0,45.2,838.9,4.91,6710.0,0.0
5820,304.0,311.0,318.0,0.4,0.6,0.7,21.0,45.4,838.9,4.91,6710.0,0.0
5880,303.0,309.0,316.0,0.5,0.6,0.7,21.0,45.6,838.9,4.91,6710.0,0.0
5940,300.0,312.0,322.0,0.6,0.7,0.8,20.9,45.8,838.9,4.91,6710.0,0.0
6000,306.0,317.0,339.0,0.5,0.6,0.7,20.9,46.1,838.9,4.91,6710.0,0.0
6060,311.0,316.0,321.0,0.6,0.7,0.8,20.8,46.4,838.9,4.91,6710.0,0.0
6120,310.0,316.0,319.0,0.7,0.8,1.0,20.8,46.6,838.9,4.91,6710.0,0.0
6180,321.0,325.0,328.0,0.7,0.9,1.0,20.7,46.7,838.9,4.91,6710.0,0.0
6240,315.0,324.0,328.0,0.8,1.0,1.1,20.7,47.0,838.9,4.91,6710.0,0.0
6300,331.0,340.0,346.0,0.8,0.9,1.1,20.7,47.3,838.9,4.91,6710.0,0.0
6360,302.0,329.0,342.0,0.7,1.0,1.3,20.7,47.6,838.8,4.91,6710.0,0.0
6420,307.0,328.0,338.0,0.6,0.9,1.3,20.7,47.8,838.8,4.91,6710.0,0.0
6480,324.0,331.0,336.0,1.0,1.1,1.3,20.7,47.8,838.9,4.91,6710.0,0.0
6540,315.0,328.0,337.0,1.1,1.4,1.6,20.7,47.9,838.8,4.91,6710.0,0.0
6600,319.0,328.0,335.0,0.9,1.0,1.1,20.7,48.0,838.8,4.91,6710.0,0.0
6660,326.0,334.0,340.0,1.2,1.5,1.8,20.7,48.0,838.8,4.91,6710.0,0.0
6720,322.0,329.0,336.0,0.8,1.0,1.4,20.7,48.2,838.8,4.91,6710.0,0.0
6780,327.0,334.0,343.0,0.8,1.0,1.2,20.7,48.0,838.8,4.91,6710.0,0.0
6840,320.0,338.0,349.0,0.9,1.0,1.2,20.7,48.2,838.8,4.91,6710.0,0.0
6900,327.0,331.0,339.0,0.9,1.1,1.4,20.7,48.5,838.8,4.91,6710.0,0.0
6960,327.0,330.0,333.0,0.8,1.0,1.2,20.7,48.4,838.8,4.91,6710.0,0.0
7020,318.0,328.0,334.0,1.1,1.3,1.5,20.7,48.3,838.8,4.91,6710.0,0.0
7080,319.0,330.0,338.0,0.9,1.1,1.3,20.7,48.2,838.8,4.91,6710.0,0.0
7140,323.0,331.0,339.0,1.1,1.3,1.6,20.7,48.2,838.8,4.91,6710.0,0.0
7200,317.0,326.0,334.0,1.1,1.4,1.7,20.7,48.2,838.8,4.91,6710.0,0.0
7260,318.0,330.0,337.0,1.1,1.4,1.6,20.7,48.5,838.8,4.91,6710.0,0.0
7320,323.0,326.0,330.0,1.0,1.1,1.3,20.7,48.6,838.8,4.91,6710.0,0.0
7380,325.0,330.0,334.0,0.9,1.1,1.2,20.7,48.8,838.8,4.91,6710.0,0.0
7440,329.0,335.0,343.0,1.0,1.2,1.3,20.7,49.1,838.8,4.91,6710.0,0.0
7500,316.0,328.0,341.0,0.8,1.3,2.0,20.7,49.3,838.8,4.91,6710.0,0.0
7560,313.0,325.0,338.0,0.8,0.9,1.1,20.7,49.4,838.8,4.91,6710.0,0.0
7620,325.0,333.0,348.0,0.8,1.0,1.1,20.8,49.6,838.8,4.91,6710.0,0.0
7680,324.0,333.0,343.0,0.7,1.1,1.6,20.8,49.7,838.8,4.91,6710.0,0.0
7740,320.0,326.0,332.0,0.8,1.0,1.2,20.8,49.6,838.8,4.91,6710.0,0.0
7800,312.0,326.0,336.0,1.2,1.5,1.9,20.8,49.4,838.8,4.91,6710.0,0.0
7860,311.0,327.0,338.0,0.8,1.2,1.5,20.8,49.3,838.8,4.91,6710.0,0.0
7920,304.0,323.0,332.0,0.7,1.0,1.7,20.8,48.6,838.8,4.91,6710.0,0.0
7980,315.0,325.0,331.0,0.8,1.3,2.0,20.8,48.8,838.8,4.91,6710.0,0.0
8040,326.0,332.0,342.0,1.5,1.8,2.2,20.8,48.9,838.8,4.91,6710.0,0.0
8100,316.0,324.0,338.0,0.7,0.9,1.2,20.9,49.0,838.8,4.91,6710.0,0.0
8160,310.0,328.0,356.0,1.0,1.4,1.8,20.9,48.9,838.8,4.91,6710.0,0.0
8220,295.0,329.0,1.0,0.8,1.1,1.5,20.9,49.0,838.7,4.91,6710.0,0.0
8280,301.0,336.0,14.0,0.5,0.9,1.5,20.9,49.2,838.7,4.91,6710.0,0.0
8340,312.0,326.0,336.0,1.4,1.7,1.9,21.0,49.3,838.7,4.91,6710.0,0.0
8400,310.0,321.0,333.0,0.9,1.1,1.3,21.0,49.1,838.7,4.91,6710.0,0.0
8460,324.0,330.0,337.0,1.3,1.4,1.6,21.0,48.9,838.7,4.91,6710.0,0.0
8520,320.0,334.0,348.0,1.0,1.7,2.2,21.0,48.5,838.7,4.91,6710.0,0.0
8580,315.0,320.0,330.0,1.2,1.8,2.5,21.0,47.5,838.7,4.91,6710.0,0.0
8640,315.0,329.0,344.0,0.9,1.2,1.5,21.1,47.7,838.7,4.91,6710.0,0.0
