year,month,day,hour,Dn,Dm,Dx,Sn,Sm,Sx,Ta,Ua,Pa,Rc,Rd,Ri
2021.0,1.0,1.0,0.0,35.68,48.28,66.13,4.53,7.29,12.6,-6.79,86.32,730.98,73.39,27537.0,1.03
2021.0,1.0,1.0,1.0,43.6,55.38,68.13,5.24,7.72,11.83,-6.95,86.21,731.03,74.5,30714.17,1.02
2021.0,1.0,1.0,2.0,38.08,50.53,63.88,5.62,8.12,11.65,-7.16,86.11,731.01,75.89,34134.67,1.48
2021.0,1.0,1.0,3.0,36.1,42.5,49.78,6.63,9.46,12.59,-7.5,85.75,731.33,77.04,37096.67,0.54
2021.0,1.0,1.0,4.0,35.75,44.1,59.97,6.18,9.5,12.72,-7.84,85.54,731.66,77.41,38719.0,0.34
2021.0,1.0,1.0,5.0,27.72,43.9,64.05,4.83,7.46,10.26,-7.95,85.44,732.4,77.58,39384.67,0.01
2021.0,1.0,1.0,6.0,36.13,41.63,49.0,6.77,9.48,11.83,-8.08,85.14,733.16,77.6,39495.33,0.0
2021.0,1.0,1.0,7.0,40.25,42.77,45.93,12.94,14.23,15.11,-6.42,69.47,734.41,77.6,39510.0,0.0
2021.0,1.0,1.0,8.0,58.02,60.17,62.37,11.87,12.28,12.64,-4.58,52.72,735.74,77.6,39510.0,0.0
2021.0,1.0,1.0,9.0,50.15,53.82,57.57,8.71,9.37,9.87,-3.8,52.66,736.91,77.6,39510.0,0.0
2021.0,1.0,1.0,10.0,68.38,73.75,80.15,8.76,9.77,10.57,-3.74,56.16,737.21,77.6,39510.0,0.0
2021.0,1.0,1.0,11.0,63.42,69.27,77.92,6.45,7.27,7.94,-3.31,53.61,737.22,77.6,39510.0,0.0
2021.0,1.0,1.0,12.0,72.22,74.02,108.55,3.51,4.19,4.78,-2.62,49.4,737.2,77.6,39510.0,0.0
2021.0,1.0,1.0,13.0,66.03,76.58,110.25,2.17,2.91,3.52,-2.33,50.17,737.37,77.6,39510.0,0.0
2021.0,1.0,1.0,14.0,74.4,81.75,103.73,2.14,2.67,3.15,-1.59,46.13,737.78,77.6,39510.0,0.0
2021.0,1.0,1.0,15.0,80.15,78.87,114.12,1.98,2.24,2.49,-1.2,42.65,738.28,77.6,39510.0,0.0
2021.0,1.0,1.0,16.0,95.82,97.88,100.05,3.58,3.68,3.79,-0.82,38.88,738.64,77.6,39510.0,0.0
2021.0,1.0,1.0,17.0,105.5,106.63,107.8,3.24,3.3,3.36,-0.51,36.84,738.9,77.6,39510.0,0.0
2021.0,1.0,1.0,18.0,106.58,107.83,108.85,4.37,4.45,4.52,-0.9,37.84,739.07,77.6,39510.0,0.0
2021.0,1.0,1.0,19.0,117.39,118.59,119.74,4.45,4.54,4.63,-0.95,38.12,739.28,77.6,39510.0,0.0
2021.0,1.0,1.0,20.0,106.15,108.77,111.47,2.11,2.18,2.25,-0.51,36.2,739.68,77.6,39510.0,0.0
2021.0,1.0,1.0,21.0,252.08,255.78,282.6,2.86,3.06,3.24,-0.23,34.06,740.07,77.6,39510.0,0.0
2021.0,1.0,1.0,22.0,263.18,264.87,266.7,5.75,5.92,6.1,-0.33,35.13,740.09,77.6,39510.0,0.0
2021.0,1.0,1.0,23.0,265.42,267.35,269.08,7.72,8.11,8.38,-0.62,35.57,740.02,77.6,39510.0,0.0
2021.0,1.0,2.0,0.0,270.05,273.67,276.45,8.78,9.68,10.22,-0.88,38.03,739.68,77.6,39510.0,0.0
2021.0,1.0,2.0,1.0,302.35,304.72,306.75,10.6,11.07,11.45,-0.13,27.34,739.86,77.6,39510.0,0.0
2021.0,1.0,2.0,2.0,329.33,339.58,343.37,11.78,12.43,13.11,2.22,13.04,740.1,77.6,39510.0,0.0
2021.0,1.0,2.0,3.0,80.2,117.15,147.85,11.82,12.63,13.26,1.81,16.21,739.96,77.6,39510.0,0.0
2021.0,1.0,2.0,4.0,10.22,14.57,23.2,8.71,10.7,11.85,3.02,20.07,740.19,77.6,39510.0,0.0
2021.0,1.0,2.0,5.0,11.45,9.48,160.07,6.69,8.69,10.63,3.69,18.07,740.6,77.6,39510.0,0.0
2021.0,1.0,2.0,6.0,52.02,75.85,171.42,10.3,11.29,12.12,3.81,18.23,741.05,77.6,39510.0,0.0
2021.0,1.0,2.0,7.0,10.52,39.42,151.98,13.94,15.14,16.14,2.62,20.65,741.01,77.6,39510.0,0.0
2021.0,1.0,2.0,8.0,34.3,81.77,153.07,13.12,13.97,14.68,3.11,18.01,741.49,77.6,39510.0,0.0
2021.0,1.0,2.0,9.0,153.47,284.28,265.07,11.83,12.9,13.85,3.66,16.49,741.78,77.6,39510.0,0.0
2021.0,1.0,2.0,10.0,220.87,294.73,320.7,9.23,10.22,11.09,4.25,13.31,741.66,77.6,39510.0,0.0
2021.0,1.0,2.0,11.0,299.08,328.55,330.5,6.69,8.16,9.53,3.23,19.0,741.03,77.6,39510.0,0.0
2021.0,1.0,2.0,12.0,286.23,321.13,330.93,6.84,8.82,10.58,2.92,19.15,740.46,77.6,39510.0,0.0
2021.0,1.0,2.0,13.0,270.22,303.68,318.05,7.3,10.19,12.36,0.87,29.78,739.95,77.6,39510.0,0.0
2021.0,1.0,2.0,14.0,296.28,326.63,337.83,9.82,12.05,14.14,1.87,18.06,740.19,77.6,39510.0,0.0
2021.0,1.0,2.0,15.0,285.27,329.67,337.27,10.74,13.07,15.07,2.11,22.73,740.16,77.6,39510.0,0.0
2021.0,1.0,2.0,16.0,323.9,337.15,332.78,13.68,15.37,16.91,2.16,33.53,740.03,77.6,39510.0,0.0
2021.0,1.0,2.0,17.0,292.87,307.63,309.98,14.69,15.78,16.59,2.67,23.33,740.2,77.6,39510.0,0.0
2021.0,1.0,2.0,18.0,13.47,19.48,79.4,16.12,16.5,16.87,3.4,14.9,740.2,77.6,39510.0,0.0
2021.0,1.0,2.0,19.0,2.88,19.63,155.98,12.32,12.93,13.54,4.53,12.94,740.44,77.6,39510.0,0.0
2021.0,1.0,2.0,20.0,142.08,171.82,231.47,11.89,12.38,12.86,4.94,12.21,740.67,77.6,39510.0,0.0
