t,Dn,Dm,Dx,Sn,Sm,Sx,Ta,Ua,Pa,Rc,Rd,Ri
0,355.0,356.0,357.0,9.4,9.7,10.1,8.6,26.5,742.1,4.46,4940.0,0.0
60,352.0,354.0,356.0,9.9,10.0,10.2,8.9,26.2,742.1,4.46,4940.0,0.0
120,352.0,354.0,355.0,9.9,10.3,10.7,8.9,26.2,742.1,4.46,4940.0,0.0
180,352.0,352.0,353.0,9.5,9.8,10.1,8.8,26.1,742.1,4.46,4940.0,0.0
240,353.0,354.0,354.0,9.6,9.7,10.0,9.1,25.9,742.1,4.46,4940.0,0.0
300,352.0,354.0,356.0,9.7,9.9,10.1,9.1,25.7,742.1,4.46,4940.0,0.0
360,354.0,356.0,0.0,9.5,9.8,10.1,9.3,25.8,742.1,4.46,4940.0,0.0
420,356.0,357.0,358.0,9.3,9.8,10.1,9.3,25.9,742.1,4.46,4940.0,0.0
480,12.0,3.0,355.0,8.5,9.3,10.0,9.5,25.8,742.1,4.46,4940.0,0.0
540,10.0,7.0,0.0,9.6,10.5,11.0,9.1,26.2,742.0,4.46,4940.0,0.0
600,4.0,358.0,348.0,7.4,10.0,10.7,9.1,26.1,742.1,4.46,4940.0,0.0
660,6.0,1.0,356.0,9.9,10.5,11.1,9.0,25.7,742.1,4.46,4940.0,0.0
720,2.0,4.0,7.0,9.5,10.1,10.7,9.1,26.6,742.1,4.46,4940.0,0.0
780,353.0,355.0,356.0,11.2,11.7,12.3,8.9,25.9,742.0,4.46,4940.0,0.0
840,1.0,354.0,347.0,10.7,11.8,12.7,8.9,26.4,741.9,4.46,4940.0,0.0
900,351.0,354.0,0.0,11.3,12.1,12.7,9.0,25.6,741.9,4.46,4940.0,0.0
960,347.0,351.0,354.0,11.2,11.8,12.3,8.9,25.8,741.9,4.46,4940.0,0.0
1020,344.0,349.0,352.0,11.2,12.4,13.3,8.8,26.2,741.8,4.46,4940.0,0.0
1080,342.0,350.0,356.0,11.2,12.0,13.1,8.8,26.0,741.8,4.46,4940.0,0.0
1140,345.0,351.0,357.0,12.5,13.3,14.2,8.8,26.1,741.8,4.46,4940.0,0.0
1200,347.0,352.0,355.0,11.1,11.6,12.2,8.9,26.2,741.8,4.46,4940.0,0.0
1260,349.0,351.0,354.0,12.1,12.7,13.1,8.7,26.6,741.8,4.46,4940.0,0.0
1320,345.0,348.0,350.0,12.0,12.9,13.4,8.8,26.6,741.8,4.46,4940.0,0.0
1380,342.0,347.0,350.0,12.1,12.9,13.3,8.7,25.6,741.8,4.46,4940.0,0.0
1440,343.0,348.0,353.0,14.1,14.6,15.7,8.8,25.6,741.7,4.46,4940.0,0.0
1500,331.0,342.0,350.0,12.0,12.7,13.6,9.0,25.5,741.9,4.46,4940.0,0.0
1560,337.0,345.0,351.0,11.0,12.6,13.8,8.9,25.9,741.9,4.46,4940.0,0.0
