t,Dn,Dm,Dx,Sn,Sm,Sx,Ta,Ua,Pa,Rc,Rd,Ri
0,0.0,0.0,0.0,0.0,99.9,0.0,6.9,33.9,828.6,0.0,0.0,0.0
60,0.0,0.0,0.0,0.0,99.9,0.0,6.8,33.8,828.6,0.0,0.0,0.0
14819,0.0,0.0,0.0,0.0,99.9,0.0,6.3,44.3,828.6,0.0,0.0,0.0
14879,0.0,0.0,0.0,0.0,99.9,0.0,6.3,43.7,828.5,0.0,0.0,0.0
14939,0.0,0.0,0.0,0.0,99.9,0.0,6.2,43.3,828.5,0.0,0.0,0.0
14999,0.0,0.0,0.0,0.0,99.9,0.0,6.2,43.4,828.5,0.0,0.0,0.0
15059,0.0,0.0,0.0,0.0,99.9,0.0,6.2,44.3,828.6,0.0,0.0,0.0
15119,0.0,0.0,0.0,0.0,99.9,0.0,6.1,44.8,828.6,0.0,0.0,0.0
15179,0.0,0.0,0.0,0.0,99.9,0.0,6.1,44.6,828.6,0.0,0.0,0.0
15239,0.0,0.0,0.0,0.0,99.9,0.0,6.0,45.1,828.6,0.0,0.0,0.0
15299,0.0,0.0,0.0,0.0,99.9,0.0,6.1,44.6,828.6,0.0,0.0,0.0
15359,0.0,0.0,0.0,0.0,99.9,0.0,6.2,43.8,828.8,0.0,0.0,0.0
15419,0.0,0.0,0.0,0.0,99.9,0.0,6.3,43.8,828.7,0.0,0.0,0.0
15479,0.0,0.0,0.0,0.0,99.9,0.0,6.3,44.0,828.8,0.0,0.0,0.0
22896,0.0,0.0,0.0,0.0,99.9,0.0,9.9,30.3,829.3,0.0,0.0,0.0
22956,0.0,0.0,0.0,0.0,99.9,0.0,9.8,30.5,829.3,0.0,0.0,0.0
23016,0.0,0.0,0.0,0.0,99.9,0.0,9.8,31.1,829.4,0.0,0.0,0.0
23076,0.0,0.0,0.0,0.0,99.9,0.0,9.8,30.4,829.3,0.0,0.0,0.0
23136,0.0,0.0,0.0,0.0,99.9,0.0,9.8,30.7,829.3,0.0,0.0,0.0
23196,0.0,0.0,0.0,0.0,99.9,0.0,9.7,30.3,829.4,0.0,0.0,0.0
23256,0.0,0.0,0.0,0.0,99.9,0.0,9.7,30.4,829.3,0.0,0.0,0.0
23316,0.0,0.0,0.0,0.0,99.9,0.0,9.7,30.4,829.3,0.0,0.0,0.0
23376,0.0,0.0,0.0,0.0,99.9,0.0,9.7,30.4,829.4,0.0,0.0,0.0
23436,0.0,0.0,0.0,0.0,99.9,0.0,9.7,30.7,829.4,0.0,0.0,0.0
23496,0.0,0.0,0.0,0.0,99.9,0.0,9.7,30.0,829.4,0.0,0.0,0.0
23556,0.0,0.0,0.0,0.0,99.9,0.0,9.7,30.1,829.4,0.0,0.0,0.0
23616,0.0,0.0,0.0,0.0,99.9,0.0,9.7,31.2,829.4,0.0,0.0,0.0
23676,0.0,0.0,0.0,0.0,99.9,0.0,9.7,32.1,829.4,0.0,0.0,0.0
23736,0.0,0.0,0.0,0.0,99.9,0.0,9.6,31.1,829.4,0.0,0.0,0.0
23796,0.0,0.0,0.0,0.0,99.9,0.0,9.6,29.8,829.4,0.0,0.0,0.0
23856,0.0,0.0,0.0,0.0,99.9,0.0,9.6,30.6,829.4,0.0,0.0,0.0
23916,0.0,0.0,0.0,0.0,99.9,0.0,9.7,30.1,829.4,0.0,0.0,0.0
23976,0.0,0.0,0.0,0.0,99.9,0.0,9.7,29.8,829.4,0.0,0.0,0.0
24036,0.0,0.0,0.0,0.0,99.9,0.0,9.7,29.9,829.4,0.0,0.0,0.0
24096,0.0,0.0,0.0,0.0,99.9,0.0,9.7,30.5,829.4,0.0,0.0,0.0
24156,0.0,0.0,0.0,0.0,99.9,0.0,9.6,31.6,829.4,0.0,0.0,0.0
24216,0.0,0.0,0.0,0.0,99.9,0.0,9.5,31.7,829.4,0.0,0.0,0.0
24276,0.0,0.0,0.0,0.0,99.9,0.0,9.4,32.5,829.3,0.0,0.0,0.0
24336,0.0,0.0,0.0,0.0,99.9,0.0,9.3,33.9,829.4,0.0,0.0,0.0
24396,0.0,0.0,0.0,0.0,99.9,0.0,9.2,34.2,829.4,0.0,0.0,0.0
39141,0.0,0.0,0.0,0.0,99.9,0.0,4.1,98.7,828.2,0.0,0.0,0.0
39201,0.0,0.0,0.0,0.0,99.9,0.0,4.0,95.5,828.2,0.0,0.0,0.0
39261,0.0,0.0,0.0,0.0,99.9,0.0,4.1,84.4,828.2,0.0,0.0,0.0
39321,0.0,0.0,0.0,0.0,99.9,0.0,4.2,79.8,828.2,0.0,0.0,0.0
39381,0.0,0.0,0.0,0.0,99.9,0.0,4.4,81.8,828.1,0.0,0.0,0.0
39441,0.0,0.0,0.0,0.0,99.9,0.0,4.5,82.0,828.2,0.0,0.0,0.0
39501,0.0,0.0,0.0,0.0,99.9,0.0,4.6,82.0,828.2,0.0,0.0,0.0
39561,0.0,0.0,0.0,0.0,99.9,0.0,4.7,82.1,828.2,0.0,0.0,0.0
39621,0.0,0.0,0.0,0.0,99.9,0.0,4.8,78.3,828.2,0.0,0.0,0.0
39681,0.0,0.0,0.0,0.0,99.9,0.0,4.8,77.1,828.2,0.0,0.0,0.0
39741,0.0,0.0,0.0,0.0,99.9,0.0,4.9,75.3,828.2,0.0,0.0,0.0
39801,0.0,0.0,0.0,0.0,99.9,0.0,5.0,75.3,828.2,0.0,0.0,0.0
39861,0.0,0.0,0.0,0.0,99.9,0.0,5.0,73.9,828.1,0.0,0.0,0.0
39921,0.0,0.0,0.0,0.0,99.9,0.0,5.1,71.5,828.1,0.0,0.0,0.0
39981,0.0,0.0,0.0,0.0,99.9,0.0,5.1,72.2,828.2,0.0,0.0,0.0
47365,0.0,0.0,0.0,0.0,99.9,0.0,4.1,88.7,828.9,0.0,0.0,0.0
47425,0.0,0.0,0.0,0.0,99.9,0.0,4.1,86.2,828.9,0.0,0.0,0.0
47485,0.0,0.0,0.0,0.0,99.9,0.0,4.3,88.0,828.9,0.0,0.0,0.0
47545,0.0,0.0,0.0,0.0,99.9,0.0,4.3,89.3,828.9,0.0,0.0,0.0
47605,0.0,0.0,0.0,0.0,99.9,0.0,4.3,90.4,828.9,0.0,0.0,0.0
47665,0.0,0.0,0.0,0.0,99.9,0.0,4.3,92.2,828.9,0.0,0.0,0.0
47725,0.0,0.0,0.0,0.0,99.9,0.0,4.3,92.6,829.0,0.0,0.0,0.0
47785,0.0,0.0,0.0,0.0,99.9,0.0,4.2,92.2,828.9,0.0,0.0,0.0
47845,0.0,0.0,0.0,0.0,99.9,0.0,4.1,93.0,829.0,0.0,0.0,0.0
47905,0.0,0.0,0.0,0.0,99.9,0.0,4.1,93.4,828.9,0.0,0.0,0.0
47965,0.0,0.0,0.0,0.0,99.9,0.0,4.2,93.2,828.9,0.0,0.0,0.0
48025,0.0,0.0,0.0,0.0,99.9,0.0,4.3,91.4,829.0,0.0,0.0,0.0
