t,Dn,Dm,Dx,Sn,Sm,Sx,Ta,Ua,Pa,Rc,Rd,Ri
0,120.0,124.0,129.0,1.6,1.8,1.9,10.9,31.6,912.2,20.46,27440.0,0.0
60,127.0,142.0,164.0,1.0,1.3,1.7,10.8,31.8,912.2,20.46,27440.0,0.0
120,121.0,163.0,200.0,0.2,0.5,0.8,10.9,31.6,912.2,20.46,27440.0,0.0
180,200.0,217.0,224.0,0.2,0.4,0.5,11.1,31.4,912.2,20.46,27440.0,0.0
240,106.0,117.0,127.0,0.6,0.9,1.5,11.2,31.2,912.2,20.46,27440.0,0.0
300,123.0,136.0,146.0,0.9,1.0,1.2,11.2,31.1,912.2,20.46,27440.0,0.0
361,171.0,186.0,196.0,0.2,0.3,0.5,11.3,30.9,912.2,20.46,27440.0,0.0
420,117.0,185.0,254.0,0.0,0.1,0.2,11.4,30.7,912.2,20.46,27440.0,0.0
480,162.0,167.0,176.0,0.3,0.4,0.5,11.4,30.7,912.2,20.46,27440.0,0.0
540,110.0,130.0,151.0,0.4,0.7,1.1,11.4,30.6,912.2,20.46,27440.0,0.0
600,117.0,124.0,129.0,1.1,1.3,1.5,11.3,30.7,912.2,20.46,27440.0,0.0
660,115.0,119.0,123.0,1.3,1.5,1.8,11.2,30.8,912.2,20.46,27440.0,0.0
720,122.0,124.0,128.0,1.4,1.5,1.6,10.9,31.1,912.2,20.46,27440.0,0.0
780,102.0,110.0,114.0,1.1,1.3,1.5,10.6,31.5,912.2,20.46,27440.0,0.0
840,114.0,117.0,123.0,1.4,1.6,1.8,10.3,32.0,912.2,20.46,27440.0,0.0
900,124.0,127.0,129.0,2.0,2.1,2.3,10.1,32.2,912.1,20.46,27440.0,0.0
960,119.0,122.0,126.0,2.0,2.3,2.6,9.9,32.5,912.2,20.46,27440.0,0.0
1020,124.0,128.0,131.0,2.3,2.6,2.8,9.7,32.8,912.1,20.46,27440.0,0.0
1080,111.0,118.0,124.0,1.7,2.1,2.4,9.6,33.0,912.1,20.46,27440.0,0.0
1140,111.0,113.0,116.0,1.6,1.7,2.0,9.4,33.5,912.1,20.46,27440.0,0.0
1204,127.0,132.0,134.0,2.0,2.1,2.3,9.3,33.8,912.1,20.46,27440.0,0.0
1260,132.0,139.0,146.0,0.9,1.2,1.6,9.4,33.8,912.1,20.46,27440.0,0.0
1320,127.0,141.0,151.0,0.8,1.0,1.2,9.5,33.6,912.1,20.46,27440.0,0.0
1380,123.0,125.0,127.0,2.0,2.1,2.3,9.7,33.3,912.1,20.46,27440.0,0.0
1440,110.0,113.0,117.0,2.2,2.6,2.9,9.7,33.1,912.1,20.46,27440.0,0.0
1500,115.0,121.0,127.0,1.9,2.2,2.6,9.6,33.3,912.1,20.46,27440.0,0.0
1560,134.0,143.0,154.0,0.7,0.9,1.1,9.5,33.6,912.1,20.46,27440.0,0.0
1621,126.0,131.0,135.0,1.6,1.7,1.9,9.5,33.7,912.1,20.46,27440.0,0.0
1680,120.0,121.0,123.0,1.5,1.7,2.1,9.7,33.3,912.1,20.46,27440.0,0.0
1740,109.0,114.0,120.0,1.5,1.7,1.9,9.7,33.1,912.1,20.46,27440.0,0.0
1800,128.0,134.0,141.0,1.8,1.9,2.1,9.6,33.3,912.0,20.46,27440.0,0.0
1860,140.0,152.0,171.0,0.8,1.0,1.3,9.5,33.5,912.0,20.46,27440.0,0.0
1920,121.0,124.0,129.0,1.3,1.5,1.6,9.6,33.6,912.0,20.46,27440.0,0.0
1980,132.0,135.0,138.0,2.1,2.2,2.3,9.6,33.5,912.0,20.46,27440.0,0.0
2040,129.0,141.0,149.0,1.1,1.3,1.6,9.5,33.7,912.0,20.46,27440.0,0.0
2100,133.0,141.0,154.0,0.8,1.0,1.2,9.5,33.7,912.0,20.46,27440.0,0.0
2160,118.0,121.0,124.0,1.5,1.8,2.1,9.6,33.6,912.0,20.46,27440.0,0.0
2220,117.0,121.0,125.0,1.9,2.1,2.3,9.5,33.5,912.0,20.46,27440.0,0.0
2280,101.0,113.0,119.0,1.5,1.8,2.0,9.4,33.7,912.0,20.46,27440.0,0.0
2340,125.0,128.0,132.0,1.6,1.8,2.0,9.2,34.0,912.0,20.46,27440.0,0.0
2400,125.0,132.0,141.0,1.1,1.4,1.6,9.2,34.0,911.9,20.46,27440.0,0.0
2460,121.0,127.0,130.0,2.0,2.1,2.2,9.2,33.9,911.9,20.46,27440.0,0.0
2520,128.0,131.0,133.0,2.0,2.1,2.2,9.2,34.2,911.9,20.46,27440.0,0.0
