t,Dn,Dm,Dx,Sn,Sm,Sx,Ta,Ua,Pa,Rc,Rd,Ri
0,235.0,240.0,248.0,2.8,3.2,3.8,25.2,34.4,951.9,11.07,21410.0,0.0
60,218.0,223.0,228.0,3.3,3.5,3.8,25.1,37.7,951.9,11.07,21410.0,0.0
120,219.0,221.0,227.0,3.4,3.7,4.0,25.1,37.2,951.8,11.07,21410.0,0.0
180,216.0,221.0,227.0,3.1,3.5,3.8,25.1,37.4,951.8,11.07,21410.0,0.0
240,215.0,217.0,218.0,3.8,4.0,4.1,25.2,37.1,951.8,11.07,21410.0,0.0
300,212.0,215.0,219.0,3.6,3.8,4.2,25.2,37.0,951.8,11.07,21410.0,0.0
360,204.0,209.0,214.0,3.4,3.8,4.2,25.1,36.8,951.8,11.07,21410.0,0.0
420,206.0,212.0,217.0,3.3,3.9,4.3,25.1,36.2,951.8,11.07,21410.0,0.0
480,211.0,213.0,215.0,3.9,4.1,4.3,25.1,37.4,951.8,11.07,21410.0,0.0
540,209.0,215.0,219.0,3.8,3.9,4.1,25.1,37.3,951.8,11.07,21410.0,0.0
600,210.0,212.0,215.0,4.1,4.3,4.7,25.1,37.1,951.8,11.07,21410.0,0.0
660,210.0,211.0,213.0,4.0,4.1,4.2,25.1,36.2,951.8,11.07,21410.0,0.0
720,214.0,217.0,221.0,3.0,3.3,3.8,25.1,35.1,951.7,11.07,21410.0,0.0
780,212.0,217.0,220.0,3.5,3.8,4.0,25.1,35.0,951.8,11.07,21410.0,0.0
840,214.0,215.0,216.0,3.8,4.0,4.2,25.1,35.9,951.8,11.07,21410.0,0.0
900,213.0,216.0,220.0,3.8,4.1,4.3,25.1,36.2,951.7,11.07,21410.0,0.0
960,217.0,218.0,220.0,4.1,4.1,4.2,25.1,36.0,951.7,11.07,21410.0,0.0
1020,213.0,215.0,216.0,3.9,4.0,4.0,25.1,36.5,951.7,11.07,21410.0,0.0
1080,210.0,212.0,213.0,3.8,4.0,4.2,25.2,35.9,951.6,11.07,21410.0,0.0
1140,214.0,214.0,215.0,4.0,4.1,4.2,25.2,36.5,951.7,11.07,21410.0,0.0
1200,216.0,217.0,218.0,4.2,4.3,4.3,25.2,34.8,951.7,11.07,21410.0,0.0
1260,217.0,219.0,220.0,4.0,4.2,4.3,25.2,34.9,951.7,11.07,21410.0,0.0
1320,218.0,219.0,220.0,4.2,4.3,4.3,25.2,35.0,951.7,11.07,21410.0,0.0
1380,216.0,218.0,219.0,4.3,4.4,4.4,25.2,35.3,951.6,11.07,21410.0,0.0
1440,218.0,219.0,220.0,4.2,4.2,4.3,25.2,34.7,951.6,11.07,21410.0,0.0
1500,217.0,220.0,223.0,4.0,4.1,4.3,25.2,35.5,951.6,11.07,21410.0,0.0
1560,219.0,220.0,221.0,3.9,4.0,4.1,25.2,36.0,951.6,11.07,21410.0,0.0
1620,218.0,220.0,222.0,3.9,4.0,4.1,25.2,36.6,951.6,11.07,21410.0,0.0
1680,222.0,222.0,223.0,4.0,4.1,4.1,25.2,36.3,951.6,11.07,21410.0,0.0
1740,218.0,220.0,222.0,4.1,4.2,4.3,25.2,35.2,951.6,11.07,21410.0,0.0
1800,223.0,224.0,226.0,4.1,4.2,4.3,25.2,35.3,951.6,11.07,21410.0,0.0
1860,223.0,226.0,227.0,4.0,4.2,4.3,25.2,35.4,951.6,11.07,21410.0,0.0
1920,223.0,224.0,225.0,4.3,4.3,4.4,25.2,35.8,951.6,11.07,21410.0,0.0
1980,223.0,225.0,226.0,4.5,4.6,4.6,25.2,35.9,951.7,11.07,21410.0,0.0
2040,221.0,222.0,222.0,4.3,4.4,4.5,25.2,36.9,951.6,11.07,21410.0,0.0
2100,219.0,220.0,221.0,4.3,4.4,4.5,25.2,37.0,951.6,11.07,21410.0,0.0
2160,219.0,220.0,221.0,4.4,4.4,4.5,25.2,37.0,951.6,11.07,21410.0,0.0
2220,220.0,221.0,223.0,4.3,4.4,4.5,25.3,36.4,951.6,11.07,21410.0,0.0
2280,215.0,217.0,219.0,4.3,4.3,4.4,25.3,36.2,951.6,11.07,21410.0,0.0
2340,212.0,214.0,215.0,4.1,4.3,4.4,25.3,35.1,951.5,11.07,21410.0,0.0
2400,216.0,219.0,221.0,4.3,4.5,4.6,25.3,35.4,951.5,11.07,21410.0,0.0
2460,216.0,217.0,218.0,4.6,4.7,4.7,25.3,35.5,951.5,11.07,21410.0,0.0
2520,216.0,217.0,219.0,4.7,4.8,4.8,25.3,35.5,951.5,11.07,21410.0,0.0
2580,213.0,215.0,216.0,4.7,4.9,5.0,25.3,35.6,951.6,11.07,21410.0,0.0
2640,212.0,213.0,215.0,4.5,4.7,4.8,25.3,35.3,951.5,11.07,21410.0,0.0
2700,207.0,210.0,213.0,4.1,4.5,4.7,25.2,34.8,951.5,11.07,21410.0,0.0
2760,205.0,209.0,211.0,4.0,4.1,4.3,25.0,33.8,951.5,11.07,21410.0,0.0
2820,205.0,207.0,210.0,4.0,4.2,4.5,24.8,34.2,951.5,11.07,21410.0,0.0
