year,month,day,hour,Dn,Dm,Dx,Sn,Sm,Sx,Ta,Ua,Pa,Rc,Rd,Ri
2021.0,1.0,1.0,0.0,15.37,22.07,44.13,6.66,9.56,10.94,12.11,29.33,944.73,51.3,27690.0,0.0
2021.0,1.0,1.0,1.0,15.58,47.02,136.77,8.61,11.31,13.11,12.1,28.47,944.7,51.3,27690.0,0.0
2021.0,1.0,1.0,2.0,29.23,101.62,243.27,8.53,10.79,12.5,11.31,29.54,945.09,51.3,27690.0,0.0
2021.0,1.0,1.0,3.0,196.63,264.28,325.45,8.15,9.51,10.66,10.17,31.97,945.38,51.3,27690.0,0.0
2021.0,1.0,1.0,4.0,52.75,82.02,198.87,9.89,11.74,13.31,10.52,30.51,945.36,51.3,27690.0,0.0
2021.0,1.0,1.0,5.0,11.78,19.07,108.45,10.25,14.24,16.05,10.75,29.17,945.39,51.3,27690.0,0.0
2021.0,1.0,1.0,6.0,14.12,81.12,307.1,9.92,13.38,15.83,10.19,30.08,946.04,51.3,27690.0,0.0
2021.0,1.0,1.0,7.0,12.9,90.65,215.53,8.73,12.29,14.64,10.02,30.26,946.95,51.3,27690.0,0.0
2021.0,1.0,1.0,8.0,30.25,134.55,253.57,8.45,10.85,12.84,10.81,28.62,948.23,51.3,27690.0,0.0
2021.0,1.0,1.0,9.0,19.55,30.17,193.68,6.22,9.97,12.16,12.05,26.41,948.94,51.3,27690.0,0.0
2021.0,1.0,1.0,10.0,30.97,129.65,273.32,8.12,11.12,13.3,13.2,24.82,948.86,51.3,27690.0,0.0
2021.0,1.0,1.0,11.0,45.28,195.58,310.08,8.52,11.46,13.66,13.89,23.16,948.39,51.3,27690.0,0.0
2021.0,1.0,1.0,12.0,102.85,251.43,300.02,9.25,12.12,14.41,14.18,22.78,947.65,51.3,27690.0,0.0
2021.0,1.0,1.0,13.0,66.17,193.43,265.85,6.34,8.94,11.28,14.54,22.56,947.9,51.3,27690.0,0.0
2021.0,1.0,1.0,14.0,129.93,245.87,292.37,7.28,9.22,10.75,14.71,22.82,948.0,51.3,27690.0,0.0
2021.0,1.0,1.0,15.0,126.82,284.82,339.03,6.57,7.97,9.19,14.76,23.08,948.47,51.3,27690.0,0.0
2021.0,1.0,1.0,16.0,249.22,331.08,309.98,6.57,7.32,8.01,14.44,23.74,948.88,51.3,27690.0,0.0
2021.0,1.0,1.0,17.0,56.82,165.93,249.0,5.86,6.61,7.21,14.38,23.78,949.31,51.3,27690.0,0.0
2021.0,1.0,1.0,18.0,13.92,54.28,258.35,3.54,4.27,4.98,14.41,23.6,949.85,51.3,27690.0,0.0
2021.0,1.0,1.0,19.0,51.58,141.53,267.38,1.59,1.96,2.33,14.52,22.13,950.25,51.3,27690.0,0.0
2021.0,1.0,1.0,20.0,76.1,102.35,162.85,0.79,1.0,1.23,14.5,21.74,950.44,51.3,27690.0,0.0
2021.0,1.0,1.0,21.0,219.42,227.48,236.27,1.42,1.58,1.74,14.72,20.99,951.05,51.3,27690.0,0.0
2021.0,1.0,1.0,22.0,165.37,172.72,181.13,1.47,1.67,1.86,14.49,21.99,951.51,51.3,27690.0,0.0
2021.0,1.0,1.0,23.0,68.05,70.83,73.69,2.12,2.2,2.31,13.98,23.72,951.44,51.3,27690.0,0.0
2021.0,1.0,2.0,0.0,49.97,54.37,58.93,2.14,2.29,2.43,13.6,24.78,951.44,51.3,27690.0,0.0
2021.0,1.0,2.0,1.0,87.37,90.4,93.48,2.97,3.12,3.25,12.84,26.69,951.51,51.3,27690.0,0.0
2021.0,1.0,2.0,2.0,77.13,79.3,81.52,4.21,4.36,4.49,11.82,29.3,951.22,51.3,27690.0,0.0
2021.0,1.0,2.0,3.0,61.95,69.17,76.88,4.79,5.38,5.89,10.38,37.6,950.9,51.3,27690.0,0.0
2021.0,1.0,2.0,4.0,55.58,62.97,70.18,3.71,4.12,4.56,10.89,35.29,951.47,51.3,27690.0,0.0
2021.0,1.0,2.0,5.0,56.4,60.85,65.7,3.38,3.64,3.89,11.02,34.5,952.37,51.3,27690.0,0.0
2021.0,1.0,2.0,6.0,78.68,84.88,90.75,2.97,3.23,3.5,10.82,36.84,952.75,51.3,27690.0,0.0
2021.0,1.0,2.0,7.0,63.63,68.58,73.6,3.52,3.76,3.98,10.14,35.77,952.91,51.3,27690.0,0.0
2021.0,1.0,2.0,8.0,60.02,68.83,77.85,3.38,3.83,4.26,9.82,46.11,953.23,51.3,27690.0,0.0
2021.0,1.0,2.0,9.0,72.63,83.45,100.4,2.33,2.99,3.57,11.71,38.51,953.62,51.3,27690.0,0.0
2021.0,1.0,2.0,10.0,90.47,100.48,114.93,2.51,3.37,4.06,12.47,38.65,953.34,51.3,27690.0,0.0
2021.0,1.0,2.0,11.0,106.43,118.83,179.35,1.3,2.21,3.13,13.25,52.23,952.58,51.3,27690.0,0.0
2021.0,1.0,2.0,12.0,165.45,196.95,257.3,0.89,1.8,2.63,13.0,60.65,951.89,51.3,27690.0,0.0
2021.0,1.0,2.0,13.0,186.43,197.98,216.58,1.84,2.49,2.99,12.36,58.34,951.59,51.3,27690.0,0.0
2021.0,1.0,2.0,14.0,180.88,194.15,215.38,1.58,2.08,2.47,11.85,59.84,951.64,51.3,27690.0,0.0
2021.0,1.0,2.0,15.0,188.9,197.2,207.18,1.69,1.92,2.15,11.38,65.25,951.57,51.3,27690.0,0.0
2021.0,1.0,2.0,16.0,215.87,218.75,221.68,2.12,2.22,2.32,10.93,62.95,951.62,51.3,27690.0,0.0
2021.0,1.0,2.0,17.0,264.28,267.83,271.2,1.63,1.72,1.81,12.32,38.41,951.63,51.3,27690.0,0.0
2021.0,1.0,2.0,18.0,301.33,304.58,307.58,3.35,3.54,3.71,11.85,52.82,951.56,51.3,27690.0,0.0
2021.0,1.0,2.0,19.0,299.2,301.93,304.93,3.08,3.2,3.34,11.56,57.47,951.4,51.3,27690.0,0.0
2021.0,1.0,2.0,20.0,299.37,309.0,314.03,2.94,3.25,3.57,11.64,48.03,951.47,51.3,27690.0,0.0
2021.0,1.0,2.0,21.0,253.68,262.1,275.88,2.23,2.35,2.47,11.83,36.03,951.62,51.3,27690.0,0.0
2021.0,1.0,2.0,22.0,250.38,258.98,273.62,1.74,1.84,1.94,11.54,49.54,951.87,51.3,27690.0,0.0
2021.0,1.0,2.0,23.0,156.6,176.43,184.25,0.63,0.73,0.84,11.45,45.81,951.67,51.3,27690.0,0.0
2021.0,1.0,3.0,0.0,169.17,171.87,174.78,1.66,1.74,1.83,10.78,58.58,951.3,51.3,27690.0,0.0
2021.0,1.0,3.0,1.0,191.8,193.75,195.88,1.88,1.95,2.01,10.66,45.06,951.22,51.3,27690.0,0.0
2021.0,1.0,3.0,2.0,198.28,201.25,204.12,2.24,2.36,2.45,9.86,54.36,951.07,51.3,27690.0,0.0
2021.0,1.0,3.0,3.0,225.15,227.37,229.77,1.47,1.51,1.57,9.88,59.89,951.08,51.3,27690.0,0.0
2021.0,1.0,3.0,4.0,157.63,162.83,169.03,1.48,1.64,1.78,8.92,71.66,950.73,51.3,27690.0,0.0
2021.0,1.0,3.0,5.0,158.33,166.72,176.27,1.8,2.03,2.28,7.71,90.89,950.94,51.3,27690.0,0.0
2021.0,1.0,3.0,6.0,196.02,200.3,204.93,1.71,1.84,1.94,7.61,89.27,951.32,51.3,27690.0,0.0
2021.0,1.0,3.0,7.0,179.7,192.95,206.72,1.89,2.07,2.26,7.89,90.74,951.38,51.3,27690.0,0.0
2021.0,1.0,3.0,8.0,94.73,110.55,143.47,0.9,1.23,1.5,7.98,91.18,951.81,51.3,27690.0,0.0
2021.0,1.0,3.0,9.0,102.21,137.15,174.39,0.97,1.48,1.98,9.45,82.03,951.9,51.3,27690.0,0.0
2021.0,1.0,3.0,10.0,176.28,195.05,229.48,1.61,2.38,2.96,10.31,78.24,951.79,51.3,27690.0,0.0
2021.0,1.0,3.0,11.0,166.63,190.62,238.8,1.56,2.56,3.38,10.6,78.97,950.8,51.3,27690.0,0.0
2021.0,1.0,3.0,12.0,111.9,147.57,218.67,0.8,1.65,2.62,11.81,75.9,949.83,51.3,27690.0,0.0
2021.0,1.0,3.0,13.0,174.37,195.82,235.68,1.49,2.32,3.03,11.06,81.7,949.56,51.3,27690.0,0.0
2021.0,1.0,3.0,14.0,179.23,197.53,237.82,1.6,2.49,3.12,10.48,85.96,949.61,51.3,27690.0,0.0
2021.0,1.0,3.0,15.0,170.42,198.63,234.03,1.07,1.68,2.16,10.25,87.3,949.93,51.3,27690.0,0.0
2021.0,1.0,3.0,16.0,98.53,113.5,129.0,1.1,1.3,1.47,10.91,77.35,949.85,51.3,27690.0,0.0
2021.0,1.0,3.0,17.0,79.62,82.48,85.5,1.81,1.88,1.96,11.07,71.25,949.91,51.3,27690.0,0.0
2021.0,1.0,3.0,18.0,86.3,89.02,92.02,1.37,1.45,1.52,11.25,70.17,950.01,51.3,27690.0,0.0
2021.0,1.0,3.0,19.0,267.98,278.5,283.37,2.76,2.99,3.21,10.61,76.66,950.27,51.3,27690.0,0.0
2021.0,1.0,3.0,20.0,65.12,86.27,119.02,2.45,2.74,2.99,11.07,70.9,950.11,51.3,27690.0,0.0
2021.0,1.0,3.0,21.0,103.27,130.0,156.3,1.17,1.27,1.38,12.29,60.4,950.23,51.3,27690.0,0.0
2021.0,1.0,3.0,22.0,72.33,86.57,136.8,1.07,1.17,1.29,13.25,51.93,950.3,51.3,27690.0,0.0
2021.0,1.0,3.0,23.0,285.23,293.68,302.02,1.11,1.23,1.36,13.15,54.86,950.28,51.3,27690.0,0.0
2021.0,1.0,4.0,0.0,247.42,251.23,254.92,1.02,1.09,1.16,13.14,54.76,950.21,51.3,27690.0,0.0
2021.0,1.0,4.0,1.0,244.07,248.63,252.42,1.28,1.36,1.43,12.5,58.14,950.0,51.3,27690.0,0.0
2021.0,1.0,4.0,2.0,267.35,268.52,269.75,2.48,2.53,2.58,11.92,61.15,949.96,51.3,27690.0,0.0
2021.0,1.0,4.0,3.0,284.08,288.1,292.05,3.41,3.62,3.82,11.49,62.79,949.83,51.3,27690.0,0.0
2021.0,1.0,4.0,4.0,287.4,291.63,295.77,3.86,4.08,4.31,10.48,66.56,949.86,51.3,27690.0,0.0
2021.0,1.0,4.0,5.0,295.37,298.97,302.58,4.57,4.85,5.1,10.88,63.99,950.23,51.3,27690.0,0.0
2021.0,1.0,4.0,6.0,301.18,303.93,306.67,3.68,3.86,4.02,11.02,63.24,950.57,51.3,27690.0,0.0
2021.0,1.0,4.0,7.0,231.77,237.98,244.23,1.06,1.16,1.26,12.69,50.43,950.84,51.3,27690.0,0.0
2021.0,1.0,4.0,8.0,62.47,69.12,107.32,1.17,1.51,1.86,12.46,59.81,951.1,51.3,27690.0,0.0
2021.0,1.0,4.0,9.0,148.13,165.8,223.12,0.5,0.85,1.26,12.84,67.24,951.23,51.3,27690.0,0.0
2021.0,1.0,4.0,10.0,116.13,141.93,241.58,0.24,0.68,1.3,14.25,68.4,950.79,51.3,27690.0,0.0
2021.0,1.0,4.0,11.0,171.27,189.45,239.22,0.99,1.64,2.21,13.27,73.14,950.09,51.3,27690.0,0.0
2021.0,1.0,4.0,12.0,185.12,204.32,230.7,1.48,2.23,2.81,12.8,75.39,949.34,51.3,27690.0,0.0
2021.0,1.0,4.0,13.0,175.98,198.65,237.1,1.25,1.79,2.28,13.09,76.61,949.01,51.3,27690.0,0.0
2021.0,1.0,4.0,14.0,190.28,206.8,227.17,1.57,2.26,2.82,13.42,74.43,948.95,51.3,27690.0,0.0
2021.0,1.0,4.0,15.0,195.02,232.0,249.3,1.69,2.34,2.96,13.69,71.7,949.26,51.3,27690.0,0.0
2021.0,1.0,4.0,16.0,231.97,261.3,289.88,2.07,2.44,2.74,13.64,61.78,949.28,51.3,27690.0,0.0
2021.0,1.0,4.0,17.0,213.33,234.7,250.37,1.77,1.91,2.05,13.72,60.57,949.31,51.3,27690.0,0.0
2021.0,1.0,4.0,18.0,45.0,49.6,54.3,1.19,1.27,1.36,14.03,60.46,949.31,51.3,27690.0,0.0
2021.0,1.0,4.0,19.0,250.62,253.83,257.22,1.65,1.75,1.85,14.05,58.61,949.5,51.3,27690.0,0.0
2021.0,1.0,4.0,20.0,305.82,309.62,314.08,4.2,4.48,4.76,13.77,53.8,949.87,51.3,27690.0,0.0
2021.0,1.0,4.0,21.0,225.6,337.6,310.64,5.7,6.48,7.11,14.92,51.24,949.66,51.3,27690.0,0.0
