t,Dn,Dm,Dx,Sn,Sm,Sx,Ta,Ua,Pa,Rc,Rd,Ri
0,62.0,69.0,78.0,5.7,6.4,7.2,7.7,91.0,943.1,97.01,4950.0,0.0
60,61.0,69.0,77.0,5.7,6.2,7.2,7.7,91.4,943.1,97.01,4950.0,0.0
120,63.0,74.0,85.0,5.8,6.2,6.8,7.7,91.8,943.1,97.01,4950.0,0.0
180,66.0,74.0,83.0,5.0,5.5,6.0,7.7,92.1,943.0,97.01,4950.0,0.0
240,63.0,77.0,85.0,5.0,5.7,6.3,7.7,91.8,942.9,97.01,4950.0,0.0
300,79.0,83.0,88.0,5.2,6.3,7.6,7.6,92.1,942.9,97.01,4950.0,0.0
360,70.0,80.0,91.0,4.5,5.4,6.5,7.7,92.4,942.8,97.01,4950.0,0.0
420,60.0,65.0,67.0,6.9,7.1,7.7,7.6,92.5,942.7,97.01,4950.0,0.0
480,66.0,70.0,73.0,7.5,7.8,8.1,7.7,92.7,942.7,97.01,4950.0,0.0
540,69.0,79.0,88.0,5.8,7.1,8.3,7.8,92.5,942.8,97.01,4950.0,0.0
600,63.0,70.0,75.0,6.7,7.4,7.8,7.7,92.6,942.7,97.01,4950.0,0.0
660,61.0,65.0,70.0,7.7,8.3,9.2,7.7,92.9,942.6,97.01,4950.0,0.0
720,72.0,78.0,89.0,5.8,6.3,6.7,7.8,93.2,942.7,97.01,4950.0,0.0
780,63.0,73.0,80.0,5.4,6.3,6.7,7.8,93.3,942.7,97.01,4950.0,0.0
840,71.0,77.0,86.0,5.8,6.4,7.4,7.7,93.4,942.8,97.01,4950.0,0.0
900,78.0,86.0,91.0,7.1,7.9,8.2,7.8,93.6,942.8,97.01,4950.0,0.0
960,60.0,68.0,78.0,5.0,5.7,6.0,7.8,93.2,943.0,97.01,4950.0,0.0
1020,70.0,77.0,82.0,5.8,6.8,7.3,7.8,93.6,942.9,97.01,4950.0,0.0
1080,67.0,86.0,93.0,4.7,5.5,6.7,7.8,93.7,943.0,97.01,4950.0,0.0
1140,62.0,82.0,92.0,4.9,5.8,7.0,7.8,93.7,942.9,97.01,4950.0,0.0
1200,72.0,76.0,80.0,5.2,5.7,6.1,7.8,93.8,942.9,97.01,4950.0,0.0
1260,63.0,74.0,85.0,6.6,7.3,8.3,7.9,93.4,942.9,97.01,4950.0,0.0
1320,56.0,77.0,87.0,4.2,5.0,6.2,7.9,93.3,942.9,97.01,4950.0,0.0
1380,83.0,85.0,88.0,6.7,6.9,7.1,7.9,93.5,942.8,97.01,4950.0,0.0
1440,75.0,83.0,87.0,6.3,7.0,7.6,8.0,93.5,942.8,97.01,4950.0,0.0
1500,79.0,83.0,87.0,6.7,6.9,7.1,8.0,93.4,942.8,97.01,4950.0,0.0
1560,66.0,75.0,84.0,5.1,5.7,6.2,7.9,93.6,942.9,97.01,4950.0,0.0
1620,59.0,67.0,73.0,4.1,5.0,5.8,7.9,93.4,943.0,97.01,4950.0,0.0
1680,57.0,68.0,75.0,4.1,5.0,6.1,8.0,93.5,943.1,97.01,4950.0,0.0
1740,76.0,81.0,86.0,6.5,7.1,7.6,7.9,93.7,943.0,97.01,4950.0,0.0
1800,66.0,75.0,80.0,6.3,6.8,7.4,8.0,93.6,943.1,97.01,4950.0,0.0
1860,53.0,60.0,67.0,5.0,5.6,6.1,8.0,93.6,943.2,97.01,4950.0,0.0
1920,65.0,73.0,77.0,5.9,6.2,6.4,8.0,93.7,943.3,97.01,4950.0,0.0
1980,59.0,66.0,77.0,5.6,6.2,6.6,8.0,93.5,943.4,97.01,4950.0,0.0
2040,72.0,80.0,86.0,6.1,6.5,6.8,8.0,93.7,943.4,97.01,4950.0,0.0
2100,59.0,63.0,71.0,5.5,6.2,7.0,8.0,93.9,943.4,97.01,4950.0,0.0
2160,60.0,67.0,76.0,4.4,5.3,5.9,8.0,93.8,943.5,97.01,4950.0,0.0
2220,70.0,76.0,83.0,4.2,4.8,5.6,8.1,94.0,943.7,97.01,4950.0,0.0
2280,62.0,64.0,66.0,5.2,6.0,6.4,8.1,93.5,943.7,97.01,4950.0,0.0
2340,71.0,80.0,92.0,4.9,5.4,5.7,8.1,93.7,943.6,97.01,4950.0,0.0
2400,59.0,63.0,66.0,5.1,5.5,5.8,8.1,93.7,943.6,97.01,4950.0,0.0
2460,67.0,75.0,86.0,5.1,5.7,6.0,8.1,93.6,943.6,97.01,4950.0,0.0
2520,74.0,84.0,91.0,4.6,5.3,6.0,8.0,93.5,943.5,97.01,4950.0,0.0
2580,94.0,98.0,104.0,4.3,5.4,6.1,8.0,93.6,943.5,97.01,4950.0,0.0
2640,49.0,64.0,78.0,3.7,4.5,5.2,8.0,93.6,943.5,97.01,4950.0,0.0
2700,49.0,55.0,61.0,4.3,4.9,5.6,8.1,93.4,943.6,97.01,4950.0,0.0
2760,41.0,54.0,67.0,4.3,4.6,5.0,8.1,93.6,943.7,97.01,4950.0,0.0
2820,46.0,54.0,61.0,2.4,4.0,4.7,8.0,93.6,943.8,97.01,4950.0,0.0
2880,55.0,63.0,74.0,4.4,5.0,5.3,8.1,93.6,943.8,97.01,4950.0,0.0
2940,61.0,64.0,69.0,4.7,4.9,5.1,8.1,93.4,943.8,97.01,4950.0,0.0
3000,49.0,56.0,63.0,4.2,4.9,5.4,8.1,93.3,943.8,97.01,4950.0,0.0
3060,75.0,78.0,84.0,4.2,5.1,5.6,8.1,93.5,943.7,97.01,4950.0,0.0
3120,78.0,87.0,105.0,4.2,4.6,4.9,8.1,93.3,943.7,97.01,4950.0,0.0
3180,61.0,70.0,85.0,2.8,3.5,4.2,8.0,93.5,943.6,97.01,4950.0,0.0
3240,61.0,71.0,78.0,3.8,4.3,5.2,8.1,93.3,943.6,97.01,4950.0,0.0
3300,63.0,65.0,68.0,5.1,5.3,5.6,8.1,93.3,943.6,97.01,4950.0,0.0
3360,56.0,66.0,81.0,3.5,4.5,5.0,8.1,93.6,943.6,97.01,4950.0,0.0
3420,52.0,65.0,73.0,4.1,4.7,5.0,8.1,93.6,943.6,97.01,4950.0,0.0
3480,61.0,71.0,79.0,5.0,5.5,6.0,8.1,93.6,943.6,97.01,4950.0,0.0
3540,45.0,61.0,88.0,3.6,4.4,4.9,8.1,93.5,943.6,97.01,4950.0,0.0
3600,79.0,83.0,86.0,5.6,6.2,6.8,8.1,93.2,943.5,97.01,4950.0,0.0
3660,64.0,70.0,75.0,5.3,5.6,5.8,8.1,93.5,943.4,97.01,4950.0,0.0
3720,69.0,74.0,82.0,4.7,5.2,5.5,8.1,93.3,943.3,97.01,4950.0,0.0
3780,68.0,72.0,75.0,5.5,5.7,6.2,8.1,93.6,943.3,97.01,4950.0,0.0
3840,58.0,66.0,73.0,4.9,5.5,6.0,8.1,93.6,943.3,97.01,4950.0,0.0
3900,59.0,64.0,71.0,5.4,5.8,6.2,8.1,93.7,943.4,97.01,4950.0,0.0
3960,51.0,59.0,63.0,5.3,6.0,6.7,8.1,93.7,943.4,97.01,4950.0,0.0
4020,59.0,68.0,77.0,4.8,5.1,5.5,8.2,93.5,943.4,97.01,4950.0,0.0
4080,53.0,61.0,74.0,4.4,5.0,5.9,8.1,93.4,943.3,97.01,4950.0,0.0
4140,55.0,71.0,85.0,3.7,4.2,5.0,8.1,93.7,943.2,97.01,4950.0,0.0
4200,53.0,68.0,84.0,3.2,3.8,4.7,8.1,93.6,943.2,97.01,4950.0,0.0
4260,60.0,76.0,81.0,4.3,4.8,5.5,8.0,93.9,943.2,97.01,4950.0,0.0
4320,66.0,73.0,80.0,4.4,4.7,5.3,8.1,93.4,943.2,97.01,4950.0,0.0
4380,63.0,69.0,77.0,3.6,4.1,4.4,8.1,93.6,943.1,97.01,4950.0,0.0
4440,74.0,79.0,87.0,4.5,4.8,5.0,8.1,93.6,943.1,97.01,4950.0,0.0
4500,74.0,81.0,88.0,4.4,4.8,5.2,8.3,93.7,943.1,97.01,4950.0,0.0
4560,70.0,74.0,84.0,3.9,4.2,4.6,8.2,93.6,943.2,97.01,4950.0,0.0
4620,60.0,66.0,74.0,3.8,4.5,5.3,8.2,93.6,943.2,97.01,4950.0,0.0
4680,61.0,65.0,70.0,4.4,4.7,5.1,8.2,93.5,943.2,97.01,4950.0,0.0
4740,75.0,84.0,91.0,3.1,3.7,4.4,8.2,93.5,943.2,97.01,4950.0,0.0
4800,65.0,73.0,79.0,3.5,4.1,4.6,8.1,93.4,943.1,97.01,4950.0,0.0
4860,52.0,57.0,63.0,4.5,4.9,5.1,8.1,93.5,943.0,97.01,4950.0,0.0
4920,64.0,69.0,73.0,4.3,4.7,5.0,8.2,93.5,943.0,97.01,4950.0,0.0
4980,64.0,76.0,86.0,4.4,5.0,5.4,8.2,93.5,943.0,97.01,4950.0,0.0
5040,71.0,78.0,86.0,3.7,4.2,4.6,8.2,93.5,943.0,97.01,4950.0,0.0
5100,65.0,73.0,78.0,4.5,4.8,4.9,8.2,93.3,942.9,97.01,4950.0,0.0
5160,70.0,74.0,79.0,4.4,4.7,5.1,8.2,93.6,942.9,97.01,4950.0,0.0
5220,66.0,70.0,75.0,4.4,4.9,5.4,8.1,93.5,943.0,97.01,4950.0,0.0
5280,50.0,59.0,63.0,5.1,6.1,6.5,8.2,93.6,943.0,97.01,4950.0,0.0
5340,57.0,61.0,67.0,5.1,5.4,5.8,8.2,93.3,943.1,97.01,4950.0,0.0
5400,60.0,69.0,80.0,3.5,4.3,5.5,8.2,93.6,943.2,97.01,4950.0,0.0
5460,62.0,68.0,78.0,5.2,5.6,6.0,8.2,93.6,943.2,97.01,4950.0,0.0
5520,60.0,63.0,66.0,5.2,5.5,5.8,8.2,93.6,943.3,97.01,4950.0,0.0
5580,60.0,64.0,69.0,4.8,5.4,6.0,8.2,93.6,943.3,97.01,4950.0,0.0
5640,46.0,54.0,62.0,4.8,5.3,5.8,8.2,93.4,943.3,97.01,4950.0,0.0
5700,50.0,63.0,71.0,4.1,4.8,5.8,8.2,93.4,943.3,97.01,4950.0,0.0
5760,70.0,75.0,80.0,4.6,5.0,5.3,8.2,93.7,943.3,97.01,4950.0,0.0
5820,71.0,81.0,91.0,3.6,4.7,5.4,8.2,93.6,943.3,97.01,4950.0,0.0
5880,70.0,74.0,78.0,4.4,4.6,4.9,8.2,93.6,943.3,97.01,4950.0,0.0
5940,49.0,54.0,57.0,4.2,4.8,5.2,8.2,93.4,943.3,97.01,4950.0,0.0
6000,52.0,61.0,67.0,4.5,5.0,5.5,8.1,93.6,943.3,97.01,4950.0,0.0
6060,64.0,79.0,92.0,3.3,3.7,4.2,8.1,93.7,943.3,97.01,4950.0,0.0
6120,70.0,72.0,80.0,5.0,5.9,6.5,8.2,93.4,943.2,97.01,4950.0,0.0
6180,64.0,74.0,80.0,4.6,4.9,5.2,8.1,93.7,943.2,97.01,4950.0,0.0
6240,57.0,66.0,76.0,4.1,5.2,5.6,8.2,93.6,943.2,97.01,4950.0,0.0
6300,93.0,57.0,321.0,1.6,2.8,3.9,8.2,93.6,943.3,97.01,4950.0,0.0
6360,66.0,81.0,94.0,3.5,4.4,5.4,8.2,93.6,943.2,97.01,4950.0,0.0
6420,72.0,76.0,79.0,4.1,4.4,4.7,8.2,93.4,943.2,97.01,4950.0,0.0
6480,58.0,65.0,70.0,4.1,4.4,4.8,8.1,93.3,943.2,97.01,4950.0,0.0
6540,49.0,84.0,104.0,2.8,3.3,3.8,8.1,93.4,943.3,97.01,4950.0,0.0
6600,61.0,76.0,89.0,3.9,4.3,4.7,8.2,93.5,943.3,97.01,4950.0,0.0
6660,60.0,67.0,74.0,4.0,4.4,5.2,8.1,93.6,943.3,97.01,4950.0,0.0
6720,64.0,74.0,78.0,4.0,4.4,4.6,8.1,93.5,943.3,97.01,4950.0,0.0
6780,57.0,61.0,64.0,4.0,4.1,4.3,8.1,93.1,943.4,97.01,4950.0,0.0
6840,48.0,62.0,71.0,3.7,4.1,4.8,8.1,93.3,943.5,97.01,4950.0,0.0
