year,month,day,hour,Dn,Dm,Dx,Sn,Sm,Sx,Ta,Ua,Pa,Rc,Rd,Ri
2021.0,1.0,1.0,0.0,70.3,90.65,171.77,3.63,5.45,7.0,12.27,30.87,934.35,611.83,54770.0,0.0
2021.0,1.0,1.0,1.0,35.3,85.42,174.15,4.33,6.33,7.94,11.84,31.27,934.35,611.83,54770.0,0.0
2021.0,1.0,1.0,2.0,34.33,52.3,175.93,4.73,6.32,7.58,11.78,30.62,934.71,611.83,54770.0,0.0
2021.0,1.0,1.0,3.0,92.22,144.1,202.82,3.4,4.74,5.75,11.49,30.69,934.95,611.83,54770.0,0.0
2021.0,1.0,1.0,4.0,70.67,97.35,142.33,3.61,4.86,5.81,11.05,30.3,935.36,611.83,54770.0,0.0
2021.0,1.0,1.0,5.0,142.53,183.48,218.9,2.16,3.05,3.87,11.37,28.87,935.95,611.83,54770.0,0.0
2021.0,1.0,1.0,6.0,171.15,196.67,233.67,1.79,2.38,2.94,10.84,29.47,936.67,611.83,54770.0,0.0
2021.0,1.0,1.0,7.0,20.07,32.92,140.8,5.29,7.04,8.45,10.77,28.88,937.23,611.83,54770.0,0.0
2021.0,1.0,1.0,8.0,18.45,24.22,131.5,4.42,6.56,7.96,11.52,28.12,938.23,611.83,54770.0,0.0
2021.0,1.0,1.0,9.0,32.18,42.52,53.85,5.4,7.32,8.76,12.26,27.38,939.05,611.83,54770.0,0.0
2021.0,1.0,1.0,10.0,47.93,54.66,101.0,2.91,3.91,4.78,13.52,25.81,939.39,611.83,54770.0,0.0
2021.0,1.0,1.0,11.0,88.05,102.5,145.65,1.76,2.62,3.4,14.7,23.61,938.75,611.83,54770.0,0.0
2021.0,1.0,1.0,12.0,86.92,109.3,148.18,1.52,2.3,3.08,15.56,21.9,938.32,611.83,54770.0,0.0
2021.0,1.0,1.0,13.0,173.12,187.77,237.07,2.42,3.62,4.61,16.09,25.2,938.25,611.83,54770.0,0.0
2021.0,1.0,1.0,14.0,209.28,235.25,245.97,3.52,4.64,5.53,15.55,26.71,938.6,611.83,54770.0,0.0
2021.0,1.0,1.0,15.0,207.63,233.65,244.33,2.49,3.26,3.95,14.43,28.02,939.18,611.83,54770.0,0.0
2021.0,1.0,1.0,16.0,225.77,239.8,253.92,1.67,2.02,2.31,13.68,33.48,939.55,611.83,54770.0,0.0
2021.0,1.0,1.0,17.0,256.87,260.83,265.25,1.43,1.52,1.61,12.6,30.82,940.11,611.83,54770.0,0.0
2021.0,1.0,1.0,18.0,171.48,175.22,185.73,0.95,1.05,1.12,12.75,28.74,940.58,611.83,54770.0,0.0
2021.0,1.0,1.0,19.0,83.72,92.8,108.17,1.02,1.08,1.14,12.95,26.43,940.94,611.83,54770.0,0.0
2021.0,1.0,1.0,20.0,72.43,75.95,79.48,2.72,2.84,2.98,12.83,28.83,941.02,611.83,54770.0,0.0
2021.0,1.0,1.0,21.0,75.97,81.97,88.23,2.24,2.46,2.66,13.03,26.02,941.34,611.83,54770.0,0.0
2021.0,1.0,1.0,22.0,163.48,169.55,174.62,1.26,1.39,1.5,12.75,27.43,941.83,611.83,54770.0,0.0
2021.0,1.0,1.0,23.0,280.9,286.93,292.8,2.01,2.17,2.33,11.97,32.03,942.16,611.83,54770.0,0.0
2021.0,1.0,2.0,0.0,201.58,208.7,215.78,1.16,1.31,1.44,11.98,33.16,942.09,611.83,54770.0,0.0
2021.0,1.0,2.0,1.0,107.08,112.17,117.92,1.15,1.23,1.31,12.22,30.62,942.23,611.83,54770.0,0.0
