t,Dn,Dm,Dx,Sn,Sm,Sx,Ta,Ua,Pa,Rc,Rd,Ri
0,167.0,168.0,169.0,0.8,0.9,0.9,22.8,57.2,935.1,3.59,5200.0,0.0
60,174.0,176.0,177.0,0.8,0.8,0.9,22.9,57.2,935.1,3.59,5200.0,0.0
120,177.0,186.0,194.0,0.7,0.8,0.9,22.9,56.0,935.1,3.59,5200.0,0.0
180,191.0,202.0,206.0,0.9,1.0,1.0,22.9,55.6,935.1,3.59,5200.0,0.0
240,177.0,187.0,200.0,0.6,0.8,0.9,22.9,55.2,935.1,3.59,5200.0,0.0
300,172.0,182.0,195.0,0.7,0.8,0.9,23.0,55.2,935.1,3.59,5200.0,0.0
360,157.0,167.0,176.0,0.7,0.8,0.9,23.0,55.0,935.1,3.59,5200.0,0.0
420,154.0,160.0,164.0,0.9,0.9,1.0,23.0,54.9,935.1,3.59,5200.0,0.0
480,149.0,150.0,150.0,1.1,1.1,1.2,23.0,54.6,935.1,3.59,5200.0,0.0
540,158.0,163.0,170.0,0.9,1.2,1.3,23.0,54.7,935.1,3.59,5200.0,0.0
600,154.0,159.0,163.0,1.2,1.2,1.3,23.0,54.5,935.1,3.59,5200.0,0.0
660,165.0,171.0,177.0,1.2,1.4,1.6,23.0,55.0,935.1,3.59,5200.0,0.0
720,161.0,164.0,170.0,1.2,1.3,1.4,23.0,55.1,935.1,3.59,5200.0,0.0
780,162.0,163.0,167.0,1.2,1.3,1.3,23.0,55.1,935.1,3.59,5200.0,0.0
840,153.0,157.0,162.0,1.1,1.2,1.3,22.9,54.9,935.1,3.59,5200.0,0.0
900,140.0,145.0,150.0,1.1,1.2,1.3,22.9,54.6,935.1,3.59,5200.0,0.0
960,133.0,135.0,137.0,1.1,1.2,1.3,22.9,54.2,935.1,3.59,5200.0,0.0
1020,91.0,109.0,124.0,0.7,0.9,1.1,22.9,54.5,935.1,3.59,5200.0,0.0
1080,96.0,104.0,126.0,0.8,0.9,1.1,22.9,54.4,935.1,3.59,5200.0,0.0
1140,91.0,109.0,135.0,0.6,0.7,0.9,22.9,54.7,935.1,3.59,5200.0,0.0
1200,96.0,111.0,127.0,0.6,0.7,0.8,22.9,54.4,935.1,3.59,5200.0,0.0
1260,110.0,122.0,138.0,0.7,0.8,1.0,22.8,54.4,935.1,3.59,5200.0,0.0
1320,97.0,108.0,116.0,0.6,0.7,0.8,22.8,54.5,935.1,3.59,5200.0,0.0
1380,128.0,144.0,160.0,0.5,0.6,0.8,22.8,53.7,935.1,3.59,5200.0,0.0
1440,107.0,126.0,155.0,0.4,0.6,0.8,22.9,53.7,935.1,3.59,5200.0,0.0
1500,85.0,105.0,119.0,0.5,0.7,0.9,22.9,54.0,935.1,3.59,5200.0,0.0
1560,110.0,123.0,133.0,0.6,0.7,0.8,22.9,53.6,935.1,3.59,5200.0,0.0
1620,107.0,114.0,129.0,0.6,0.7,0.9,22.9,54.0,935.1,3.59,5200.0,0.0
1680,68.0,78.0,84.0,0.6,0.6,0.8,22.9,53.9,935.1,3.59,5200.0,0.0
1740,73.0,77.0,81.0,0.7,0.7,0.8,22.9,54.4,935.1,3.59,5200.0,0.0
1800,62.0,80.0,88.0,0.7,0.9,1.0,22.9,55.4,935.1,3.59,5200.0,0.0
1860,77.0,85.0,91.0,0.9,1.1,1.2,22.9,55.3,935.1,3.59,5200.0,0.0
1920,74.0,82.0,91.0,0.6,0.8,0.9,22.9,53.5,935.1,3.59,5200.0,0.0
1980,53.0,71.0,86.0,0.8,0.9,1.2,22.9,55.0,935.1,3.59,5200.0,0.0
2040,69.0,81.0,93.0,0.8,0.9,1.0,22.9,53.9,935.1,3.59,5200.0,0.0
2100,50.0,60.0,72.0,0.7,0.8,0.9,22.9,55.1,935.1,3.59,5200.0,0.0
2160,46.0,52.0,67.0,0.7,0.9,1.0,22.8,56.1,935.0,3.59,5200.0,0.0
2220,58.0,74.0,86.0,0.9,1.0,1.0,22.7,55.2,935.0,3.59,5200.0,0.0
2280,72.0,82.0,88.0,0.8,0.9,1.0,22.6,54.5,935.0,3.59,5200.0,0.0
2340,46.0,49.0,54.0,0.2,0.3,0.3,22.7,51.5,935.1,3.59,5200.0,0.0
2400,48.0,60.0,64.0,0.3,0.3,0.3,22.8,51.0,935.0,3.59,5200.0,0.0
2460,54.0,58.0,60.0,0.4,0.4,0.4,22.9,50.8,935.0,3.59,5200.0,0.0
2520,74.0,74.0,74.0,0.3,0.3,0.3,23.0,50.6,935.0,3.59,5200.0,0.0
2580,90.0,90.0,90.0,0.2,0.2,0.2,23.0,50.5,935.0,3.59,5200.0,0.0
2640,90.0,91.0,93.0,0.1,0.2,0.2,23.1,50.4,935.0,3.59,5200.0,0.0
2700,138.0,157.0,210.0,0.0,0.1,0.1,23.0,50.4,935.0,3.59,5200.0,0.0
2760,125.0,161.0,210.0,0.0,0.1,0.1,23.0,51.0,935.0,3.59,5200.0,0.0
2820,68.0,88.0,104.0,0.1,0.2,0.2,22.9,50.6,935.0,3.59,5200.0,0.0
2880,90.0,137.0,180.0,0.0,0.1,0.1,22.9,50.7,935.0,3.59,5200.0,0.0
2940,90.0,138.0,150.0,0.0,0.1,0.2,22.8,51.0,935.0,3.59,5200.0,0.0
3000,90.0,53.0,0.0,0.1,0.2,0.2,22.7,51.2,935.0,3.59,5200.0,0.0
3060,150.0,190.0,241.0,0.0,0.0,0.1,22.7,51.4,935.0,3.59,5200.0,0.0
3120,201.0,229.0,246.0,0.4,0.4,0.5,22.7,52.2,934.9,3.59,5200.0,0.0
3180,188.0,191.0,195.0,0.7,0.8,0.9,22.7,54.9,934.9,3.59,5200.0,0.0
3240,190.0,194.0,199.0,0.8,0.9,0.9,22.7,54.9,934.9,3.59,5200.0,0.0
3300,196.0,197.0,198.0,0.9,0.9,1.0,22.7,54.9,934.9,3.59,5200.0,0.0
3360,182.0,186.0,191.0,0.9,0.9,0.9,22.7,54.6,934.9,3.59,5200.0,0.0
3420,169.0,175.0,181.0,0.9,1.1,1.2,22.7,54.2,934.8,3.59,5200.0,0.0
3480,160.0,162.0,165.0,1.0,1.1,1.1,22.8,54.2,934.8,3.59,5200.0,0.0
3540,148.0,151.0,155.0,1.0,1.2,1.4,22.7,54.1,934.8,3.59,5200.0,0.0
3600,138.0,142.0,146.0,1.1,1.2,1.3,22.7,53.7,934.8,3.59,5200.0,0.0
3660,123.0,126.0,128.0,1.3,1.4,1.5,22.8,53.5,934.8,3.59,5200.0,0.0
3720,98.0,115.0,129.0,0.8,1.1,1.2,22.8,53.5,934.8,3.59,5200.0,0.0
3780,111.0,118.0,123.0,0.9,1.0,1.0,22.8,53.4,934.8,3.59,5200.0,0.0
3840,105.0,113.0,114.0,0.9,1.0,1.1,22.8,53.4,934.7,3.59,5200.0,0.0
3900,97.0,101.0,105.0,1.2,1.3,1.4,22.9,52.8,934.7,3.59,5200.0,0.0
3960,96.0,98.0,101.0,1.5,1.6,1.9,22.9,52.5,934.7,3.59,5200.0,0.0
4020,70.0,84.0,91.0,1.6,1.9,2.1,23.0,52.5,934.7,3.59,5200.0,0.0
4080,82.0,85.0,87.0,2.0,2.1,2.3,22.9,52.0,934.7,3.59,5200.0,0.0
4140,67.0,85.0,92.0,1.7,2.0,2.2,22.7,53.7,934.7,3.59,5200.0,0.0
4200,83.0,84.0,84.0,2.1,2.2,2.3,22.5,52.0,934.7,3.59,5200.0,0.0
4260,85.0,88.0,90.0,2.1,2.2,2.2,22.4,52.4,934.7,3.59,5200.0,0.0
4320,92.0,94.0,95.0,2.1,2.1,2.1,22.4,53.2,934.7,3.59,5200.0,0.0
4380,90.0,92.0,93.0,2.0,2.1,2.1,22.5,52.5,934.7,3.59,5200.0,0.0
4440,89.0,93.0,94.0,2.1,2.1,2.2,22.5,54.5,934.7,3.59,5200.0,0.0
4500,88.0,91.0,92.0,2.2,2.2,2.3,22.5,50.1,934.7,3.59,5200.0,0.0
4560,83.0,86.0,89.0,1.9,2.1,2.2,22.5,51.6,934.7,3.59,5200.0,0.0
4620,87.0,89.0,90.0,2.2,2.3,2.3,22.5,51.0,934.7,3.59,5200.0,0.0
4680,77.0,81.0,85.0,1.9,2.1,2.2,22.4,51.3,934.7,3.59,5200.0,0.0
4740,79.0,83.0,87.0,2.3,2.4,2.5,22.4,51.8,934.7,3.59,5200.0,0.0
4800,82.0,84.0,86.0,2.5,2.7,2.7,22.4,51.4,934.7,3.59,5200.0,0.0
4860,84.0,85.0,87.0,2.7,2.8,2.9,22.3,53.4,934.7,3.59,5200.0,0.0
4920,85.0,87.0,89.0,2.8,2.8,2.9,22.3,55.0,934.7,3.59,5200.0,0.0
4980,80.0,83.0,86.0,2.7,2.7,2.8,22.3,55.3,934.7,3.59,5200.0,0.0
5040,64.0,73.0,84.0,2.3,2.4,2.8,22.2,56.7,934.7,3.59,5200.0,0.0
5100,81.0,83.0,85.0,2.6,2.6,2.6,22.1,53.3,934.7,3.59,5200.0,0.0
5160,65.0,67.0,69.0,2.3,2.4,2.5,22.1,55.1,934.7,3.59,5200.0,0.0
5220,61.0,62.0,63.0,2.4,2.4,2.4,22.1,56.8,934.6,3.59,5200.0,0.0
5280,61.0,63.0,66.0,2.4,2.4,2.5,22.0,55.8,934.6,3.59,5200.0,0.0
5340,62.0,64.0,65.0,2.1,2.2,2.2,22.0,54.0,934.6,3.59,5200.0,0.0
5400,61.0,63.0,65.0,2.1,2.2,2.4,22.1,56.0,934.6,3.59,5200.0,0.0
5460,56.0,61.0,68.0,1.9,2.0,2.1,22.2,55.6,934.6,3.59,5200.0,0.0
5520,64.0,66.0,71.0,2.0,2.1,2.2,22.3,57.1,934.6,3.59,5200.0,0.0
5580,69.0,72.0,78.0,2.0,2.1,2.3,22.3,55.6,934.7,3.59,5200.0,0.0
5640,77.0,81.0,84.0,2.2,2.3,2.5,22.3,53.0,934.7,3.59,5200.0,0.0
5700,68.0,74.0,78.0,2.4,2.6,2.7,22.4,54.6,934.7,3.59,5200.0,0.0
5760,56.0,70.0,78.0,2.0,2.5,2.7,22.3,55.2,934.7,3.59,5200.0,0.0
5820,70.0,74.0,77.0,2.2,2.4,2.7,22.2,56.0,934.7,3.59,5200.0,0.0
5880,64.0,69.0,77.0,2.2,2.5,2.8,21.9,56.2,934.7,3.59,5200.0,0.0
5940,70.0,75.0,77.0,2.7,2.9,3.0,21.8,57.4,934.7,3.59,5200.0,0.0
6000,68.0,74.0,78.0,2.6,2.9,3.4,21.6,57.6,934.7,3.59,5200.0,0.0
6060,67.0,71.0,77.0,2.7,2.9,3.0,21.5,58.9,934.7,3.59,5200.0,0.0
6120,71.0,74.0,77.0,3.1,3.2,3.5,21.5,59.6,934.7,3.59,5200.0,0.0
6180,71.0,74.0,76.0,3.0,3.1,3.2,21.4,58.5,934.7,3.59,5200.0,0.0
6240,57.0,70.0,77.0,2.6,2.9,3.1,21.4,58.8,934.7,3.59,5200.0,0.0
6300,69.0,71.0,73.0,2.9,2.9,3.1,21.5,58.6,934.7,3.59,5200.0,0.0
6360,69.0,75.0,80.0,2.5,2.8,3.2,21.6,57.9,934.7,3.59,5200.0,0.0
6420,78.0,81.0,83.0,3.0,3.2,3.3,21.8,54.4,934.7,3.59,5200.0,0.0
6480,79.0,80.0,83.0,3.2,3.3,3.4,22.0,51.6,934.7,3.59,5200.0,0.0
6540,77.0,81.0,85.0,3.1,3.3,3.4,22.2,51.1,934.7,3.59,5200.0,0.0
6600,80.0,82.0,85.0,3.1,3.3,3.4,22.3,51.4,934.7,3.59,5200.0,0.0
6660,76.0,77.0,78.0,2.8,2.9,3.0,22.4,55.1,934.7,3.59,5200.0,0.0
6720,80.0,81.0,83.0,3.2,3.2,3.3,22.3,55.3,934.7,3.59,5200.0,0.0
6780,60.0,74.0,81.0,2.6,3.1,3.4,22.2,53.4,934.7,3.59,5200.0,0.0
6840,79.0,80.0,81.0,3.2,3.4,3.5,22.0,56.9,934.7,3.59,5200.0,0.0
6900,78.0,81.0,82.0,3.3,3.4,3.5,21.8,55.0,934.7,3.59,5200.0,0.0
6960,83.0,84.0,85.0,3.3,3.4,3.5,21.8,57.0,934.7,3.59,5200.0,0.0
7020,87.0,88.0,90.0,3.6,3.7,3.8,21.9,55.8,934.7,3.59,5200.0,0.0
7080,90.0,92.0,93.0,3.5,3.6,3.6,22.0,50.8,934.7,3.59,5200.0,0.0
7140,88.0,89.0,90.0,3.5,3.5,3.5,22.2,50.2,934.7,3.59,5200.0,0.0
7200,85.0,89.0,91.0,3.3,3.5,3.6,22.3,47.8,934.7,3.59,5200.0,0.0
