t,Dn,Dm,Dx,Sn,Sm,Sx,Ta,Ua,Pa,Rc,Rd,Ri
0,337.0,355.0,7.0,2.5,3.6,4.8,20.9,20.2,960.3,12.14,26730.0,0.0
60,37.0,48.0,57.0,3.6,4.4,5.2,21.0,20.2,960.4,12.14,26730.0,0.0
120,2.0,18.0,36.0,2.0,2.8,3.6,21.1,20.1,960.4,12.14,26730.0,0.0
180,344.0,351.0,359.0,4.2,5.0,5.3,21.2,19.8,960.3,12.14,26730.0,0.0
240,353.0,9.0,30.0,3.2,4.2,5.1,21.3,19.8,960.3,12.14,26730.0,0.0
300,13.0,27.0,42.0,2.2,2.8,3.4,21.3,19.7,960.4,12.14,26730.0,0.0
360,337.0,16.0,36.0,2.3,3.8,5.2,21.4,19.6,960.3,12.14,26730.0,0.0
420,357.0,47.0,70.0,2.0,3.2,4.9,21.4,19.6,960.4,12.14,26730.0,0.0
480,19.0,29.0,42.0,3.3,3.9,4.5,21.4,19.5,960.3,12.14,26730.0,0.0
540,16.0,38.0,54.0,3.4,3.9,4.4,21.4,19.5,960.4,12.14,26730.0,0.0
600,6.0,50.0,73.0,1.5,2.6,3.3,21.5,19.5,960.4,12.14,26730.0,0.0
660,358.0,41.0,85.0,0.9,2.1,3.5,21.5,19.5,960.4,12.14,26730.0,0.0
720,8.0,49.0,83.0,0.8,2.2,3.3,21.5,19.4,960.5,12.14,26730.0,0.0
780,0.0,16.0,31.0,2.6,3.4,4.6,21.5,19.4,960.4,12.14,26730.0,0.0
840,346.0,13.0,35.0,2.8,3.6,4.3,21.5,19.3,960.4,12.14,26730.0,0.0
900,349.0,1.0,11.0,2.9,3.5,4.2,21.6,19.3,960.4,12.14,26730.0,0.0
960,10.0,16.0,26.0,3.4,4.1,4.8,21.5,19.3,960.4,12.14,26730.0,0.0
1020,343.0,40.0,75.0,1.4,2.4,3.2,21.5,19.3,960.5,12.14,26730.0,0.0
1080,60.0,68.0,77.0,3.2,4.2,5.2,21.5,19.3,960.5,12.14,26730.0,0.0
1140,53.0,56.0,59.0,4.1,4.7,5.6,21.5,19.2,960.5,12.14,26730.0,0.0
1200,359.0,23.0,45.0,2.5,3.5,4.3,21.6,19.3,960.5,12.14,26730.0,0.0
1260,13.0,23.0,38.0,5.1,6.4,7.3,21.6,19.2,960.4,12.14,26730.0,0.0
1320,11.0,24.0,43.0,3.7,4.6,5.4,21.6,19.1,960.5,12.14,26730.0,0.0
1380,14.0,20.0,24.0,3.3,3.6,4.1,21.6,19.1,960.5,12.14,26730.0,0.0
1440,20.0,33.0,46.0,4.4,5.8,7.1,21.6,19.1,960.5,12.14,26730.0,0.0
1500,47.0,52.0,58.0,2.8,3.7,4.3,21.6,19.1,960.6,12.14,26730.0,0.0
1560,10.0,25.0,42.0,3.2,4.3,5.5,21.6,19.0,960.5,12.14,26730.0,0.0
1620,18.0,27.0,40.0,5.4,6.1,6.8,21.6,19.0,960.4,12.14,26730.0,0.0
1680,359.0,7.0,14.0,5.3,5.5,5.7,21.6,19.1,960.5,12.14,26730.0,0.0
1740,5.0,16.0,29.0,4.4,4.9,5.7,21.5,19.2,960.5,12.14,26730.0,0.0
1800,6.0,11.0,22.0,5.1,5.7,7.0,21.4,19.3,960.5,12.14,26730.0,0.0
1860,357.0,359.0,1.0,5.2,5.9,6.2,21.4,19.3,960.4,12.14,26730.0,0.0
1920,3.0,14.0,22.0,4.2,5.0,5.7,21.3,19.3,960.5,12.14,26730.0,0.0
1980,5.0,10.0,21.0,4.2,5.1,5.8,21.4,19.3,960.5,12.14,26730.0,0.0
2040,1.0,4.0,8.0,5.2,5.4,5.7,21.3,19.3,960.4,12.14,26730.0,0.0
2100,350.0,358.0,9.0,3.7,4.3,4.6,21.3,19.4,960.5,12.14,26730.0,0.0
2160,8.0,12.0,16.0,5.1,5.4,6.0,21.2,19.5,960.4,12.14,26730.0,0.0
2220,12.0,19.0,31.0,4.6,4.8,5.2,21.2,19.5,960.5,12.14,26730.0,0.0
2280,8.0,13.0,17.0,4.5,4.9,5.5,21.2,19.6,960.4,12.14,26730.0,0.0
2340,357.0,5.0,16.0,4.2,4.7,5.2,21.2,19.5,960.4,12.14,26730.0,0.0
2400,6.0,18.0,33.0,4.1,5.0,5.7,21.2,19.5,960.4,12.14,26730.0,0.0
2460,357.0,3.0,8.0,4.2,4.6,5.2,21.2,19.5,960.4,12.14,26730.0,0.0
2520,357.0,9.0,24.0,3.9,4.7,5.5,21.3,19.5,960.4,12.14,26730.0,0.0
2580,4.0,12.0,16.0,3.9,4.3,4.9,21.3,19.4,960.4,12.14,26730.0,0.0
2640,1.0,5.0,11.0,4.2,4.5,4.8,21.2,19.5,960.4,12.14,26730.0,0.0
2700,7.0,12.0,21.0,3.9,4.5,4.9,21.2,19.5,960.4,12.14,26730.0,0.0
2760,6.0,10.0,14.0,3.7,4.1,4.3,21.2,19.5,960.4,12.14,26730.0,0.0
2820,359.0,10.0,23.0,3.5,3.9,4.2,21.2,19.5,960.5,12.14,26730.0,0.0
2880,356.0,0.0,8.0,3.2,3.7,4.0,21.2,19.5,960.4,12.14,26730.0,0.0
2940,355.0,4.0,11.0,3.2,4.0,4.4,21.2,19.5,960.4,12.14,26730.0,0.0
3000,348.0,359.0,13.0,3.1,3.4,3.7,21.2,19.6,960.4,12.14,26730.0,0.0
3060,355.0,358.0,1.0,2.9,3.7,4.5,21.2,19.6,960.4,12.14,26730.0,0.0
3120,1.0,15.0,26.0,3.0,3.5,4.1,21.2,19.6,960.4,12.14,26730.0,0.0
3180,8.0,13.0,24.0,2.8,3.1,3.4,21.2,19.6,960.4,12.14,26730.0,0.0
3240,1.0,11.0,30.0,3.9,4.5,4.9,21.2,19.6,960.3,12.14,26730.0,0.0
3300,0.0,6.0,13.0,4.4,4.6,4.9,21.2,19.6,960.4,12.14,26730.0,0.0
3360,343.0,351.0,356.0,3.9,4.5,5.0,21.2,19.5,960.3,12.14,26730.0,0.0
3420,4.0,8.0,12.0,4.9,5.3,5.8,21.3,19.5,960.3,12.14,26730.0,0.0
3480,3.0,6.0,11.0,4.3,4.5,4.7,21.3,19.4,960.3,12.14,26730.0,0.0
3540,0.0,2.0,5.0,4.4,4.7,4.9,21.3,19.4,960.3,12.14,26730.0,0.0
3600,1.0,3.0,8.0,3.5,4.3,5.0,21.3,19.5,960.3,12.14,26730.0,0.0
3660,357.0,1.0,8.0,3.7,3.8,4.1,21.2,19.5,960.4,12.14,26730.0,0.0
3720,352.0,1.0,7.0,3.3,3.7,4.2,21.2,19.5,960.3,12.14,26730.0,0.0
3780,352.0,356.0,358.0,4.1,4.3,4.5,21.2,19.5,960.3,12.14,26730.0,0.0
3840,345.0,350.0,358.0,4.2,4.6,5.0,21.2,19.5,960.3,12.14,26730.0,0.0
3900,356.0,358.0,0.0,4.2,4.5,4.7,21.2,19.5,960.3,12.14,26730.0,0.0
3960,350.0,354.0,357.0,4.5,4.8,5.3,21.3,19.5,960.3,12.14,26730.0,0.0
4020,356.0,7.0,18.0,3.5,4.0,4.4,21.3,19.5,960.4,12.14,26730.0,0.0
4080,6.0,20.0,41.0,3.8,4.5,5.1,21.2,19.6,960.4,12.14,26730.0,0.0
4140,3.0,8.0,15.0,5.2,5.5,5.8,21.3,19.6,960.4,12.14,26730.0,0.0
4200,345.0,350.0,358.0,3.6,4.0,4.4,21.4,19.5,960.4,12.14,26730.0,0.0
4260,356.0,359.0,5.0,3.8,4.3,5.0,21.3,19.5,960.4,12.14,26730.0,0.0
4320,0.0,1.0,4.0,3.6,4.2,4.7,21.3,19.5,960.5,12.14,26730.0,0.0
4380,353.0,5.0,19.0,2.9,3.4,4.2,21.2,19.6,960.5,12.14,26730.0,0.0
4440,353.0,0.0,5.0,4.1,4.5,4.9,21.3,19.5,960.4,12.14,26730.0,0.0
4500,358.0,5.0,11.0,4.7,5.0,5.2,21.2,19.6,960.4,12.14,26730.0,0.0
4560,7.0,12.0,17.0,4.6,4.9,5.2,21.2,19.6,960.4,12.14,26730.0,0.0
4620,355.0,2.0,8.0,3.7,3.9,4.1,21.2,19.6,960.4,12.14,26730.0,0.0
4680,359.0,14.0,29.0,3.3,4.7,5.6,21.2,19.7,960.4,12.14,26730.0,0.0
4740,7.0,10.0,12.0,4.5,4.8,5.3,21.2,19.6,960.4,12.14,26730.0,0.0
4800,1.0,5.0,10.0,4.2,4.8,5.3,21.2,19.6,960.4,12.14,26730.0,0.0
4860,359.0,13.0,47.0,3.4,4.2,5.5,21.3,19.6,960.5,12.14,26730.0,0.0
