year,month,day,hour,Dn,Dm,Dx,Sn,Sm,Sx,Ta,Ua,Pa,Rc,Rd,Ri
2021.0,1.0,1.0,0.0,30.6,32.62,132.48,3.8,8.16,11.34,14.7,27.35,971.43,56.69,30383.17,0.02
2021.0,1.0,1.0,1.0,19.27,16.35,163.05,5.78,9.19,11.36,14.29,27.64,971.34,56.69,30390.0,0.0
2021.0,1.0,1.0,2.0,37.93,54.18,220.98,2.92,4.92,6.52,13.99,28.12,971.77,56.69,30390.0,0.0
2021.0,1.0,1.0,3.0,21.52,57.83,220.37,3.93,5.35,6.38,14.05,27.35,972.2,56.69,30390.0,0.0
2021.0,1.0,1.0,4.0,24.98,34.75,94.98,3.7,6.58,8.66,13.69,27.1,972.49,56.69,30390.0,0.0
2021.0,1.0,1.0,5.0,22.0,25.37,115.7,3.44,5.47,6.85,13.31,26.82,973.19,56.69,30390.0,0.0
2021.0,1.0,1.0,6.0,47.9,128.05,249.38,4.44,5.51,6.39,13.31,25.85,973.98,56.69,30390.0,0.0
2021.0,1.0,1.0,7.0,15.02,15.62,127.89,4.62,6.29,7.41,13.36,25.47,974.62,56.69,30390.0,0.0
2021.0,1.0,1.0,8.0,20.68,29.47,99.42,4.54,7.26,9.04,13.5,25.96,975.42,56.69,30390.0,0.0
2021.0,1.0,1.0,9.0,26.48,29.42,120.57,3.17,5.48,7.19,14.8,23.75,976.5,56.69,30390.0,0.0
2021.0,1.0,1.0,10.0,43.9,49.47,108.75,2.91,4.59,6.01,15.41,22.54,976.57,56.69,30390.0,0.0
2021.0,1.0,1.0,11.0,47.93,76.03,180.72,3.59,5.94,7.61,16.03,21.06,975.68,56.69,30390.0,0.0
2021.0,1.0,1.0,12.0,64.9,162.1,250.8,3.01,4.04,4.99,16.71,20.89,975.16,56.69,30390.0,0.0
2021.0,1.0,1.0,13.0,123.13,238.73,261.65,1.47,2.16,2.81,17.72,20.26,975.17,56.69,30390.0,0.0
2021.0,1.0,1.0,14.0,186.08,232.77,283.62,1.89,2.64,3.28,17.96,21.26,975.45,56.69,30390.0,0.0
2021.0,1.0,1.0,15.0,255.48,270.78,281.25,3.18,3.95,4.62,16.34,28.99,975.94,56.69,30390.0,0.0
2021.0,1.0,1.0,16.0,259.27,267.68,277.13,4.42,5.23,5.91,14.35,32.04,976.54,56.69,30390.0,0.0
2021.0,1.0,1.0,17.0,264.72,272.98,281.87,3.87,4.56,5.13,13.97,33.15,976.84,56.69,30390.0,0.0
2021.0,1.0,1.0,18.0,279.7,289.03,299.12,2.56,3.04,3.49,13.79,36.92,977.49,56.69,30390.0,0.0
2021.0,1.0,1.0,19.0,296.08,301.05,306.22,1.65,1.78,1.9,14.25,33.16,977.78,56.69,30390.0,0.0
2021.0,1.0,1.0,20.0,156.7,163.37,170.78,0.8,0.89,0.97,14.1,33.51,978.01,56.69,30390.0,0.0
2021.0,1.0,1.0,21.0,137.9,138.88,139.9,1.51,1.54,1.57,14.2,32.1,978.32,56.69,30390.0,0.0
2021.0,1.0,1.0,22.0,176.23,177.12,178.02,1.89,1.92,1.96,14.4,29.82,978.92,56.69,30390.0,0.0
2021.0,1.0,1.0,23.0,198.54,200.86,203.39,2.66,2.79,2.88,12.21,68.75,979.24,56.69,30390.0,0.0
2021.0,1.0,2.0,0.0,166.1,167.75,169.72,2.78,2.87,2.94,11.3,82.34,978.87,56.69,30390.0,0.0
2021.0,1.0,2.0,1.0,149.4,152.15,155.37,2.77,2.9,3.04,11.56,77.37,978.89,56.69,30390.0,0.0
2021.0,1.0,2.0,2.0,161.89,164.82,168.2,3.49,3.66,3.83,12.0,66.6,978.87,56.69,30390.0,0.0
2021.0,1.0,2.0,3.0,166.32,168.83,171.45,4.58,4.78,4.95,11.37,76.44,978.36,56.69,30390.0,0.0
2021.0,1.0,2.0,4.0,161.7,166.65,172.0,4.13,4.48,4.79,11.18,72.56,978.61,56.69,30390.0,0.0
2021.0,1.0,2.0,5.0,159.63,162.92,165.73,2.83,2.99,3.13,11.23,74.6,979.67,56.69,30390.0,0.0
2021.0,1.0,2.0,6.0,156.37,159.43,162.4,3.15,3.31,3.45,11.93,64.95,980.51,56.69,30390.0,0.0
2021.0,1.0,2.0,7.0,167.27,170.25,173.57,3.28,3.47,3.61,11.3,68.34,980.79,56.69,30390.0,0.0
2021.0,1.0,2.0,8.0,151.45,158.68,166.75,3.4,3.87,4.29,11.81,61.71,980.8,56.69,30390.0,0.0
2021.0,1.0,2.0,9.0,152.05,162.78,173.93,2.63,3.12,3.56,12.74,55.04,981.33,56.69,30390.0,0.0
2021.0,1.0,2.0,10.0,163.05,177.98,193.77,2.18,2.77,3.33,13.75,56.31,981.06,56.69,30390.0,0.0
2021.0,1.0,2.0,11.0,162.12,175.33,188.55,2.77,3.43,4.09,13.69,63.38,980.18,56.69,30390.0,0.0
2021.0,1.0,2.0,12.0,162.47,179.48,194.25,2.62,3.36,4.02,14.0,61.5,979.58,56.69,30390.0,0.0
2021.0,1.0,2.0,13.0,169.6,183.93,198.88,2.48,3.22,3.86,14.2,58.77,979.22,56.69,30390.0,0.0
2021.0,1.0,2.0,14.0,169.2,181.82,194.27,2.2,2.73,3.2,13.82,60.2,979.29,56.69,30390.0,0.0
2021.0,1.0,2.0,15.0,174.05,184.5,194.32,1.67,2.0,2.3,13.43,60.74,979.27,56.69,30390.0,0.0
2021.0,1.0,2.0,16.0,186.02,191.95,197.88,2.6,2.82,3.05,12.71,49.58,979.39,56.69,30390.0,0.0
