t,Dn,Dm,Dx,Sn,Sm,Sx,Ta,Ua,Pa,Rc,Rd,Ri
0,355.0,355.0,356.0,2.1,2.1,2.2,19.0,17.2,974.0,26.93,26740.0,0.0
60,356.0,357.0,358.0,2.2,2.3,2.3,19.0,16.5,974.0,26.93,26740.0,0.0
120,355.0,356.0,357.0,2.5,2.6,2.7,19.0,17.9,974.0,26.93,26740.0,0.0
180,1.0,0.0,358.0,2.5,2.6,2.7,19.0,19.8,974.0,26.93,26740.0,0.0
240,358.0,358.0,0.0,2.4,2.5,2.5,18.9,19.5,974.0,26.93,26740.0,0.0
300,353.0,354.0,355.0,2.1,2.1,2.2,18.9,17.2,974.0,26.93,26740.0,0.0
360,338.0,344.0,350.0,1.8,1.9,2.0,18.9,19.3,974.0,26.93,26740.0,0.0
420,339.0,345.0,351.0,1.9,2.1,2.5,19.0,20.3,974.0,26.93,26740.0,0.0
480,341.0,349.0,355.0,1.6,2.3,2.9,18.9,22.3,974.0,26.93,26740.0,0.0
540,352.0,353.0,357.0,2.6,2.7,2.9,18.8,22.5,974.0,26.93,26740.0,0.0
600,352.0,354.0,355.0,2.6,2.7,2.8,18.7,23.0,974.0,26.93,26740.0,0.0
660,347.0,351.0,354.0,2.2,2.4,2.7,18.7,22.6,974.0,26.93,26740.0,0.0
720,347.0,350.0,353.0,2.0,2.2,2.3,18.6,23.5,974.0,26.93,26740.0,0.0
780,337.0,346.0,350.0,1.8,2.0,2.2,18.5,22.7,973.9,26.93,26740.0,0.0
840,343.0,351.0,356.0,2.0,2.3,2.5,18.5,30.7,974.0,26.93,26740.0,0.0
900,6.0,0.0,355.0,2.1,2.3,2.4,18.4,30.5,974.0,26.93,26740.0,0.0
960,4.0,357.0,351.0,1.9,2.1,2.3,18.3,27.8,974.0,26.93,26740.0,0.0
1020,2.0,0.0,0.0,2.2,2.2,2.3,18.2,22.6,974.0,26.93,26740.0,0.0
1080,353.0,354.0,354.0,1.8,1.8,1.9,18.3,24.6,974.0,26.93,26740.0,0.0
1140,356.0,357.0,358.0,1.7,1.8,1.8,18.3,24.2,973.9,26.93,26740.0,0.0
1200,1.0,2.0,3.0,1.8,1.9,1.9,18.4,25.0,973.9,26.93,26740.0,0.0
1260,7.0,8.0,9.0,2.1,2.2,2.3,18.5,23.4,973.9,26.93,26740.0,0.0
1320,10.0,12.0,13.0,2.0,2.1,2.2,18.5,23.5,973.9,26.93,26740.0,0.0
1380,11.0,12.0,13.0,1.9,2.0,2.0,18.4,18.4,973.9,26.93,26740.0,0.0
1440,353.0,355.0,356.0,1.5,1.5,1.6,18.6,16.1,973.9,26.93,26740.0,0.0
1500,335.0,341.0,346.0,1.1,1.2,1.2,18.8,15.0,973.9,26.93,26740.0,0.0
1560,343.0,348.0,357.0,1.6,1.8,1.9,19.0,14.4,973.9,26.93,26740.0,0.0
1620,9.0,12.0,14.0,2.2,2.3,2.5,19.2,20.9,973.8,26.93,26740.0,0.0
1680,8.0,10.0,13.0,1.8,1.9,1.9,19.1,21.5,973.8,26.93,26740.0,0.0
1740,5.0,6.0,8.0,1.6,1.7,1.8,19.0,16.9,973.8,26.93,26740.0,0.0
1800,4.0,7.0,10.0,1.7,1.8,1.9,19.0,19.6,973.8,26.93,26740.0,0.0
1860,11.0,14.0,16.0,2.0,2.1,2.2,19.0,17.3,973.8,26.93,26740.0,0.0
1920,12.0,15.0,17.0,2.3,2.4,2.5,19.0,16.7,973.8,26.93,26740.0,0.0
