t,Dn,Dm,Dx,Sn,Sm,Sx,Ta,Ua,Pa,Rc,Rd,Ri
0,42.0,51.0,60.0,2.7,3.1,3.4,17.9,22.9,852.6,118.42,48470.0,0.0
60,43.0,53.0,61.0,2.9,3.2,3.5,17.9,22.9,852.6,118.42,48470.0,0.0
120,41.0,51.0,58.0,2.5,3.3,3.7,17.9,23.0,852.6,118.42,48470.0,0.0
180,35.0,54.0,66.0,2.3,2.9,3.7,17.8,23.0,852.5,118.42,48470.0,0.0
240,42.0,60.0,71.0,2.3,2.9,3.6,17.8,23.0,852.5,118.42,48470.0,0.0
300,45.0,52.0,59.0,2.5,3.0,3.3,17.8,23.1,852.5,118.42,48470.0,0.0
360,52.0,61.0,68.0,2.4,2.9,3.3,17.8,23.1,852.5,118.42,48470.0,0.0
420,47.0,58.0,71.0,2.3,3.2,3.9,17.8,23.1,852.5,118.42,48470.0,0.0
480,39.0,50.0,58.0,2.7,3.2,3.8,17.8,23.1,852.5,118.42,48470.0,0.0
540,47.0,55.0,65.0,3.1,3.4,3.6,17.9,23.1,852.5,118.42,48470.0,0.0
600,48.0,56.0,65.0,3.2,3.5,3.9,17.9,23.0,852.5,118.42,48470.0,0.0
660,47.0,57.0,64.0,3.0,3.3,3.7,17.9,23.1,852.5,118.42,48470.0,0.0
720,53.0,60.0,67.0,3.0,3.3,3.6,17.8,23.2,852.5,118.42,48470.0,0.0
780,40.0,55.0,63.0,2.4,2.9,3.4,17.7,23.3,852.5,118.42,48470.0,0.0
840,40.0,52.0,61.0,2.3,2.9,3.6,17.7,23.4,852.5,118.42,48470.0,0.0
900,42.0,52.0,67.0,2.2,2.7,3.2,17.6,23.4,852.5,118.42,48470.0,0.0
960,45.0,52.0,64.0,2.8,3.3,3.7,17.6,23.5,852.5,118.42,48470.0,0.0
1020,48.0,56.0,66.0,2.7,3.1,3.6,17.6,23.5,852.5,118.42,48470.0,0.0
1080,45.0,58.0,66.0,2.7,3.1,3.5,17.6,23.5,852.5,118.42,48470.0,0.0
1140,43.0,54.0,59.0,2.6,3.3,3.8,17.7,23.5,852.5,118.42,48470.0,0.0
1200,48.0,55.0,71.0,2.5,3.1,3.7,17.7,23.4,852.5,118.42,48470.0,0.0
1260,50.0,56.0,64.0,2.8,3.2,3.7,17.8,23.4,852.5,118.42,48470.0,0.0
1320,44.0,53.0,62.0,2.8,3.4,3.7,17.8,23.3,852.5,118.42,48470.0,0.0
1380,41.0,57.0,63.0,2.8,3.4,3.8,17.8,23.3,852.5,118.42,48470.0,0.0
1440,54.0,60.0,63.0,3.0,3.3,3.5,17.9,23.2,852.5,118.42,48470.0,0.0
1500,56.0,63.0,68.0,3.2,3.7,4.0,17.9,23.2,852.5,118.42,48470.0,0.0
1560,43.0,59.0,69.0,2.8,3.6,4.3,17.8,23.3,852.4,118.42,48470.0,0.0
1620,42.0,56.0,68.0,3.1,3.4,3.7,17.8,23.3,852.4,118.42,48470.0,0.0
