year,month,day,hour,Dn,Dm,Dx,Sn,Sm,Sx,Ta,Ua,Pa,Rc,Rd,Ri
2021.0,1.0,1.0,0.0,37.57,52.44,93.43,4.31,6.26,7.9,13.77,28.3,951.85,385.9,5660.0,0.0
2021.0,1.0,1.0,1.0,41.97,75.5,141.93,4.01,7.36,10.15,13.57,28.18,951.29,385.9,5660.0,0.0
2021.0,1.0,1.0,2.0,108.02,118.48,191.46,2.25,3.65,5.01,13.09,28.72,952.22,385.9,5660.0,0.0
2021.0,1.0,1.0,3.0,27.9,33.0,96.45,6.95,10.84,14.23,13.06,27.5,951.41,385.9,5660.0,0.0
2021.0,1.0,1.0,4.0,22.91,43.64,68.91,4.86,7.36,9.47,13.35,26.13,952.37,385.9,5660.0,0.0
2021.0,1.0,1.0,5.0,57.81,95.52,129.56,4.06,7.39,10.27,12.78,26.63,952.77,385.9,5660.37,0.01
2021.0,1.0,1.0,6.0,155.45,203.27,218.09,1.88,3.02,3.89,12.34,27.22,953.98,385.9,5670.0,0.0
2021.0,1.0,1.0,7.0,181.57,200.93,222.79,2.36,3.09,3.84,11.94,27.42,954.7,nan,nan,nan
2021.0,1.0,1.0,8.0,107.61,129.0,179.9,1.97,2.83,3.61,13.55,24.6,956.01,385.9,5670.0,0.0
2021.0,1.0,1.0,9.0,37.79,44.79,103.26,3.63,5.33,6.7,13.75,24.75,956.71,385.9,5670.0,0.0
2021.0,1.0,1.0,10.0,68.64,79.11,153.46,2.37,3.64,4.71,15.24,23.66,956.83,385.9,5670.0,0.0
2021.0,1.0,1.0,11.0,186.02,206.85,228.45,2.0,2.82,3.64,16.47,22.02,956.17,385.91,5681.0,0.06
2021.0,1.0,1.0,12.0,199.42,227.4,257.08,1.79,2.81,3.61,17.33,20.77,955.67,385.97,5760.0,0.0
2021.0,1.0,1.0,13.0,203.83,247.45,266.15,1.41,2.22,2.82,17.44,20.5,955.72,385.97,5760.0,0.0
2021.0,1.0,1.0,14.0,192.14,212.24,234.84,2.22,3.08,3.91,17.96,19.55,955.95,385.99,5764.8,0.1
2021.0,1.0,1.0,15.0,186.72,200.61,212.17,4.14,4.91,5.68,16.55,24.52,956.34,386.05,5780.56,0.03
2021.0,1.0,1.0,16.0,267.0,270.0,274.0,1.5,1.6,1.6,13.8,31.6,957.4,386.17,5830.0,0.0
2021.0,1.0,1.0,17.0,141.62,145.38,149.38,1.6,1.7,1.81,13.34,34.46,957.67,386.17,5830.0,0.0
2021.0,1.0,1.0,18.0,121.75,127.5,132.75,1.75,1.9,1.98,13.25,35.85,957.7,386.17,5830.0,0.0
2021.0,1.0,1.0,19.0,109.0,114.0,120.0,2.7,2.8,3.0,14.0,28.0,958.3,386.17,5830.0,0.0
2021.0,1.0,1.0,20.0,91.71,97.43,103.57,2.66,2.93,3.19,14.01,27.79,958.33,386.17,5830.0,0.0
2021.0,1.0,1.0,21.0,115.67,124.67,133.67,2.53,2.93,3.33,13.3,26.87,958.77,386.17,5830.0,0.0
2021.0,1.0,1.0,22.0,151.17,157.83,166.33,1.18,1.35,1.48,13.0,27.35,959.32,386.17,5830.0,0.0
2021.0,1.0,1.0,23.0,157.67,159.33,160.0,1.6,1.7,1.73,12.57,30.0,959.67,386.17,5830.0,0.0
2021.0,1.0,2.0,0.0,103.06,109.11,115.06,1.17,1.28,1.41,13.41,27.47,959.72,386.17,5830.0,0.0
2021.0,1.0,2.0,1.0,142.74,147.4,151.83,1.63,1.76,1.88,13.58,26.9,959.62,386.17,5830.0,0.0
2021.0,1.0,2.0,2.0,111.8,118.0,122.4,2.04,2.24,2.44,13.06,29.32,959.2,386.17,5830.0,0.0
2021.0,1.0,2.0,3.0,155.69,161.67,166.82,1.76,1.93,2.09,13.35,27.91,959.63,386.17,5830.0,0.0
2021.0,1.0,2.0,4.0,185.2,191.2,196.2,1.34,1.5,1.62,13.28,27.94,960.12,386.17,5830.0,0.0
2021.0,1.0,2.0,5.0,134.0,139.0,142.0,1.0,1.2,1.2,12.5,29.9,961.5,386.17,5830.0,0.0
