t,Dn,Dm,Dx,Sn,Sm,Sx,Ta,Ua,Pa,Rc,Rd,Ri
0,271.0,273.0,275.0,1.6,1.6,1.6,20.8,11.2,954.1,43.39,40870.0,0.0
60,271.0,272.0,273.0,1.8,1.9,2.0,20.8,11.1,954.1,43.39,40870.0,0.0
120,273.0,273.0,273.0,1.8,1.9,1.9,20.8,11.0,954.1,43.39,40870.0,0.0
180,272.0,273.0,273.0,1.8,1.8,1.8,20.8,10.9,954.1,43.39,40870.0,0.0
240,272.0,273.0,273.0,1.7,1.8,1.8,20.8,10.9,954.0,43.39,40870.0,0.0
300,270.0,274.0,277.0,1.5,1.5,1.7,20.8,10.9,954.0,43.39,40870.0,0.0
360,275.0,279.0,280.0,1.5,1.6,1.6,20.8,10.8,954.0,43.39,40870.0,0.0
420,278.0,281.0,285.0,1.4,1.4,1.5,20.9,10.8,954.0,43.39,40870.0,0.0
480,272.0,279.0,285.0,1.3,1.4,1.5,20.9,10.7,954.0,43.39,40870.0,0.0
540,278.0,285.0,287.0,1.2,1.3,1.3,20.9,10.8,954.0,43.39,40870.0,0.0
600,285.0,287.0,287.0,1.2,1.2,1.3,20.9,10.8,954.0,43.39,40870.0,0.0
660,283.0,287.0,288.0,1.2,1.3,1.3,20.9,10.8,954.0,43.39,40870.0,0.0
720,278.0,280.0,286.0,1.1,1.2,1.3,20.8,10.8,954.0,43.39,40870.0,0.0
780,276.0,279.0,284.0,1.3,1.4,1.5,20.9,10.7,953.9,43.39,40870.0,0.0
840,279.0,280.0,282.0,1.2,1.3,1.3,20.9,10.6,953.9,43.39,40870.0,0.0
900,278.0,279.0,282.0,1.2,1.2,1.3,20.9,10.7,953.9,43.39,40870.0,0.0
960,273.0,277.0,284.0,1.1,1.4,1.6,20.9,10.7,953.9,43.39,40870.0,0.0
1020,266.0,269.0,270.0,1.2,1.3,1.3,20.9,10.7,953.9,43.39,40870.0,0.0
1080,270.0,271.0,273.0,0.9,1.0,1.0,20.9,10.7,953.9,43.39,40870.0,0.0
1140,270.0,271.0,273.0,0.9,0.9,0.9,20.8,10.8,953.9,43.39,40870.0,0.0
1200,274.0,280.0,283.0,0.8,0.8,0.9,20.8,10.9,953.9,43.39,40870.0,0.0
1260,270.0,272.0,278.0,0.7,0.7,0.8,20.7,11.0,953.8,43.39,40870.0,0.0
1320,270.0,276.0,281.0,0.6,0.6,0.7,20.7,10.9,953.8,43.39,40870.0,0.0
1380,279.0,279.0,279.0,0.6,0.6,0.6,20.6,10.9,953.8,43.39,40870.0,0.0
1440,279.0,279.0,279.0,0.6,0.6,0.6,20.6,10.9,953.8,43.39,40870.0,0.0
1500,270.0,272.0,275.0,0.6,0.6,0.7,20.5,10.7,953.8,43.39,40870.0,0.0
1560,270.0,272.0,275.0,0.7,0.7,0.7,20.5,10.6,953.8,43.39,40870.0,0.0
1620,274.0,276.0,278.0,0.7,0.7,0.7,20.5,10.5,953.8,43.39,40870.0,0.0
1680,282.0,286.0,288.0,0.6,0.6,0.6,20.4,10.5,953.8,43.39,40870.0,0.0
1740,279.0,280.0,281.0,0.5,0.5,0.5,20.4,10.5,953.7,43.39,40870.0,0.0
1800,271.0,271.0,273.0,0.5,0.5,0.5,20.4,10.5,953.7,43.39,40870.0,0.0
1860,271.0,271.0,271.0,0.5,0.5,0.5,20.4,10.6,953.7,43.39,40870.0,0.0
1920,265.0,267.0,269.0,0.4,0.4,0.4,20.4,10.7,953.7,43.39,40870.0,0.0
1980,252.0,252.0,252.0,0.6,0.6,0.6,20.3,10.6,953.7,43.39,40870.0,0.0
2040,247.0,248.0,248.0,0.4,0.5,0.5,20.3,10.8,953.7,43.39,40870.0,0.0
2100,241.0,242.0,244.0,0.4,0.4,0.4,20.3,10.9,953.7,43.39,40870.0,0.0
2160,232.0,235.0,236.0,0.4,0.5,0.5,20.3,11.0,953.7,43.39,40870.0,0.0
2220,226.0,227.0,229.0,0.5,0.5,0.5,20.2,11.0,953.7,43.39,40870.0,0.0
2280,219.0,219.0,220.0,0.5,0.5,0.5,20.2,11.0,953.7,43.39,40870.0,0.0
2340,195.0,208.0,219.0,0.4,0.5,0.6,20.2,10.9,953.7,43.39,40870.0,0.0
2400,186.0,191.0,192.0,0.6,0.7,0.7,20.2,10.8,953.7,43.39,40870.0,0.0
2460,184.0,184.0,184.0,0.8,0.8,0.8,20.3,10.9,953.7,43.39,40870.0,0.0
2520,172.0,174.0,176.0,0.7,0.8,0.8,20.3,11.0,953.7,43.39,40870.0,0.0
2580,177.0,180.0,184.0,0.7,0.8,0.9,20.4,10.9,953.7,43.39,40870.0,0.0
2640,180.0,185.0,189.0,0.7,0.8,0.8,20.4,11.0,953.7,43.39,40870.0,0.0
2700,192.0,197.0,198.0,0.6,0.7,0.7,20.4,11.1,953.7,43.39,40870.0,0.0
2760,191.0,194.0,197.0,0.6,0.6,0.7,20.4,11.1,953.7,43.39,40870.0,0.0
2820,189.0,197.0,202.0,0.6,0.6,0.7,20.4,11.0,953.7,43.39,40870.0,0.0
2880,216.0,224.0,233.0,0.6,0.6,0.7,20.4,11.2,953.7,43.39,40870.0,0.0
2940,245.0,248.0,253.0,0.7,0.8,0.9,20.3,11.4,953.7,43.39,40870.0,0.0
3000,256.0,259.0,264.0,0.8,0.8,0.9,20.3,11.7,953.7,43.39,40870.0,0.0
3060,264.0,264.0,264.0,0.8,0.8,0.8,20.2,11.9,953.7,43.39,40870.0,0.0
3120,253.0,258.0,264.0,0.8,0.9,0.9,20.2,12.0,953.7,43.39,40870.0,0.0
3180,252.0,256.0,259.0,0.8,0.8,0.9,20.1,12.0,953.8,43.39,40870.0,0.0
3240,248.0,257.0,264.0,0.7,0.8,0.8,20.1,12.0,953.8,43.39,40870.0,0.0
3300,233.0,241.0,248.0,0.6,0.7,0.8,20.1,12.0,953.8,43.39,40870.0,0.0
3360,250.0,254.0,262.0,0.5,0.6,0.7,20.0,12.2,953.8,43.39,40870.0,0.0
3420,229.0,234.0,247.0,0.5,0.7,0.8,20.0,12.1,953.8,43.39,40870.0,0.0
3480,237.0,244.0,248.0,0.6,0.7,0.8,19.9,11.9,953.7,43.39,40870.0,0.0
3540,236.0,243.0,252.0,0.7,0.8,1.0,19.9,12.1,953.8,43.39,40870.0,0.0
3600,234.0,241.0,245.0,0.9,1.0,1.1,19.9,12.2,953.8,43.39,40870.0,0.0
3660,238.0,242.0,244.0,0.8,0.9,1.0,19.9,12.2,953.8,43.39,40870.0,0.0
3720,226.0,237.0,244.0,0.6,0.7,0.9,19.9,12.1,953.7,43.39,40870.0,0.0
3780,242.0,246.0,248.0,0.9,0.9,1.0,19.9,12.1,953.8,43.39,40870.0,0.0
3840,225.0,230.0,248.0,0.6,0.7,0.8,19.9,12.1,953.8,43.39,40870.0,0.0
3900,231.0,238.0,243.0,0.9,0.9,1.0,19.9,12.1,953.7,43.39,40870.0,0.0
3960,232.0,241.0,245.0,0.8,1.0,1.0,19.9,12.2,953.7,43.39,40870.0,0.0
4020,234.0,239.0,245.0,0.9,1.0,1.0,19.9,12.2,953.7,43.39,40870.0,0.0
4080,228.0,233.0,240.0,0.9,0.9,1.0,19.9,12.2,953.7,43.39,40870.0,0.0
4140,240.0,245.0,251.0,0.7,0.8,0.9,19.9,12.2,953.7,43.39,40870.0,0.0
4200,236.0,242.0,248.0,0.7,0.8,0.8,19.9,12.2,953.7,43.39,40870.0,0.0
4260,233.0,241.0,248.0,0.6,0.7,0.8,19.9,12.1,953.7,43.39,40870.0,0.0
4320,230.0,232.0,236.0,0.5,0.5,0.6,19.9,12.1,953.7,43.39,40870.0,0.0
4380,229.0,231.0,233.0,0.6,0.7,0.8,19.9,12.1,953.7,43.39,40870.0,0.0
4440,220.0,221.0,222.0,0.7,0.8,0.8,19.9,12.1,953.7,43.39,40870.0,0.0
4500,210.0,210.0,212.0,0.9,0.9,0.9,19.9,12.0,953.8,43.39,40870.0,0.0
4560,210.0,214.0,219.0,0.9,0.9,0.9,19.9,11.9,953.8,43.39,40870.0,0.0
4620,210.0,212.0,217.0,0.9,0.9,0.9,19.9,11.9,953.8,43.39,40870.0,0.0
4680,215.0,217.0,219.0,0.9,0.9,0.9,19.9,12.0,953.8,43.39,40870.0,0.0
4740,219.0,220.0,221.0,0.7,0.8,0.8,19.9,11.9,953.8,43.39,40870.0,0.0
4800,220.0,221.0,223.0,0.7,0.8,0.8,19.9,11.9,953.8,43.39,40870.0,0.0
