t,Dn,Dm,Dx,Sn,Sm,Sx,Ta,Ua,Pa,Rc,Rd,Ri
0,194.0,195.0,197.0,2.4,2.4,2.5,21.9,41.9,828.8,0.01,20.0,0.0
10,191.0,195.0,198.0,2.3,2.4,2.4,21.9,41.8,828.8,0.01,20.0,0.0
20,187.0,190.0,192.0,2.3,2.4,2.6,21.9,42.5,828.8,0.01,20.0,0.0
30,187.0,189.0,190.0,2.4,2.5,2.6,21.9,43.3,828.8,0.01,20.0,0.0
39,187.0,189.0,190.0,2.5,2.6,2.6,21.9,43.4,828.8,0.01,20.0,0.0
40,188.0,189.0,190.0,2.5,2.5,2.6,21.9,43.6,828.8,0.01,20.0,0.0
50,187.0,189.0,190.0,2.5,2.6,2.7,21.9,44.4,828.8,0.01,20.0,0.0
60,187.0,188.0,190.0,2.5,2.6,2.7,21.9,43.6,828.8,0.01,20.0,0.0
70,186.0,187.0,189.0,2.5,2.6,2.7,21.9,42.7,828.8,0.01,20.0,0.0
80,187.0,188.0,189.0,2.6,2.7,2.7,21.9,42.6,828.8,0.01,20.0,0.0
90,186.0,187.0,188.0,2.6,2.7,2.7,21.9,43.5,828.8,0.01,20.0,0.0
99,186.0,187.0,188.0,2.6,2.6,2.7,21.9,43.7,828.8,0.01,20.0,0.0
100,187.0,187.0,188.0,2.6,2.6,2.7,21.9,43.9,828.8,0.01,20.0,0.0
110,187.0,188.0,189.0,2.7,2.7,2.8,21.9,43.5,828.8,0.01,20.0,0.0
120,188.0,190.0,190.0,2.7,2.7,2.8,21.9,43.9,828.8,0.01,20.0,0.0
130,188.0,189.0,189.0,2.7,2.8,2.8,21.9,43.6,828.8,0.01,20.0,0.0
140,188.0,189.0,190.0,2.7,2.7,2.8,21.9,44.8,828.8,0.01,20.0,0.0
150,187.0,189.0,190.0,2.6,2.7,2.8,21.9,45.4,828.8,0.01,20.0,0.0
159,188.0,189.0,190.0,2.7,2.8,2.8,21.9,45.5,828.8,0.01,20.0,0.0
160,188.0,189.0,190.0,2.7,2.8,2.8,21.9,45.5,828.8,0.01,20.0,0.0
170,188.0,189.0,191.0,2.7,2.8,2.8,21.9,45.8,828.8,0.01,20.0,0.0
180,188.0,189.0,190.0,2.8,2.9,2.9,21.9,45.9,828.8,0.01,20.0,0.0
190,189.0,190.0,191.0,2.9,2.9,3.0,21.9,46.2,828.8,0.01,20.0,0.0
200,190.0,190.0,191.0,2.9,3.0,3.0,21.9,45.5,828.8,0.01,20.0,0.0
210,190.0,191.0,192.0,2.8,2.9,3.0,21.9,45.0,828.8,0.01,20.0,0.0
219,189.0,190.0,191.0,2.8,2.9,2.9,21.9,45.1,828.8,0.01,20.0,0.0
220,189.0,190.0,192.0,2.8,2.9,2.9,22.0,45.0,828.8,0.01,20.0,0.0
230,189.0,190.0,192.0,2.7,2.8,3.0,21.9,43.6,828.8,0.01,20.0,0.0
240,189.0,191.0,192.0,2.9,3.0,3.2,22.0,43.4,828.8,0.01,20.0,0.0
250,192.0,192.0,193.0,3.1,3.1,3.1,22.0,43.8,828.8,0.01,20.0,0.0
260,192.0,192.0,193.0,3.1,3.1,3.1,22.0,44.0,828.8,0.01,20.0,0.0
270,192.0,193.0,194.0,3.1,3.2,3.3,22.0,42.9,828.8,0.01,20.0,0.0
279,193.0,194.0,197.0,3.2,3.3,3.4,22.0,43.0,828.8,0.01,20.0,0.0
280,193.0,195.0,197.0,3.2,3.3,3.4,22.0,44.0,828.8,0.01,20.0,0.0
290,194.0,195.0,197.0,3.1,3.2,3.3,22.0,43.7,828.8,0.01,20.0,0.0
300,193.0,193.0,195.0,3.0,3.1,3.1,22.0,41.6,828.8,0.01,20.0,0.0
310,192.0,195.0,199.0,3.1,3.3,3.5,22.0,41.0,828.8,0.01,20.0,0.0
320,196.0,198.0,200.0,3.3,3.4,3.5,22.0,41.5,828.8,0.01,20.0,0.0
330,196.0,198.0,200.0,3.2,3.3,3.4,22.0,41.6,828.8,0.01,20.0,0.0
339,197.0,198.0,199.0,3.1,3.3,3.4,22.0,41.6,828.8,0.01,20.0,0.0
340,197.0,198.0,199.0,3.1,3.3,3.4,22.0,41.1,828.8,0.01,20.0,0.0
